asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
1756,4,0.012461059190031152,0.001736382274610542,0.3623024830699774,0.03366041675053812,0.0032611811299995638,0.16666666666666666,32.0,3,4,3,3,0,1,0.75,False,,0.0,0
1764,11,0.03426791277258567,1.81723779854621e-05,0.33229813664596275,0.06541515913493101,0.004247189769558151,0.8909090909090909,14.363636363636363,10,4,9,1,2,8,0.0909,False,0.036604,27.730849,8
3257,12,0.037383177570093455,0.00017685617860851508,0.33264248704663213,0.0570853377636668,0.004993327166113844,0.5454545454545454,11.666666666666666,6,4,6,0,7,4,0.0,True,0.110495,28.248894,2
3491,7,0.021806853582554516,0.00017847871235721706,0.33264248704663213,0.03508199866139668,0.003367944102610668,0.6666666666666666,12.857142857142858,6,4,5,0,3,4,0.0,True,0.218972,21.236761,13
5511,7,0.021806853582554516,1.2655763239875388e-05,0.3309278350515464,0.03879429397744799,0.003132702252199835,0.8571428571428571,14.428571428571429,6,4,5,0,2,5,0.0,True,0.12508,21.377558,2
5542,2,0.006230529595015576,0.0010064479513884486,0.3194029850746269,0.02269447130547117,0.0019616808920195307,0.0,56.0,2,4,2,2,0,0,1.0,False,1.0,1.0,0
5618,3,0.009345794392523364,0.007767765140447669,0.42181340341655715,0.07037410325052872,0.002723309685186784,0.0,86.0,2,4,3,2,0,1,0.6667,False,,0.0,0
5627,1,0.003115264797507788,0.0,0.3113482056256062,0.02079532442842981,0.001269011086048938,0.0,97.0,2,4,1,1,0,0,1.0,False,,0.0,0
6453,7,0.021806853582554516,2.0119418483904463e-05,0.3309278350515464,0.03806144328931005,0.003159327382634704,0.8095238095238095,14.0,6,4,5,0,4,3,0.0,True,0.180994,21.307276,0
6736,15,0.04672897196261682,0.013241249970826834,0.34665226781857444,0.02481681806150762,0.012223585380320796,0.0,2.933333333333333,2,4,3,1,14,0,0.0667,False,1.0,2.645751,1
6762,8,0.024922118380062305,7.20404984423676e-05,0.33126934984520123,0.03807587254296053,0.0037175979231953587,0.6428571428571429,12.25,6,4,5,0,3,5,0.0,True,0.250406,20.518285,12
