asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
1756,4,0.012345679012345678,0.0016415087058579744,0.32926829268292684,0.030094594794717346,0.0031608034939983433,0.16666666666666666,31.75,3,4,3,3,0,1,0.75,False,,0.0,0
1764,11,0.033950617283950615,2.0385022105008344e-05,0.3306122448979592,0.054156607354111916,0.004161679373109965,0.8727272727272727,14.272727272727273,9,4,9,1,2,8,0.0909,False,0.058523,27.730849,8
3257,12,0.037037037037037035,0.0001519321178763903,0.33094994892747703,0.04887430403740893,0.004822904402942939,0.5757575757575758,11.916666666666666,7,4,6,0,7,4,0.0,True,0.101883,28.248894,2
3491,8,0.024691358024691357,0.0002223241473327473,0.3312883435582822,0.03220003889974087,0.0036706089391086013,0.6071428571428571,11.875,6,4,5,0,4,4,0.0,True,0.236297,21.977261,13
5511,7,0.021604938271604937,7.007351348596618e-06,0.32926829268292684,0.033666909697651966,0.0030281867301518925,0.9047619047619048,14.714285714285714,7,4,6,0,2,5,0.0,True,0.120743,21.377558,2
5542,2,0.006172839506172839,0.0009382257890952579,0.3182711198428291,0.02244279487599071,0.0018970891414287615,0.0,55.5,2,4,2,2,0,0,1.0,False,1.0,1.0,0
5618,3,0.009259259259259259,0.005459715375996654,0.4186046511627907,0.07347282204883601,0.0026351919511802785,0.3333333333333333,87.0,3,4,3,2,0,1,0.6667,False,,0.0,0
5627,1,0.0030864197530864196,0.0,0.3103448275862069,0.02063951817288025,0.0012232557142366554,0.0,96.0,2,4,1,1,0,0,1.0,False,,0.0,0
6453,7,0.021604938271604937,1.242212284523946e-05,0.32926829268292684,0.03312321912124706,0.003041766587369714,0.8571428571428571,14.285714285714286,7,4,6,0,4,3,0.0,True,0.175451,21.307276,0
6736,15,0.046296296296296294,0.012792854521861793,0.34615384615384615,0.023960046773467535,0.011891178698443356,0.0,2.933333333333333,2,4,3,1,14,0,0.0667,False,1.0,2.645751,1
6762,9,0.027777777777777776,7.99475085680796e-05,0.329938900203666,0.036843653482379876,0.0039007037759890882,0.6666666666666666,12.222222222222221,7,4,6,0,3,5,0.0,True,0.207073,21.095023,12
6939,16,0.04938271604938271,0.0003186752283759507,0.3323076923076923,0.06513649211751796,0.006058575687959908,0.55,11.625,9,4,9,1,1,13,0.0625,False,0.313977,21.587033,327
8868,1,0.0030864197530864196,0.0,0.3103448275862069,0.02063951817288025,0.0012232557142366554,0.0,96.0,2,4,1,1,0,0,1.0,False,,0.0,0
9147,2,0.006172839506172839,0.003972022319047247,0.4122137404580153,0.06540011543274353,0.0019782359714756222,0.0,121.0,2,4,2,2,0,0,1.0,False,,0.0,0
12389,5,0.015432098765432098,4.7777395558613305e-06,0.3286004056795132,0.02809402912553366,0.0022998526535175957,0.9,17.2,5,4,5,3,1,1,0.6,False,0.162957,21.748563,10
12660,2,0.006172839506172839,0.0018031847893975718,0.3644544431946007,0.046563873962973734,0.001890352145969534,0.0,80.5,2,4,2,2,0,0,1.0,False,0.622036,1.0,0
12880,20,0.06172839506172839,0.14214030040279657,0.5159235668789809,0.12373547674534709,0.015940999635574837,0.05263157894736842,21.0,3,2,3,1,19,0,0.05,False,0.3992,2.0,0
13231,1,0.0030864197530864196,0.0,0.27341772151898736,0.0037337457775676102,0.0012776219078072721,0.0,31.0,2,4,1,0,0,1,0.0,False,,0.0,0
13237,12,0.037037037037037035,3.392195084661545e-05,0.33094994892747703,0.05710329419111752,0.004500782829721554,0.8333333333333334,13.666666666666666,9,4,9,1,0,11,0.0833,False,0.059772,27.386128,15
15611,1,0.0030864197530864196,0.0,0.3533260632497274,0.044760597259863276,0.001216518718777428,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
16018,1,0.0030864197530864196,0.0,0.3533260632497274,0.044760597259863276,0.001216518718777428,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
16292,1,0.0030864197530864196,0.0,0.3533260632497274,0.044760597259863276,0.001216518718777428,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
16320,1,0.0030864197530864196,0.0,0.3533260632497274,0.044760597259863276,0.001216518718777428,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
21170,1,0.0030864197530864196,0.0,0.27341772151898736,0.0037337457775676102,0.0012776219078072721,0.0,31.0,2,4,1,0,0,1,0.0,False,,0.0,0
21341,7,0.021604938271604937,0.01439280468357683,0.3584070796460177,0.024634703854903357,0.006034532417337108,0.047619047619047616,10.285714285714286,3,3,3,3,2,2,0.4286,False,0.833333,1.0,0
21419,2,0.006172839506172839,0.0,0.34763948497854075,0.02584867469211238,0.0020059568398273896,1.0,50.0,3,4,2,2,0,0,1.0,False,,0.0,0
