asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
174,113,0.3373134328358209,0.06455617189950362,0.5403225806451613,0.21781206863317612,0.030217589851399666,0.09529077117572693,16.778761061946902,11,4,15,0,96,16,0.0,True,0.246653,178.745629,0
714,10,0.029850746268656716,3.258700975154273e-05,0.4508748317631225,0.05986409764801601,0.002593742501332735,0.8444444444444444,90.5,8,4,10,4,0,6,0.4,False,0.177759,29.631065,80
766,7,0.020895522388059702,0.005113960511681496,0.4213836477987422,0.022994427604154773,0.0031488154993942366,0.14285714285714285,56.714285714285715,3,4,3,2,4,1,0.2857,False,0.519739,18.411953,4
1267,7,0.020895522388059702,0.0022963641444293972,0.4140914709517923,0.03918750091650027,0.0022526429307781503,0.6190476190476191,82.0,6,4,6,3,1,3,0.4286,False,0.283005,22.869193,9
1299,91,0.27164179104477615,0.020501491247092222,0.5226209048361935,0.2242819960682311,0.021778708600729432,0.17851037851037851,23.065934065934066,12,4,15,0,78,12,0.0,True,0.15335,223.783377,0
2134,12,0.03582089552238806,0.008244987601438965,0.43281653746770027,0.026038059276827112,0.0038443615626043847,0.16666666666666666,31.916666666666668,4,3,7,11,0,1,0.9167,False,0.349954,18.734994,6
2856,5,0.014925373134328358,2.6449201057569238e-05,0.37222222222222223,0.01908649229522974,0.001524106011341916,0.3,42.0,3,4,5,0,1,4,0.0,False,0.32932,16.155494,2
2914,67,0.2,0.010701883040073698,0.5045180722891566,0.1833253572244596,0.016001294390056764,0.23156942559927635,27.149253731343283,12,4,15,0,53,12,0.0,True,0.133141,199.524435,13
3223,11,0.03283582089552239,9.877836611624367e-05,0.45331529093369416,0.0611485540440613,0.0029648804596622514,0.6545454545454545,88.27272727272727,7,4,9,5,2,4,0.4545,False,0.174238,25.573424,14
3257,60,0.1791044776119403,0.010306462665183166,0.4933726067746686,0.17507104801737733,0.014081782728240544,0.2734463276836158,29.5,12,4,15,0,49,10,0.0,True,0.12464,166.442182,2
3320,31,0.09253731343283582,0.005834936670603623,0.4718309859154929,0.1208323530372064,0.00738790852457854,0.5290322580645161,47.806451612903224,12,4,15,0,12,19,0.0,True,0.103594,116.743308,7
