asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
1756,4,0.01238390092879257,0.0018685193078762396,0.3302658486707567,0.03112317904160604,0.0032101317290932833,0.16666666666666666,32.0,3,4,3,3,0,1,0.75,False,,0.0,0
1764,11,0.03405572755417957,2.0511637149138826e-05,0.3312820512820513,0.06503582789662371,0.004162127350166839,0.8727272727272727,14.272727272727273,9,4,9,1,2,8,0.0909,False,0.058523,27.730849,8
3257,12,0.03715170278637771,0.00014229948272215066,0.3316221765913758,0.05882337466838785,0.004799441774042035,0.5909090909090909,12.083333333333334,7,4,6,0,7,4,0.0,True,0.100727,28.248894,2
3491,8,0.02476780185758514,0.00021793614470960005,0.3319630010277492,0.0383695193411575,0.0036516498607772705,0.6428571428571429,12.125,6,4,6,0,4,4,0.0,True,0.235012,21.977261,13
5511,8,0.02476780185758514,2.0511637149138826e-05,0.3302658486707567,0.04268912802602015,0.0034014075311457367,0.8214285714285714,13.625,7,4,6,0,3,5,0.0,True,0.105695,22.383029,2
5542,2,0.006191950464396285,0.000992558476984923,0.3201189296333003,0.023823949604680726,0.00191962211373586,0.0,56.5,2,4,2,2,0,0,1.0,False,1.0,1.0,0
5618,3,0.009287925696594427,0.007208358381645321,0.42002600780234073,0.07114143668596248,0.002675597783668919,0.0,86.0,2,4,3,2,0,1,0.6667,False,,0.0,0
5627,1,0.0030959752321981426,0.0,0.3120772946859903,0.021879253419901726,0.0012397729849217853,0.0,98.0,2,4,1,1,0,0,1.0,False,,0.0,0
6453,7,0.021671826625386997,1.2499278887756474e-05,0.3299284984678243,0.03939745023372335,0.0030345547331631973,0.8571428571428571,14.428571428571429,7,4,6,0,4,3,0.0,True,0.176385,21.307276,0
6736,15,0.04643962848297214,0.013071661444622459,0.3465665236051502,0.025358631344396032,0.011997338215707516,0.0,2.933333333333333,2,4,3,1,14,0,0.0667,False,1.0,2.645751,1
6762,9,0.027863777089783284,8.044407694427885e-05,0.33060388945752306,0.043858375245685206,0.003892184647019438,0.6666666666666666,12.333333333333334,7,4,6,0,3,5,0.0,True,0.208255,21.095023,12
6939,16,0.04953560371517028,0.00031007826471549717,0.33298969072164947,0.07871829911743665,0.006036039861904563,0.5583333333333333,11.75,9,4,9,1,1,13,0.0625,False,0.310952,21.587033,327
8868,1,0.0030959752321981426,0.0,0.3120772946859903,0.021879253419901726,0.0012397729849217853,0.0,98.0,2,4,1,1,0,0,1.0,False,,0.0,0
9147,2,0.006191950464396285,0.004501108130631012,0.4104193138500635,0.0665778148093273,0.0020099928082902042,0.0,120.0,2,4,2,2,0,0,1.0,False,,0.0,0
12389,6,0.018575851393188854,9.614829913658827e-06,0.3295918367346939,0.036405119042603025,0.0026590325336171617,0.8666666666666667,15.666666666666666,6,4,6,4,1,1,0.6667,False,0.14072,22.113344,10
12660,2,0.006191950464396285,0.0018285901844507513,0.3596881959910913,0.04664325757420457,0.0019130319151454567,0.0,78.5,2,4,2,2,0,0,1.0,False,0.622036,1.0,0
12880,20,0.061919504643962855,0.14456974052310262,0.5159744408945687,0.12299705073453922,0.0161773642922448,0.04736842105263158,20.6,3,2,3,1,19,0,0.05,False,0.3992,2.0,0
13231,1,0.0030959752321981426,0.0,0.27303465765004226,0.003534511896184483,0.0012795326493337663,0.0,30.0,2,4,1,0,0,1,0.0,False,,0.0,0
13237,12,0.03715170278637771,3.413264619348883e-05,0.3316221765913758,0.06861490113787673,0.004501566233799389,0.8333333333333334,13.666666666666666,9,4,9,1,0,11,0.0833,False,0.059772,27.386128,15
15611,1,0.0030959752321981426,0.0,0.3488120950323974,0.044698561389425566,0.0012331827863313822,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
16018,1,0.0030959752321981426,0.0,0.3488120950323974,0.044698561389425566,0.0012331827863313822,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
16292,1,0.0030959752321981426,0.0,0.3488120950323974,0.044698561389425566,0.0012331827863313822,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
16320,1,0.0030959752321981426,0.0,0.3488120950323974,0.044698561389425566,0.0012331827863313822,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
21170,1,0.0030959752321981426,0.0,0.27303465765004226,0.003534511896184483,0.0012795326493337663,0.0,30.0,2,4,1,0,0,1,0.0,False,,0.0,0
21341,7,0.021671826625386997,0.014398355028255348,0.3580931263858093,0.025110443515689536,0.006085181780888516,0.047619047619047616,10.142857142857142,3,3,3,3,2,2,0.4286,False,0.833333,1.0,0
21419,2,0.006191950464396285,0.0,0.3491891891891892,0.027299237102837784,0.002034351168203889,1.0,51.0,3,4,2,2,0,0,1.0,False,,0.0,0
24631,24,0.07430340557275542,0.09319232979241882,0.42277486910994766,0.08023088594063617,0.022352860324859863,0.021739130434782608,8.541666666666666,3,3,3,2,20,2,0.0833,False,,0.0,0
24707,2,0.006191950464396285,0.000992558476984923,0.3201189296333003,0.023823949604680726,0.00191962211373586,0.0,56.5,2,4,2,2,0,0,1.0,False,1.0,1.0,0
25184,14,0.043343653250773995,0.017074272496316725,0.4146341463414634,0.1022475918838388,0.011077974712291508,0.0989010989010989,14.928571428571429,3,4,3,2,11,0,0.1429,False,0.503011,1.732051,0
29049,13,0.04024767801857585,0.00015319628995763063,0.3319630010277492,0.06941702687573931,0.004927817235466855,0.6538461538461539,12.846153846153847,9,4,9,3,1,8,0.2308,False,0.082177,27.037012,4
29068,4,0.01238390092879257,0.0019264576705357768,0.38636363636363635,0.03644383593080103,0.003235975367497151,0.16666666666666666,36.25,3,3,3,4,0,0,1.0,False,0.875,1.0,0
29077,1,0.0030959752321981426,0.0,0.3488120950323974,0.044698561389425566,0.0012331827863313822,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
29079,2,0.006191950464396285,0.004501108130631012,0.4104193138500635,0.0665778148093273,0.0020099928082902042,0.0,120.0,2,4,2,2,0,0,1.0,False,,0.0,0
29577,1,0.0030959752321981426,0.0,0.3488120950323974,0.044698561389425566,0.0012331827863313822,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
31182,3,0.009287925696594427,0.0072191217168838945,0.4211212516297262,0.07064630444809028,0.002726664732006424,0.0,86.0,2,4,3,1,0,1,0.3333,False,,0.0,0
31303,1,0.0030959752321981426,0.0,0.340717299578059,0.00942413330903697,0.001150500962638306,0.0,20.0,2,3,1,1,0,0,1.0,False,,0.0,0
31510,11,0.03405572755417957,1.105705440070765e-05,0.3312820512820513,0.06442680648253635,0.004159083043072691,0.9090909090909091,13.909090909090908,9,4,9,0,0,11,0.0,False,0.055603,28.106939,3
31549,12,0.03715170278637771,0.009727497104271949,0.35690607734806623,0.041672921848048584,0.008877392250728911,0.015151515151515152,6.5,3,4,3,2,9,0,0.1667,False,0.598217,1.732051,0
33891,12,0.03715170278637771,0.00015319628995763066,0.3316221765913758,0.06441464584892118,0.00467579283529135,0.6515151515151515,12.75,9,4,9,1,4,5,0.0833,False,0.109169,26.362853,28
34592,1,0.0030959752321981426,0.0,0.340717299578059,0.00942413330903697,0.001150500962638306,0.0,20.0,2,3,1,1,0,0,1.0,False,,0.0,0
34984,5,0.015479876160990714,3.2049433045529422e-06,0.3292558613659531,0.02854315701506441,0.0023818432532593603,0.9,14.8,5,4,5,4,1,0,0.8,False,0.43926,7.071068,4
35043,2,0.006191950464396285,0.0009436620032565571,0.37341040462427744,0.05091649360062315,0.0018747145535506773,0.0,85.5,2,4,2,2,0,0,1.0,False,,0.0,0
35088,1,0.0030959752321981426,0.0,0.3120772946859903,0.021879253419901726,0.0012397729849217853,0.0,98.0,2,4,1,1,0,0,1.0,False,,0.0,0
35285,2,0.006191950464396285,0.000992558476984923,0.3201189296333003,0.023823949604680726,0.00191962211373586,0.0,56.5,2,4,2,2,0,0,1.0,False,1.0,1.0,0
35372,2,0.006191950464396285,0.0,0.3021515434985968,0.0074092271245620655,0.002020593476154562,1.0,14.0,3,4,2,1,0,1,0.5,False,,0.0,0
35615,2,0.006191950464396285,0.0013700360135495385,0.3617021276595745,0.04876705102818856,0.0019498547100476019,0.0,80.0,2,4,2,1,0,1,0.5,False,,0.0,0
35690,2,0.006191950464396285,0.004501108130631012,0.4104193138500635,0.0665778148093273,0.0020099928082902042,0.0,120.0,2,4,2,2,0,0,1.0,False,,0.0,0
35766,1,0.0030959752321981426,0.0,0.27303465765004226,0.003534511896184483,0.0012795326493337663,0.0,30.0,2,4,1,0,0,1,0.0,False,,0.0,0
39074,7,0.021671826625386997,0.002915875947599192,0.32892057026476573,0.016285583002275453,0.0058418903232106,0.09523809523809523,5.857142857142857,3,4,3,1,0,6,0.1429,False,,0.0,0
39200,2,0.006191950464396285,0.0008413574900123756,0.33610822060353795,0.016655189502534362,0.0015976673288813686,0.0,26.5,2,4,2,2,0,0,1.0,False,0.853068,2.0,0
39501,1,0.0030959752321981426,0.0,0.3488120950323974,0.044698561389425566,0.0012331827863313822,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
39533,3,0.009287925696594427,0.0011951832308350209,0.3364583333333333,0.019596527986987848,0.0019856551092941738,0.3333333333333333,20.333333333333332,3,4,3,1,2,0,0.3333,False,0.720505,4.123106,7
39571,3,0.009287925696594427,0.009044548769796849,0.3773364485981308,0.05279669516224522,0.0027153574480809,0.0,63.333333333333336,2,4,3,2,0,1,0.6667,False,,0.0,0
39650,2,0.006191950464396285,0.0007687893125942046,0.3580931263858093,0.04721153018475616,0.001903409361601187,0.0,76.5,2,4,2,1,0,1,0.5,False,,0.0,0
41061,2,0.006191950464396285,0.0013479775727033218,0.32593340060544906,0.025947743058664714,0.001956444908638005,0.0,58.0,2,4,2,1,0,1,0.5,False,,0.0,0
41620,2,0.006191950464396285,0.0014462523623993407,0.2808695652173913,0.005479208080963484,0.0019593817781478414,0.0,22.5,2,4,2,1,0,1,0.5,False,1.0,1.0,0
41689,2,0.006191950464396285,0.0011716716120647565,0.3507057546145494,0.02092842552895294,0.0015593499672865892,0.0,33.5,2,4,2,1,1,0,0.5,False,0.830338,1.732051,0
41856,1,0.0030959752321981426,0.0,0.27303465765004226,0.003534511896184483,0.0012795326493337663,0.0,30.0,2,4,1,0,0,1,0.0,False,,0.0,0
41881,18,0.05572755417956657,0.029084169483715887,0.36621315192743764,0.05950494394209609,0.014095164677091938,0.026143790849673203,5.222222222222222,3,3,3,2,2,14,0.1111,False,,0.0,0
42019,1,0.0030959752321981426,0.0,0.27303465765004226,0.003534511896184483,0.0012795326493337663,0.0,30.0,2,4,1,0,0,1,0.0,False,,0.0,0
42043,2,0.006191950464396285,0.00710825368460836,0.37126436781609196,0.04823307328561005,0.0020497524727021853,0.0,86.0,2,4,2,1,0,1,0.5,False,,0.0,0
42337,142,0.43962848297213625,0.5622699602741444,0.5347682119205298,0.5826791222027653,0.1286720246212056,0.0026970332634102486,2.471830985915493,3,3,3,1,138,1,0.007,False,0.312491,2.645751,0
42440,1,0.0030959752321981426,0.0,0.32791878172588834,0.01471049331775536,0.0009178182000672938,0.0,38.0,2,4,1,1,0,0,1.0,False,0.660676,1.732051,0
42586,2,0.006191950464396285,0.0013700360135495385,0.3617021276595745,0.04876705102818856,0.0019498547100476019,0.0,80.0,2,4,2,1,0,1,0.5,False,,0.0,0
42907,2,0.006191950464396285,0.0009233545288346304,0.31791338582677164,0.011371816708886104,0.0019521239339292805,0.0,22.0,2,4,2,0,0,1,0.0,False,,0.0,0
42990,2,0.006191950464396285,0.0018285901844507513,0.3596881959910913,0.04664325757420457,0.0019130319151454567,0.0,78.5,2,4,2,2,0,0,1.0,False,0.622036,1.0,0
43395,4,0.01238390092879257,0.008658382464618995,0.4216710182767624,0.07463831010023969,0.0032927602301789623,0.0,66.75,2,4,3,3,0,1,0.75,False,,0.0,0
43415,3,0.009287925696594427,0.0014632360267743583,0.3760186263096624,0.054413367014900384,0.0024918770000607214,0.0,60.0,2,4,3,3,0,0,1.0,False,,0.0,0
43487,1,0.0030959752321981426,0.0,0.3120772946859903,0.021879253419901726,0.0012397729849217853,0.0,98.0,2,4,1,1,0,0,1.0,False,,0.0,0
43510,2,0.006191950464396285,0.004501108130631012,0.4104193138500635,0.0665778148093273,0.0020099928082902042,0.0,120.0,2,4,2,2,0,0,1.0,False,,0.0,0
43528,2,0.006191950464396285,0.0006888627610762158,0.3533916849015317,0.029716558232603343,0.0019123642695172995,0.0,56.0,2,4,2,2,0,0,1.0,False,,0.0,0
43657,2,0.006191950464396285,0.0,0.3507057546145494,0.05253586620212719,0.0019057740709268964,1.0,78.0,3,4,2,2,0,0,1.0,False,,0.0,0
43754,29,0.08978328173374614,0.054084050975262976,0.38636363636363635,0.08108078260874636,0.021887555090266412,0.012315270935960592,5.0344827586206895,3,4,3,1,26,0,0.0345,False,0.666667,1.0,0
43965,2,0.006191950464396285,0.000992558476984923,0.3201189296333003,0.023823949604680726,0.00191962211373586,0.0,56.5,2,4,2,2,0,0,1.0,False,1.0,1.0,0
44045,1,0.0030959752321981426,0.0,0.3120772946859903,0.021879253419901726,0.0012397729849217853,0.0,98.0,2,4,1,1,0,0,1.0,False,,0.0,0
44208,2,0.006191950464396285,0.004501108130631012,0.4104193138500635,0.0665778148093273,0.0020099928082902042,0.0,120.0,2,4,2,2,0,0,1.0,False,,0.0,0
44243,2,0.006191950464396285,0.0006888627610762158,0.3533916849015317,0.029716558232603343,0.0019123642695172995,0.0,56.0,2,4,2,2,0,0,1.0,False,,0.0,0
44244,2,0.006191950464396285,0.0,0.32825203252032514,0.016571972850674258,0.0013865739047107452,1.0,21.0,3,4,2,2,0,0,1.0,False,0.604844,1.732051,0
44400,4,0.01238390092879257,0.007240952991164999,0.4358974358974359,0.07835532362944884,0.0034273793787889914,0.3333333333333333,68.0,3,4,3,3,0,1,0.75,False,,0.0,0
44410,1,0.0030959752321981426,0.0,0.3120772946859903,0.021879253419901726,0.0012397729849217853,0.0,98.0,2,4,1,1,0,0,1.0,False,,0.0,0
44436,3,0.009287925696594427,0.0012179456498016392,0.35888888888888887,0.05236434325554146,0.0025741715878546995,0.3333333333333333,53.0,3,4,3,3,0,0,1.0,False,,0.0,0
44607,1,0.0030959752321981426,0.0,0.3488120950323974,0.044698561389425566,0.0012331827863313822,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
44932,2,0.006191950464396285,0.0,0.2871111111111111,0.01078155408783276,0.0017700997055609727,1.0,23.5,3,4,2,2,0,0,1.0,False,,0.0,0
47147,10,0.030959752321981428,9.134088417975885e-06,0.33094262295081966,0.0588223632389211,0.003833919015448012,0.9111111111111111,13.8,9,4,9,1,0,9,0.1,False,0.248165,16.462078,11
47188,1,0.0030959752321981426,0.0,0.32791878172588834,0.01471049331775536,0.0009178182000672938,0.0,38.0,2,4,1,1,0,0,1.0,False,0.660676,1.732051,0
47330,3,0.009287925696594427,0.0003117225412088816,0.32892057026476573,0.01150161650257441,0.0025161738467264333,0.0,8.666666666666666,2,4,3,0,2,1,0.0,False,,0.0,0
47376,6,0.018575851393188854,0.003222530553175089,0.38089622641509435,0.0648026030388153,0.004680106484019814,0.26666666666666666,32.666666666666664,3,4,3,3,0,2,0.5,False,,0.0,1
47692,11,0.03405572755417957,1.105705440070765e-05,0.3312820512820513,0.06442680648253635,0.004159083043072691,0.9090909090909091,13.909090909090908,9,4,9,1,1,9,0.0909,False,0.057126,27.964263,5
47817,2,0.006191950464396285,0.0005509700959963447,0.30558183538315986,0.00809254707548603,0.0019344758633848286,0.0,19.5,2,4,2,2,0,0,1.0,False,1.0,1.0,0
48029,1,0.0030959752321981426,0.0,0.28584070796460176,0.004170618228396867,0.0013266746926338014,0.0,3.0,2,4,1,0,0,1,0.0,False,,1.0,0
48121,1,0.0030959752321981426,0.0,0.3120772946859903,0.021879253419901726,0.0012397729849217853,0.0,98.0,2,4,1,1,0,0,1.0,False,,0.0,0
48147,4,0.01238390092879257,0.009063449408161795,0.4114649681528663,0.07076087832844584,0.0037391913547548394,0.3333333333333333,61.0,3,4,2,2,2,0,0.5,False,,0.0,0
48159,7,0.021671826625386997,0.009559113643687658,0.3872901678657074,0.046129426469965304,0.005528492299349243,0.09523809523809523,21.857142857142858,3,4,3,1,6,0,0.1429,False,0.553559,1.732051,0
48309,1,0.0030959752321981426,0.0,0.2974217311233886,0.00614785089070703,0.001254626734570754,0.0,24.0,2,4,1,1,0,0,1.0,False,,0.0,0
48362,11,0.03405572755417957,1.105705440070765e-05,0.3312820512820513,0.06442680648253633,0.004159083043072691,0.9090909090909091,13.909090909090908,9,4,9,1,0,9,0.0909,False,0.059867,27.495454,7
48431,1,0.0030959752321981426,0.0,0.3488120950323974,0.044698561389425566,0.0012331827863313822,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
48434,8,0.02476780185758514,0.015790746645567094,0.3514689880304679,0.016907400340825402,0.006677147615442217,0.0,6.25,2,3,3,2,6,0,0.25,False,0.75,1.0,0
48551,3,0.009287925696594427,0.0024998251687760585,0.3596881959910913,0.050360429623479405,0.0026302290223771717,0.3333333333333333,55.0,3,4,2,2,0,1,0.6667,False,,0.0,0
48608,1,0.0030959752321981426,0.0,0.26827242524916944,0.004563621876635178,0.0011285679383416774,0.0,18.0,2,4,1,0,0,1,0.0,False,,0.0,0
48762,1,0.0030959752321981426,0.0,0.3488120950323974,0.044698561389425566,0.0012331827863313822,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
48898,1,0.0030959752321981426,0.0,0.3120772946859903,0.021879253419901726,0.0012397729849217853,0.0,98.0,2,4,1,1,0,0,1.0,False,,0.0,0
48903,2,0.006191950464396285,0.0011716716120647565,0.3507057546145494,0.02092842552895294,0.0015593499672865892,0.0,33.5,2,4,2,2,0,0,1.0,False,0.830338,1.732051,0
48944,2,0.006191950464396285,0.0,0.35533553355335534,0.04966295696515022,0.0018961978884195602,1.0,74.0,3,4,2,1,0,1,0.5,False,0.244071,1.0,0
49099,3,0.009287925696594427,0.0008230920565255233,0.32725430597771016,0.015351694103181705,0.002486532933444404,0.0,17.0,2,4,3,3,0,0,1.0,False,,0.0,0
49100,11,0.03405572755417957,0.006821679398343911,0.33928571428571425,0.03276902208959878,0.0086735206078907,0.03636363636363636,5.636363636363637,3,4,3,2,1,8,0.1818,False,0.0,1.0,0
49103,3,0.009287925696594427,0.005189970891707218,0.4119897959183674,0.07441511962202892,0.0026825840928857187,0.3333333333333333,84.66666666666667,3,4,3,3,0,0,1.0,False,,0.0,0
49148,2,0.006191950464396285,0.004501108130631012,0.4104193138500635,0.0665778148093273,0.0020099928082902042,0.0,120.0,2,4,2,2,0,0,1.0,False,,0.0,0
49207,1,0.0030959752321981426,0.0,0.3120772946859903,0.021879253419901726,0.0012397729849217853,0.0,98.0,2,4,1,1,0,0,1.0,False,,0.0,0
49433,3,0.009287925696594427,0.003234748999291154,0.3641488162344983,0.04913700809922097,0.002642324306693636,0.0,53.333333333333336,2,4,3,1,0,2,0.3333,False,,0.0,0
49556,1,0.0030959752321981426,0.0,0.3120772946859903,0.021879253419901726,0.0012397729849217853,0.0,98.0,2,4,1,1,0,0,1.0,False,,0.0,0
49666,38,0.11764705882352942,0.1800388000291386,0.4871794871794872,0.1919701164647914,0.02033470496273955,0.12802275960170698,13.394736842105264,9,3,9,11,17,10,0.2895,False,0.387248,34.029399,3
49680,1,0.0030959752321981426,0.0,0.25675675675675674,0.0009585184968327027,0.0012954911544587025,0.0,6.0,2,4,1,1,0,0,1.0,False,,0.0,0
49792,1,0.0030959752321981426,0.0,0.26827242524916944,0.004068489638762989,0.001179634886679183,0.0,18.0,2,4,1,0,0,1,0.0,False,,0.0,0
49796,3,0.009287925696594427,0.017830184147003294,0.43707713125845743,0.07011232670551178,0.002826562494661008,0.0,90.0,2,4,3,3,0,0,1.0,False,,0.0,0
49801,2,0.006191950464396285,0.00035773410674858725,0.3526200873362446,0.048195434803702794,0.0018503452328414256,0.0,75.5,2,4,2,2,0,0,1.0,False,,0.0,0
49832,1,0.0030959752321981426,0.0,0.32791878172588834,0.01471049331775536,0.0009178182000672938,0.0,38.0,2,4,1,1,0,0,1.0,False,0.660676,1.732051,0
