asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
3,2,0.0005099439061703213,3.0840177634242214e-07,0.4887227414330218,0.01348746625753284,0.00014017089514821608,0.0,2290.0,2,4,2,1,0,1,0.5,False,0.435696,18.05547,0
42,5,0.0012748597654258032,2.1982684033396683e-06,0.49879180974182885,0.014042512553395304,0.0002636959864912727,0.6,964.6,4,4,5,1,0,4,0.2,False,0.246743,23.853721,331
46,1,0.00025497195308516065,0.0,0.48467622343054867,0.010434646347252862,9.45127116594983e-05,0.0,3679.0,2,4,1,0,0,1,0.0,False,0.463976,18.05547,3
57,4,0.0010198878123406426,1.9508183097563935e-07,0.48485597725305973,0.010953936217337005,0.00028011767368093415,0.5,922.0,3,4,2,2,2,0,0.5,False,0.129192,18.384776,1
72,6,0.001529831718510964,1.0916147746802488e-06,0.48817525516554644,0.012325475615754594,0.00031827500852529963,0.4666666666666667,661.3333333333334,4,4,4,6,0,0,1.0,False,0.138621,24.617067,2
77,1,0.00025497195308516065,0.0,0.48467622343054867,0.010434646347252862,9.45127116594983e-05,0.0,3679.0,2,4,1,1,0,0,1.0,False,0.463976,18.05547,1
109,6,0.001529831718510964,2.493268558365563e-07,0.488296812749004,0.012684362351703374,0.0002904403840553655,0.5333333333333333,676.8333333333334,4,4,6,5,0,1,0.8333,False,0.145627,27.946377,9
112,1,0.00025497195308516065,0.0,0.3412808910546467,0.000577290819253726,8.259311418779084e-05,0.0,274.0,2,4,1,0,0,1,0.0,False,0.653583,2.0,144
166,1,0.00025497195308516065,0.0,0.48467622343054867,0.010434646347252862,9.45127116594983e-05,0.0,3679.0,2,4,1,1,0,0,1.0,False,0.463976,18.05547,0
174,901,0.22972972972972974,0.03719725031005632,0.4378698224852071,0.19502034790432723,0.04839767640206163,0.0018103341965717105,5.349611542730299,7,3,9,0,878,9,0.0,True,0.37754,454.511826,0
250,1,0.00025497195308516065,0.0,0.48467622343054867,0.010434646347252862,9.45127116594983e-05,0.0,3679.0,2,4,1,0,0,1,0.0,False,0.463976,18.05547,8
271,2,0.0005099439061703213,0.0,0.4847361265603758,0.010611490592919598,0.0001518869184507738,1.0,1842.5,3,4,2,0,0,2,0.0,False,0.233433,18.734994,1
288,3,0.000764915859255482,3.1633707987980954e-06,0.34403508771929825,0.001336814045878151,0.0001848630585928875,0.3333333333333333,122.0,3,3,3,3,0,0,1.0,False,0.641867,3.0,0
293,2,0.0005099439061703213,1.21605179388312e-06,0.48696299975167623,0.01137136007551527,0.0001360352849329509,0.0,1975.0,2,4,2,1,0,1,0.5,False,0.386769,19.104973,10
