source,target,weight
6939,139264,1
51531,196610,1
6939,196610,1
31451,196610,1
48927,196610,1
3,174,1
3,6939,1
6939,32773,1
174,204805,1
15704,204805,1
3257,204805,1
6939,204805,1
6939,57353,1
6939,401418,1
174,24586,1
6939,24586,1
6939,393230,1
174,393230,1
6939,49167,1
24592,29680,1
6939,327697,1
6939,327698,1
29680,32787,1
32787,53712,1
6325,32787,1
174,32787,1
8220,32787,1
30383,32787,1
20940,32787,1
32787,58627,1
32787,55547,1
12357,32787,1
9498,32787,1
2516,32787,1
9304,32787,1
15704,32787,1
8426,32787,1
9541,32787,1
32787,36351,1
32787,33353,1
4637,32787,1
6939,131091,1
29680,57365,1
174,57365,1
6939,393238,1
14230,393238,1
6939,213015,1
6939,393240,1
6939,49176,1
8218,29680,1
8218,48943,1
8218,49463,1
8218,8245,1
2486,8218,1
8218,15695,1
8218,12654,1
8218,15436,1
8218,25358,1
7055,16409,1
6939,16409,1
8220,29680,1
714,8220,1
2152,8220,1
8220,9318,1
8220,13285,1
1103,8220,1
6128,8220,1
8220,8708,1
4788,8220,1
8220,8447,1
8220,9304,1
2381,8220,1
109,8220,1
2527,8220,1
8220,50266,1
8220,20115,1
8220,15412,1
8220,12312,1
8220,38040,1
8220,23764,1
7473,8220,1
1853,8220,1
8220,12389,1
4773,8220,1
8220,15169,1
8220,199995,1
8220,15435,1
8220,39642,1
8220,8560,1
8220,8607,1
8220,8529,1
8220,8339,1
8220,9050,1
8220,8473,1
8220,10310,1
8220,9365,1
4651,8220,1
5078,8220,1
8220,12329,1
8220,15830,1
8220,35916,1
4826,8220,1
3741,8220,1
4648,8220,1
8220,33965,1
6768,8220,1
8220,18678,1
8220,16276,1
8075,8220,1
8220,16347,1
1241,8220,1
8220,15547,1
8220,25394,1
8220,31133,1
7506,8220,1
8220,19653,1
8220,17072,1
7155,8220,1
8220,40317,1
8220,19551,1
8220,9354,1
8220,9085,1
8220,37662,1
8220,20773,1
8220,46687,1
8220,14928,1
8220,30848,1
8220,8648,1
8220,29535,1
8220,29017,1
8220,21859,1
8220,24278,1
8220,9790,1
8220,12611,1
8220,11114,1
8220,41033,1
8220,8926,1
8220,18779,1
