pair,collector,stamp,n_nodes,n_edges,n_self_loops,n_dup_edges,snapshot_ts
rrc04_as3352,rrc04,20251101_0000,314,1247,0,0,2025-11-01T00:00:00+00:00
rrc04_as3352,rrc04,20251101_0800,311,1223,0,0,2025-11-01T08:00:00+00:00
rrc04_as3352,rrc04,20251101_1600,311,1222,0,0,2025-11-01T16:00:00+00:00
rrc04_as3352,rrc04,20251102_0000,312,1234,0,0,2025-11-02T00:00:00+00:00
rrc04_as3352,rrc04,20251102_0800,312,1236,0,0,2025-11-02T08:00:00+00:00
rrc04_as3352,rrc04,20251102_1600,312,1234,0,0,2025-11-02T16:00:00+00:00
rrc04_as3352,rrc04,20251103_0000,312,1232,0,0,2025-11-03T00:00:00+00:00
rrc04_as3352,rrc04,20251103_0800,313,1237,0,0,2025-11-03T08:00:00+00:00
rrc04_as3352,rrc04,20251103_1600,314,1241,0,0,2025-11-03T16:00:00+00:00
rrc04_as3352,rrc04,20251104_0000,313,1239,0,0,2025-11-04T00:00:00+00:00
rrc04_as3352,rrc04,20251104_0800,314,1240,0,0,2025-11-04T08:00:00+00:00
rrc04_as3352,rrc04,20251104_1600,314,1236,0,0,2025-11-04T16:00:00+00:00
rrc04_as3352,rrc04,20251105_0000,314,1236,0,0,2025-11-05T00:00:00+00:00
rrc04_as3352,rrc04,20251105_0800,314,1231,0,0,2025-11-05T08:00:00+00:00
rrc04_as3352,rrc04,20251105_1600,314,1232,0,0,2025-11-05T16:00:00+00:00
rrc04_as3352,rrc04,20251106_0000,314,1231,0,0,2025-11-06T00:00:00+00:00
rrc04_as3352,rrc04,20251106_0800,313,1231,0,0,2025-11-06T08:00:00+00:00
rrc04_as3352,rrc04,20251106_1600,314,1228,0,0,2025-11-06T16:00:00+00:00
rrc04_as3352,rrc04,20251107_0000,314,1230,0,0,2025-11-07T00:00:00+00:00
rrc04_as3352,rrc04,20251107_0800,314,1229,0,0,2025-11-07T08:00:00+00:00
rrc04_as3352,rrc04,20251107_1600,313,1226,0,0,2025-11-07T16:00:00+00:00
rrc04_as3352,rrc04,20251108_0000,316,1255,0,0,2025-11-08T00:00:00+00:00
rrc04_as3352,rrc04,20251108_0800,315,1243,0,0,2025-11-08T08:00:00+00:00
rrc04_as3352,rrc04,20251108_1600,313,1226,0,0,2025-11-08T16:00:00+00:00
rrc04_as3352,rrc04,20251109_0000,313,1226,0,0,2025-11-09T00:00:00+00:00
rrc04_as3352,rrc04,20251109_0800,313,1225,0,0,2025-11-09T08:00:00+00:00
rrc04_as3352,rrc04,20251109_1600,313,1227,0,0,2025-11-09T16:00:00+00:00
rrc04_as3352,rrc04,20251110_0000,313,1225,0,0,2025-11-10T00:00:00+00:00
rrc04_as3352,rrc04,20251110_0800,314,1237,0,0,2025-11-10T08:00:00+00:00
rrc04_as3352,rrc04,20251110_1600,313,1232,0,0,2025-11-10T16:00:00+00:00
rrc04_as3352,rrc04,20251111_0000,314,1247,0,0,2025-11-11T00:00:00+00:00
rrc04_as3352,rrc04,20251111_0800,313,1234,0,0,2025-11-11T08:00:00+00:00
rrc04_as3352,rrc04,20251111_1600,313,1241,0,0,2025-11-11T16:00:00+00:00
rrc04_as3352,rrc04,20251112_0000,313,1238,0,0,2025-11-12T00:00:00+00:00
rrc04_as3352,rrc04,20251112_0800,310,1234,0,0,2025-11-12T08:00:00+00:00
