asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
174,101,0.32165605095541405,0.05809053122954437,0.5313028764805414,0.23680010509776353,0.032931751999116604,0.09128712871287128,14.722772277227723,9,4,12,0,88,12,0.0,True,0.250214,161.913557,0
714,8,0.025477707006369428,3.883695144359834e-05,0.45507246376811594,0.060986172309746796,0.0026668520934508334,0.8571428571428571,90.75,7,4,8,4,0,4,0.5,False,0.172156,29.410882,80
766,8,0.025477707006369428,0.004405596706612714,0.42779291553133514,0.03967041995614276,0.0034397248026124404,0.32142857142857145,58.5,4,4,5,2,3,3,0.25,False,0.341559,27.221315,4
1267,6,0.019108280254777073,0.002323701738860041,0.4131578947368421,0.039504114207201305,0.0024274684256460235,0.6,73.16666666666667,5,4,5,3,1,2,0.5,False,0.301723,23.937418,9
1299,81,0.25796178343949044,0.021322814855057475,0.5198675496688742,0.23321471633526145,0.024126454908702247,0.15617283950617283,19.580246913580247,9,4,12,0,71,10,0.0,True,0.161767,205.759568,0
2134,12,0.038216560509554146,0.01039724725849899,0.4272108843537415,0.02753713167240487,0.0049724364872276525,0.16666666666666666,26.0,4,3,6,12,0,0,1.0,False,0.403399,16.792856,6
2856,2,0.006369426751592357,1.631570028937047e-05,0.35241301907968575,0.006171804316921554,0.0010906652019287177,0.0,29.0,2,4,2,0,1,1,0.0,False,0.369037,8.660254,2
3257,52,0.1656050955414013,0.01260193567860652,0.48985959438377535,0.1767705307756264,0.015438597002445039,0.24434389140271492,25.75,9,4,12,0,42,9,0.0,True,0.133816,157.162336,2
3303,46,0.1464968152866242,0.011659788224598518,0.48307692307692307,0.14755354813636198,0.014192919201664,0.2144927536231884,25.52173913043478,9,4,12,4,0,41,0.087,False,0.137662,99.80481,63
3320,22,0.07006369426751592,0.0015739949690033274,0.4367176634214187,0.09768530470118574,0.006591633869705851,0.49783549783549785,37.36363636363637,8,4,12,0,10,12,0.0,True,0.101555,89.0,7
3352,69,0.2197452229299363,0.3018275034907011,0.5617173524150268,0.02006240151494576,0.04866968871006319,0.00042625745950554135,5.405797101449275,3,2,4,1,68,0,0.0145,False,0.391653,6.082763,3
3356,113,0.3598726114649682,0.06547142138993561,0.5567375886524822,0.2721365699048122,0.036559740761976066,0.09892541087231353,15.469026548672566,9,4,12,0,100,11,0.0,True,0.222144,220.963798,3
3816,3,0.009554140127388536,0.0001877931387930514,0.43490304709141275,0.015089086369520197,0.0014260850038488634,0.3333333333333333,81.33333333333333,3,4,3,1,1,1,0.3333,False,0.619628,5.196152,0
5089,4,0.012738853503184714,1.45838844685022e-05,0.43916083916083914,0.02717547037367465,0.001674238701804332,0.6666666666666666,90.25,4,4,4,2,1,1,0.5,False,0.565881,6.480741,2
5511,32,0.10191082802547771,0.004513267147999428,0.4823348694316436,0.13010464680333764,0.009782413689303052,0.375,36.78125,9,4,12,0,20,12,0.0,True,0.147363,110.774546,2
6147,7,0.02229299363057325,0.0004109679309185528,0.4466571834992888,0.03454677386737716,0.0026909698043058997,0.5238095238095238,62.285714285714285,5,4,6,4,3,0,0.5714,False,0.297883,20.297783,1
6400,5,0.01592356687898089,0.0001390720822268364,0.4435028248587571,0.03471473719976898,0.0020865597140268355,0.7,88.6,5,4,4,4,0,0,0.8,False,0.481174,3.0,0
6453,45,0.14331210191082802,0.004922286933755657,0.48757763975155277,0.16777010663167116,0.013009137097477348,0.3151515151515151,29.666666666666668,9,4,12,0,35,9,0.0,True,0.109882,143.478221,0
6507,7,0.02229299363057325,0.0002631003376746313,0.45050215208034433,0.044258476013790196,0.0024376210814290346,0.6666666666666666,75.57142857142857,5,4,7,4,0,3,0.5714,False,0.310157,13.228757,86
6568,4,0.012738853503184714,0.0,0.4453900709219858,0.037783988237673836,0.0016463532461762859,1.0,131.0,5,4,4,3,0,1,0.75,False,0.253553,20.124612,3
6713,4,0.012738853503184714,0.0,0.4422535211267606,0.030864119358888036,0.0016225378622110663,1.0,101.75,5,4,4,4,0,0,1.0,False,0.554592,6.082763,0
6730,15,0.04777070063694268,0.0056065955282593545,0.4147952443857332,0.052148787857416556,0.005002330836080547,0.3238095238095238,28.2,6,4,10,1,2,12,0.0667,False,0.190448,103.687029,5
6739,5,0.01592356687898089,0.0012149772044768076,0.2942830365510778,0.00044188595999574033,0.003982520783619678,0.0,2.6,2,4,2,0,5,0,0.0,False,,0.0,0
6752,6,0.019108280254777073,2.264113067113651e-06,0.4492131616595136,0.04585597166875537,0.002154735749449924,0.8666666666666667,95.5,5,4,6,5,0,1,0.8333,False,0.214711,35.24202,3
6762,60,0.1910828025477707,0.012855289282043986,0.4937106918238994,0.17463609592817506,0.019177706550201755,0.1694915254237288,21.733333333333334,9,4,12,0,51,9,0.0,True,0.193968,134.417261,12
6805,2,0.006369426751592357,0.0,0.4422535211267606,0.02203593030871129,0.0010996621700931743,1.0,175.5,3,4,2,1,0,1,0.5,False,0.307628,18.814888,6
6813,1,0.0031847133757961785,0.0,0.36009174311926606,0.0007072213088460226,0.0010757445254700412,0.0,69.0,2,3,1,1,0,0,1.0,False,0.335589,1.732051,0
6830,29,0.09235668789808918,0.0015618356026248792,0.4707646176911544,0.13009406067389673,0.008417329660406455,0.47783251231527096,40.03448275862069,9,4,12,0,10,19,0.0,True,0.107541,132.064378,18
6939,137,0.43630573248407645,0.11605006239043326,0.585820895522388,0.2910931807882651,0.04606459878163433,0.06751824817518248,12.656934306569344,9,4,12,3,16,112,0.0219,False,0.22552,216.048606,327
7004,4,0.012738853503184714,0.0002358510948489104,0.4453900709219858,0.024964780989959728,0.0017364342689391598,0.5,93.75,4,4,4,1,1,2,0.25,False,0.307591,19.052559,1
7438,3,0.009554140127388536,0.0003145531004643745,0.43490304709141275,0.01543463067542196,0.0014396105668185778,0.6666666666666666,80.0,3,4,3,2,1,0,0.6667,False,0.487772,6.244998,1
