pair,collector,stamp,n_nodes,n_edges,n_self_loops,n_dup_edges,snapshot_ts
rrc05_as12880,rrc05,20251101_0000,330,587,0,0,2025-11-01T00:00:00+00:00
rrc05_as12880,rrc05,20251101_0800,331,594,0,0,2025-11-01T08:00:00+00:00
rrc05_as12880,rrc05,20251101_1600,331,608,0,0,2025-11-01T16:00:00+00:00
rrc05_as12880,rrc05,20251102_0000,328,588,0,0,2025-11-02T00:00:00+00:00
rrc05_as12880,rrc05,20251102_0800,329,594,0,0,2025-11-02T08:00:00+00:00
rrc05_as12880,rrc05,20251102_1600,326,591,0,0,2025-11-02T16:00:00+00:00
rrc05_as12880,rrc05,20251103_0000,327,596,0,0,2025-11-03T00:00:00+00:00
rrc05_as12880,rrc05,20251103_0800,328,593,0,0,2025-11-03T08:00:00+00:00
rrc05_as12880,rrc05,20251103_1600,327,595,0,0,2025-11-03T16:00:00+00:00
rrc05_as12880,rrc05,20251104_0000,326,589,0,0,2025-11-04T00:00:00+00:00
rrc05_as12880,rrc05,20251104_0800,328,593,0,0,2025-11-04T08:00:00+00:00
rrc05_as12880,rrc05,20251104_1600,328,595,0,0,2025-11-04T16:00:00+00:00
rrc05_as12880,rrc05,20251105_0000,328,591,0,0,2025-11-05T00:00:00+00:00
rrc05_as12880,rrc05,20251105_0800,327,592,0,0,2025-11-05T08:00:00+00:00
rrc05_as12880,rrc05,20251105_1600,328,595,0,0,2025-11-05T16:00:00+00:00
rrc05_as12880,rrc05,20251106_0000,327,589,0,0,2025-11-06T00:00:00+00:00
rrc05_as12880,rrc05,20251106_0800,327,595,0,0,2025-11-06T08:00:00+00:00
rrc05_as12880,rrc05,20251106_1600,327,595,0,0,2025-11-06T16:00:00+00:00
rrc05_as12880,rrc05,20251107_0000,326,586,0,0,2025-11-07T00:00:00+00:00
rrc05_as12880,rrc05,20251107_0800,327,594,0,0,2025-11-07T08:00:00+00:00
rrc05_as12880,rrc05,20251107_1600,326,594,0,0,2025-11-07T16:00:00+00:00
rrc05_as12880,rrc05,20251108_0000,325,585,0,0,2025-11-08T00:00:00+00:00
rrc05_as12880,rrc05,20251108_0800,327,593,0,0,2025-11-08T08:00:00+00:00
rrc05_as12880,rrc05,20251108_1600,326,590,0,0,2025-11-08T16:00:00+00:00
rrc05_as12880,rrc05,20251109_0000,325,582,0,0,2025-11-09T00:00:00+00:00
rrc05_as12880,rrc05,20251109_0800,326,590,0,0,2025-11-09T08:00:00+00:00
rrc05_as12880,rrc05,20251109_1600,324,589,0,0,2025-11-09T16:00:00+00:00
rrc05_as12880,rrc05,20251110_0000,323,581,0,0,2025-11-10T00:00:00+00:00
rrc05_as12880,rrc05,20251110_0800,324,589,0,0,2025-11-10T08:00:00+00:00
rrc05_as12880,rrc05,20251110_1600,324,589,0,0,2025-11-10T16:00:00+00:00
rrc05_as12880,rrc05,20251111_0000,323,582,0,0,2025-11-11T00:00:00+00:00
rrc05_as12880,rrc05,20251111_0800,322,587,0,0,2025-11-11T08:00:00+00:00
rrc05_as12880,rrc05,20251111_1600,323,585,0,0,2025-11-11T16:00:00+00:00
rrc05_as12880,rrc05,20251112_0000,322,579,0,0,2025-11-12T00:00:00+00:00
rrc05_as12880,rrc05,20251112_0800,323,586,0,0,2025-11-12T08:00:00+00:00
rrc05_as12880,rrc05,20251112_1600,323,588,0,0,2025-11-12T16:00:00+00:00
rrc05_as12880,rrc05,20251113_0000,322,580,0,0,2025-11-13T00:00:00+00:00
rrc05_as12880,rrc05,20251113_0800,323,588,0,0,2025-11-13T08:00:00+00:00
rrc05_as12880,rrc05,20251113_1600,323,589,0,0,2025-11-13T16:00:00+00:00
rrc05_as12880,rrc05,20251114_0000,322,577,0,0,2025-11-14T00:00:00+00:00
rrc05_as12880,rrc05,20251114_0800,323,585,0,0,2025-11-14T08:00:00+00:00
rrc05_as12880,rrc05,20251114_1600,323,584,0,0,2025-11-14T16:00:00+00:00
rrc05_as12880,rrc05,20251115_0000,322,578,0,0,2025-11-15T00:00:00+00:00
rrc05_as12880,rrc05,20251115_0800,324,588,0,0,2025-11-15T08:00:00+00:00
rrc05_as12880,rrc05,20251115_1600,325,594,0,0,2025-11-15T16:00:00+00:00
rrc05_as12880,rrc05,20251116_0000,323,586,0,0,2025-11-16T00:00:00+00:00
rrc05_as12880,rrc05,20251116_0800,324,592,0,0,2025-11-16T08:00:00+00:00
rrc05_as12880,rrc05,20251116_1600,325,593,0,0,2025-11-16T16:00:00+00:00
rrc05_as12880,rrc05,20251117_0000,324,586,0,0,2025-11-17T00:00:00+00:00
rrc05_as12880,rrc05,20251117_0800,325,594,0,0,2025-11-17T08:00:00+00:00
