asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
3,2,0.0005103342689461597,2.939853455115463e-07,0.48871430352911827,0.013365371197943886,0.00013763746500854125,0.0,2287.0,2,4,2,1,0,1,0.5,False,0.433487,18.05547,0
42,6,0.0015310028068384791,3.0983486889780067e-06,0.49885437881873734,0.01524829133347479,0.0002991254799952053,0.7333333333333333,856.3333333333334,4,4,6,2,0,4,0.3333,False,0.235684,23.853721,331
46,2,0.0005103342689461597,0.0,0.48761975861639917,0.011549250711047494,0.00013409777810100966,1.0,1995.0,3,4,2,1,0,1,0.5,False,0.398044,18.05547,3
57,4,0.0010206685378923194,1.9538065426728933e-07,0.4847847600197922,0.010834313988523988,0.0002757653391558234,0.5,921.25,3,4,2,2,2,0,0.5,False,0.129113,18.384776,1
72,6,0.0015310028068384791,9.884544831699221e-07,0.48816641753861484,0.012217100797443828,0.0003079727092610336,0.4666666666666667,659.0,4,4,5,6,0,0,1.0,False,0.138225,24.617067,2
77,1,0.00025516713447307985,0.0,0.48460492147891676,0.010322887282774796,9.310686340679669e-05,0.0,3676.0,2,4,1,1,0,0,1.0,False,0.463604,18.05547,1
109,7,0.0017861699413115589,2.710309632376067e-07,0.4891412880678982,0.013845353010797704,0.00032488002089074095,0.6190476190476191,622.8571428571429,5,4,7,6,0,1,0.8571,False,0.142444,27.946377,9
112,1,0.00025516713447307985,0.0,0.34128712009056866,0.0005891954855403391,8.188067979119206e-05,0.0,274.0,2,4,1,0,0,1,0.0,False,0.654997,2.0,144
166,1,0.00025516713447307985,0.0,0.48460492147891676,0.010322887282774796,9.310686340679669e-05,0.0,3676.0,2,4,1,1,0,0,1.0,False,0.463604,18.05547,0
174,898,0.2291400867568257,0.036901374480167524,0.4428248587570621,0.19520448001937124,0.04704527258436562,0.0020359873172887603,5.757238307349666,7,3,9,0,874,9,0.0,True,0.37553,449.01559,0
250,1,0.00025516713447307985,0.0,0.48460492147891676,0.010322887282774796,9.310686340679669e-05,0.0,3676.0,2,4,1,0,0,1,0.0,False,0.463604,18.05547,8
271,3,0.0007655014034192396,9.185100855308158e-07,0.48768043802887007,0.01172359131296648,0.00018886560804888409,0.6666666666666666,1332.0,3,4,3,1,0,2,0.3333,False,0.268214,18.734994,1
288,3,0.0007655014034192396,3.899017119179599e-06,0.34395295769703355,0.0013480903266564499,0.00018471656989551798,0.3333333333333333,121.33333333333333,3,3,3,3,0,0,1.0,False,0.596769,3.0,0
297,2,0.0005103342689461597,1.5526104366093732e-06,0.4874984450802338,0.01132734444534564,0.0001335321969082865,0.0,1981.5,2,4,2,0,0,2,0.0,False,0.382462,19.104973,3
557,3,0.0007655014034192396,3.2738615670827807e-06,0.4891412880678982,0.013804962907619697,0.00017820813728696984,0.3333333333333333,1560.3333333333333,3,4,3,2,0,1,0.6667,False,0.427827,34.219877,2
577,19,0.0048481755549885175,0.00010711413010026351,0.49153392700363735,0.01831582338143674,0.0009681349418341698,0.17543859649122806,279.6842105263158,5,4,7,2,14,3,0.1053,False,0.203596,46.281746,5
600,1,0.00025516713447307985,0.0,0.48460492147891676,0.010322887282774796,9.310686340679669e-05,0.0,3676.0,2,4,1,1,0,0,1.0,False,0.463604,18.05547,2
668,2,0.0005103342689461597,1.5526104366093732e-06,0.4874984450802338,0.01132734444534564,0.0001335321969082865,0.0,1981.5,2,4,2,1,0,1,0.5,False,0.382462,19.104973,11
714,7,0.0017861699413115589,4.799672959158246e-06,0.3546927323739705,0.004042941620898093,0.00031272185611770734,0.38095238095238093,136.71428571428572,4,4,7,5,0,2,0.7143,False,0.270358,15.684387,80
766,23,0.0058688440928808365,0.009907282951932784,0.5014715291106846,0.011041426062647583,0.0015150808379706165,0.011857707509881422,173.7391304347826,3,2,3,0,21,2,0.0,False,0.700877,18.520259,4
800,3,0.0007655014034192396,7.661986441854484e-09,0.48604737690685856,0.011107844355949406,0.0001666168774510202,0.6666666666666666,1257.6666666666667,3,4,3,3,0,0,1.0,False,0.24193,22.561028,1
812,11,0.0028068384792038783,5.468633072449317e-05,0.4904881101376721,0.01590256743634845,0.0005977625679124789,0.21818181818181817,449.6363636363636,4,4,5,2,7,1,0.1818,False,0.183478,25.119713,4
819,2,0.0005103342689461597,0.0,0.4847847600197922,0.010507014819820042,0.0001463616707056584,1.0,1840.0,3,4,2,2,0,0,1.0,False,0.23476,18.303005,1
835,16,0.004082674151569278,2.495355022652317e-05,0.48999749937484377,0.01540223911230701,0.0008042379859952527,0.24166666666666667,280.1875,5,4,5,2,9,1,0.125,False,0.20946,34.539832,10
855,3,0.0007655014034192396,2.9345374606427557e-06,0.48755909430206523,0.011628776194393084,0.0001980902555148978,0.3333333333333333,1338.6666666666667,3,4,2,1,1,1,0.3333,False,0.262081,18.303005,2
889,1,0.00025516713447307985,0.0,0.48460492147891676,0.010322887282774796,9.310686340679669e-05,0.0,3676.0,2,4,1,1,0,0,1.0,False,0.463604,18.05547,0
893,1,0.00025516713447307985,0.0,0.48460492147891676,0.010322887282774796,9.310686340679669e-05,0.0,3676.0,2,4,1,1,0,0,1.0,False,0.463604,18.05547,3
917,9,0.0022965042102577188,1.6422961351502486e-05,0.4880448318804483,0.012820971882183386,0.0004712195669641949,0.2777777777777778,450.22222222222223,4,4,4,4,2,1,0.4444,False,0.178795,23.937418,22
