pair,collector,stamp,n_nodes,n_edges,n_self_loops,n_dup_edges,snapshot_ts
rrc05_as3352,rrc05,20251101_0000,336,1547,0,0,2025-11-01T00:00:00+00:00
rrc05_as3352,rrc05,20251101_0800,333,1517,0,0,2025-11-01T08:00:00+00:00
rrc05_as3352,rrc05,20251101_1600,333,1515,0,0,2025-11-01T16:00:00+00:00
rrc05_as3352,rrc05,20251102_0000,334,1528,0,0,2025-11-02T00:00:00+00:00
rrc05_as3352,rrc05,20251102_0800,335,1534,0,0,2025-11-02T08:00:00+00:00
rrc05_as3352,rrc05,20251102_1600,336,1545,0,0,2025-11-02T16:00:00+00:00
rrc05_as3352,rrc05,20251103_0000,336,1545,0,0,2025-11-03T00:00:00+00:00
rrc05_as3352,rrc05,20251103_0800,335,1534,0,0,2025-11-03T08:00:00+00:00
rrc05_as3352,rrc05,20251103_1600,335,1535,0,0,2025-11-03T16:00:00+00:00
rrc05_as3352,rrc05,20251104_0000,336,1550,0,0,2025-11-04T00:00:00+00:00
rrc05_as3352,rrc05,20251104_0800,335,1533,0,0,2025-11-04T08:00:00+00:00
rrc05_as3352,rrc05,20251104_1600,335,1530,0,0,2025-11-04T16:00:00+00:00
rrc05_as3352,rrc05,20251105_0000,335,1535,0,0,2025-11-05T00:00:00+00:00
rrc05_as3352,rrc05,20251105_0800,336,1537,0,0,2025-11-05T08:00:00+00:00
rrc05_as3352,rrc05,20251105_1600,336,1539,0,0,2025-11-05T16:00:00+00:00
rrc05_as3352,rrc05,20251106_0000,335,1527,0,0,2025-11-06T00:00:00+00:00
rrc05_as3352,rrc05,20251106_0800,334,1532,0,0,2025-11-06T08:00:00+00:00
rrc05_as3352,rrc05,20251106_1600,336,1534,0,0,2025-11-06T16:00:00+00:00
rrc05_as3352,rrc05,20251107_0000,337,1549,0,0,2025-11-07T00:00:00+00:00
rrc05_as3352,rrc05,20251107_0800,336,1534,0,0,2025-11-07T08:00:00+00:00
rrc05_as3352,rrc05,20251107_1600,335,1526,0,0,2025-11-07T16:00:00+00:00
rrc05_as3352,rrc05,20251108_0000,336,1529,0,0,2025-11-08T00:00:00+00:00
rrc05_as3352,rrc05,20251108_0800,335,1525,0,0,2025-11-08T08:00:00+00:00
rrc05_as3352,rrc05,20251108_1600,335,1524,0,0,2025-11-08T16:00:00+00:00
rrc05_as3352,rrc05,20251109_0000,336,1533,0,0,2025-11-09T00:00:00+00:00
rrc05_as3352,rrc05,20251109_0800,331,1520,0,0,2025-11-09T08:00:00+00:00
rrc05_as3352,rrc05,20251109_1600,331,1524,0,0,2025-11-09T16:00:00+00:00
rrc05_as3352,rrc05,20251110_0000,331,1517,0,0,2025-11-10T00:00:00+00:00
rrc05_as3352,rrc05,20251110_0800,331,1532,0,0,2025-11-10T08:00:00+00:00
rrc05_as3352,rrc05,20251110_1600,331,1535,0,0,2025-11-10T16:00:00+00:00
rrc05_as3352,rrc05,20251111_0000,331,1528,0,0,2025-11-11T00:00:00+00:00
rrc05_as3352,rrc05,20251111_0800,331,1531,0,0,2025-11-11T08:00:00+00:00
rrc05_as3352,rrc05,20251111_1600,333,1553,0,0,2025-11-11T16:00:00+00:00
rrc05_as3352,rrc05,20251112_0000,332,1543,0,0,2025-11-12T00:00:00+00:00
rrc05_as3352,rrc05,20251112_0800,332,1545,0,0,2025-11-12T08:00:00+00:00
rrc05_as3352,rrc05,20251112_1600,333,1542,0,0,2025-11-12T16:00:00+00:00
rrc05_as3352,rrc05,20251113_0000,333,1542,0,0,2025-11-13T00:00:00+00:00
rrc05_as3352,rrc05,20251113_0800,336,1554,0,0,2025-11-13T08:00:00+00:00
rrc05_as3352,rrc05,20251113_1600,335,1549,0,0,2025-11-13T16:00:00+00:00
rrc05_as3352,rrc05,20251114_0000,334,1548,0,0,2025-11-14T00:00:00+00:00
rrc05_as3352,rrc05,20251114_0800,335,1550,0,0,2025-11-14T08:00:00+00:00
rrc05_as3352,rrc05,20251114_1600,334,1544,0,0,2025-11-14T16:00:00+00:00
rrc05_as3352,rrc05,20251115_0000,336,1550,0,0,2025-11-15T00:00:00+00:00
rrc05_as3352,rrc05,20251115_0800,336,1547,0,0,2025-11-15T08:00:00+00:00
