window_start,window_id,collector,adj_eig_ratio_1_2,innermost_core_size,kirchhoff_index,rich_club_p75,rich_club_p90,rich_club_p95,symmetry_ratio,as_path_avg,as_path_max,edit_distance_avg,edit_distance_max,unique_as_path_max,flaps,nadas,vf_rate_delta,ego_filter_ratio,ego_origin_violations,ego_valley_free_paths_total,std_edge_ixp_cosine_dist,unique_peers,assortativity,betweenness_centrality,clustering_avg_local,core_std,degeneracy,eigenvector_centrality,frac_p2p_edges,n_customers,number_rare_ases,pagerank,rich_club_p25,avg_edge_ixp_cosine_dist,avg_ixp_cosine_dist,as_path_std,edit_distance_dict_0,ego_avg_violation_depth,ego_max_violation_depth,ego_valley_free_violations,ann_wd_ratio,new_prefixes,origin_changes,discovered_label,event_id,binary_label,provenance,incident_type
2016-10-21T11:10:00+00:00,20161021_1110,rrc04,1.7125513238942365,31,695701.1539740029,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.311557306177346,11,1.8529645164947288,8,36,264,479,-0.000685,0.803859,0,10373,0.157544,8,-0.2879688694166374,0.1464026743299871,0.604261361095543,3.3653114233142287,16,0.0271435016247824,0.3169,122.0,264,0.0256324659376783,0.0106393843235948,0.259226,0.380182,1.489284672940284,832,0.2972,0.8571,1981,4.171943887775552,1110,24,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:15:00+00:00,20161021_1115,rrc04,1.7129667680023113,31,695695.0543821707,0.0525439715918548,0.2269752220663861,0.3976240391334731,53.2,4.23790111842793,10,1.784176715879635,8,25,233,411,-0.001114,0.803812,0,9530,0.157556,8,-0.2879987526183792,0.1464022018469366,0.6044030155217662,3.3653114233142287,16,0.0271078533140342,0.3168,122.0,80,0.0256311546311927,0.0106430316956632,0.259154,0.380182,1.517014005277345,880,0.3072,0.8571,1640,4.179554390563565,297,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:20:00+00:00,20161021_1120,rrc04,1.71235347630388,31,695637.2627935881,0.0525439715918548,0.2267414679756896,0.4034833091436865,53.2,4.053498985801217,11,1.701332963065815,8,35,198,351,-0.001615,0.789315,0,7830,0.157247,8,-0.2880726628490787,0.1463928633124693,0.6043976660472398,3.366031953595411,16,0.0271338194817324,0.3168,122.0,100,0.0256310748413305,0.0106430316956632,0.258919,0.380182,1.436515206544005,1073,0.3303,0.8571,1117,3.881889763779528,302,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:25:00+00:00,20161021_1125,rrc04,1.7125513238942365,31,695701.1539740029,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.332852169482891,10,1.7581678063605777,8,40,253,546,-0.000478,0.830166,0,11751,0.157544,9,-0.2879688694166374,0.1464026743299871,0.604261361095543,3.3653114233142287,16,0.0271435016247824,0.3169,122.0,232,0.0256324659376783,0.0106393843235948,0.259226,0.380182,1.4356444633349166,899,0.3372,0.8571,1650,4.952481076534903,2112,1,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:30:00+00:00,20161021_1130,rrc04,1.7125513238942365,31,695701.1539740029,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.43588699829032,10,1.8962107208872456,8,38,310,508,0.000377,0.839556,0,12187,0.157544,8,-0.2879688694166374,0.1464026743299871,0.604261361095543,3.3653114233142287,16,0.0271435016247824,0.3169,122.0,169,0.0256324659376783,0.0106393843235948,0.259226,0.380182,1.483729841611424,1159,0.3279,0.8571,1853,5.500671742051052,984,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:35:00+00:00,20161021_1135,rrc04,1.7125513238942365,31,695701.1539740029,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.54985754985755,10,1.8864101315148565,8,42,312,450,-0.000775,0.799778,0,11552,0.157544,8,-0.2879688694166374,0.1464026743299871,0.604261361095543,3.3653114233142287,16,0.0271435016247824,0.3169,122.0,114,0.0256324659376783,0.0106393843235948,0.259226,0.380182,1.5090516412281565,1038,0.3189,0.8571,1874,4.0485844110450895,801,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:40:00+00:00,20161021_1140,rrc04,1.7125513238942365,31,695701.1539740029,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.493185550082102,10,1.9281743580693549,7,38,278,511,-0.000852,0.830749,0,12109,0.157544,10,-0.2879688694166374,0.1464026743299872,0.604261361095543,3.3653114233142287,16,0.0271435016247824,0.3169,122.0,56,0.0256324659376783,0.0106393843235948,0.259226,0.380182,1.5259324552568316,896,0.3085,0.8571,1738,5.08347245409015,403,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:45:00+00:00,20161021_1145,rrc04,1.712394508270814,31,695629.4651785418,0.0525439715918548,0.2267414679756896,0.4034833091436865,53.2,5.204523319987015,11,2.0588577749315946,9,49,306,424,-0.000148,0.862083,0,18421,0.157316,9,-0.2878969449216739,0.1463855008464294,0.6046905447641814,3.3653114233142287,16,0.0271494655715374,0.3168,122.0,58,0.025626144726923,0.0106430316956632,0.2591,0.380182,1.6260570619330554,1998,0.2805,0.875,2534,6.404019404019404,828,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:50:00+00:00,20161021_1150,rrc04,1.7125513238942365,31,695701.1539740029,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.252244083779128,10,1.7633184221228142,8,36,279,490,-0.000654,0.802147,0,10983,0.157544,8,-0.2879688694166374,0.1464026743299869,0.604261361095543,3.3653114233142287,16,0.0271435016247824,0.3169,122.0,108,0.0256324659376783,0.0106393843235948,0.259226,0.380182,1.388010770515998,910,0.3022,0.8571,1620,4.141569658280135,599,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:55:00+00:00,20161021_1155,rrc04,1.7125513238942365,31,695701.1539740029,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.266915621943629,10,1.859521943573668,9,29,237,380,-0.000397,0.824001,0,11213,0.157544,9,-0.2879688694166374,0.1464026743299873,0.604261361095543,3.3653114233142287,16,0.0271435016247824,0.3169,122.0,83,0.0256324659376783,0.0106393843235948,0.259226,0.380182,1.470400326786606,1073,0.288,0.8571,1940,4.763659466327828,611,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
