window_start,window_id,collector,adj_eig_ratio_1_2,innermost_core_size,kirchhoff_index,rich_club_p75,rich_club_p90,rich_club_p95,symmetry_ratio,as_path_avg,as_path_max,edit_distance_avg,edit_distance_max,unique_as_path_max,flaps,nadas,vf_rate_delta,ego_filter_ratio,ego_origin_violations,ego_valley_free_paths_total,std_edge_ixp_cosine_dist,unique_peers,assortativity,betweenness_centrality,clustering_avg_local,core_std,degeneracy,eigenvector_centrality,frac_p2p_edges,n_customers,number_rare_ases,pagerank,rich_club_p25,avg_edge_ixp_cosine_dist,avg_ixp_cosine_dist,as_path_std,edit_distance_dict_0,ego_avg_violation_depth,ego_max_violation_depth,ego_valley_free_violations,ann_wd_ratio,new_prefixes,origin_changes,discovered_label,event_id,binary_label,provenance,incident_type
2016-10-21T11:10:00+00:00,20161021_1110,rrc05,2.157387929910692,17,39996.388817469546,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.55435847208619,11,2.087984241628365,7,24,130,587,0.006835,0.80064,0,4506,0.240137,9,-0.3961216508729111,0.4828811325928659,0.5112650586093368,2.7775901640962246,11,0.0376754945402537,0.2433,82.0,111,0.0852577234709983,0.0387354205033763,0.342346,0.467322,1.1506068253811343,505,0.3936,0.8571,736,9.760994263862331,260,28,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:15:00+00:00,20161021_1115,rrc05,2.157387929910692,17,39996.388817469546,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.776334483458494,10,2.0715571557155714,7,19,148,526,0.010648,0.799114,0,4328,0.240137,8,-0.3961216508729111,0.4828811325928661,0.5112650586093368,2.7775901640962246,11,0.0376754945402537,0.2433,82.0,56,0.0852577234709983,0.0387354205033763,0.342346,0.467322,1.2117908184048485,454,0.4025,0.8571,720,10.075664621676893,265,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:20:00+00:00,20161021_1120,rrc05,2.1606541739141014,17,39973.53198373613,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.128079658605975,10,1.9782178217821784,6,18,93,7999,0.011944,0.923689,0,32827,0.239804,8,-0.3968415635795321,0.4826847823965158,0.5112730668031849,2.778176745030648,11,0.0375714012150335,0.243,82.0,8639,0.0852408725149299,0.0387968078575813,0.340639,0.467322,0.9189367011080956,475,0.3547,0.8571,8215,90.3598971722365,30826,7,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:25:00+00:00,20161021_1125,rrc05,2.157387929910692,17,39996.388817469546,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.600338536768855,10,1.89042530902996,6,22,119,556,0.006211,0.821189,0,4767,0.240137,8,-0.3961216508729111,0.4828811325928659,0.5112650586093368,2.7775901640962246,11,0.0376754945402537,0.2433,82.0,91,0.0852577234709983,0.0387354205033763,0.342346,0.467322,1.1222926951772418,551,0.3982,0.8571,801,10.895491803278688,241,5,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:30:00+00:00,20161021_1130,rrc05,2.1665086617311884,18,39991.8980744518,0.2028248587570621,0.5476923076923077,0.7051282051282052,23.2,4.8652329540494135,11,2.1542910447761194,7,21,151,7047,0.022319,0.847981,2,29553,0.240098,9,-0.39725355354294,0.4821607065152971,0.5144689276743672,2.787813816124093,11,0.0369539733938433,0.2454,82.0,7641,0.0852241964374738,0.0388581952117863,0.340812,0.467322,0.9601345052392122,614,0.5173,0.8571,11645,70.41598360655738,28745,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:35:00+00:00,20161021_1135,rrc05,2.1665086617311884,18,39991.8980744518,0.2028248587570621,0.5476923076923077,0.7051282051282052,23.2,4.942449503045848,9,1.9659504734158777,7,19,184,605,1.1e-05,0.806638,0,5590,0.240098,8,-0.39725355354294,0.4821607065152971,0.5144689276743672,2.787813816124093,11,0.0369539733938433,0.2454,82.0,136,0.0852241964374738,0.0388581952117863,0.340812,0.467322,1.3143391774574875,676,0.4076,0.8571,855,9.014450867052023,304,6,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:40:00+00:00,20161021_1140,rrc05,2.161642247740428,17,39995.249927622215,0.2022598870056497,0.5446153846153846,0.6923076923076923,23.2,4.815063887020847,10,2.090689462925107,8,19,154,661,0.005695,0.812144,0,5270,0.240197,10,-0.3965430781209789,0.4828776322322227,0.5121234794809411,2.7775901640962246,11,0.0372406636629277,0.2444,82.0,74,0.0852417570969149,0.0387968078575813,0.34164,0.467322,1.245848682594778,517,0.3905,0.75,794,10.99445471349353,249,5,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:45:00+00:00,20161021_1145,rrc05,2.157387929910692,17,39996.388817469546,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,5.379933326164104,10,1.926850048685492,8,23,456,537,0.008037,0.757031,0,8129,0.240137,9,-0.3961216508729111,0.4828811325928659,0.5112650586093368,2.7775901640962246,11,0.0376754945402537,0.2433,82.0,71,0.0852577234709983,0.0387354205033763,0.342346,0.467322,1.3632824333893625,1122,0.4117,0.875,826,6.462126476719944,750,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:50:00+00:00,20161021_1150,rrc05,2.1622398316654032,18,39993.03695707201,0.2022598870056497,0.5446153846153846,0.7051282051282052,23.2,4.624373956594324,9,1.9190972961464765,6,21,152,619,0.00529,0.801529,0,4822,0.240037,10,-0.3968338298726045,0.4821642068759403,0.5136162802985614,2.787813816124093,11,0.0373836672662216,0.2444,82.0,78,0.0852401034093842,0.0387968078575813,0.341518,0.467322,1.0856080999084896,611,0.4076,0.8571,738,8.6256,329,6,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:55:00+00:00,20161021_1155,rrc05,2.157387929910692,17,39996.388817469546,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.574798829553767,9,2.012111087909793,7,18,146,503,0.006599,0.782938,0,4653,0.240137,7,-0.3961216508729111,0.4828811325928658,0.5112650586093368,2.7775901640962246,11,0.0376754945402537,0.2433,82.0,116,0.0852577234709983,0.0387354205033763,0.342346,0.467322,1.1773739802754952,546,0.3944,0.8571,640,11.51157894736842,400,6,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T12:00:00+00:00,20161021_1200,rrc05,2.157387929910692,17,39996.388817469546,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.7372790161414295,11,2.060380039069437,8,20,180,743,-0.006956,0.748955,0,5376,0.240137,8,-0.3961216508729111,0.4828811325928659,0.5112650586093368,2.7775901640962246,11,0.0376754945402537,0.2433,82.0,95,0.0852577234709983,0.0387354205033763,0.342346,0.467322,1.270345484684799,572,0.3976,0.875,934,9.665676077265973,491,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T12:05:00+00:00,20161021_1205,rrc05,2.161642247740428,17,39995.249927622215,0.2022598870056497,0.5446153846153846,0.6923076923076923,23.2,5.729932440169472,10,1.7874604915177708,7,20,931,617,-0.001017,0.805232,0,16777,0.240197,8,-0.3965430781209789,0.4828776322322227,0.5121234794809411,2.7775901640962246,11,0.0372406636629277,0.2444,82.0,102,0.0852417570969149,0.0387968078575813,0.34164,0.467322,1.3115158930052897,3110,0.3583,0.875,1783,5.184327693677649,1640,7,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T12:10:00+00:00,20161021_1210,rrc05,2.160110249798967,17,39991.134254696975,0.2022598870056497,0.5415384615384615,0.6923076923076923,23.2,4.399255085012213,10,1.9231675953707672,8,21,389,8040,0.011273,0.899209,0,38175,0.240176,7,-0.3958534260098593,0.4828751218725695,0.5109474793984772,2.783687728109109,11,0.0375081532627541,0.2444,82.0,8600,0.0852396402700577,0.0387968078575813,0.341905,0.467322,1.1487691298218936,1026,0.3563,0.8571,8244,37.35049683830172,31578,10,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
