pair,collector,stamp,n_nodes,n_edges,n_self_loops,n_dup_edges,snapshot_ts
rrc04_as12880,rrc04,20251101_0000,329,573,0,0,2025-11-01T00:00:00+00:00
rrc04_as12880,rrc04,20251101_0800,330,580,0,0,2025-11-01T08:00:00+00:00
rrc04_as12880,rrc04,20251101_1600,329,580,0,0,2025-11-01T16:00:00+00:00
rrc04_as12880,rrc04,20251102_0000,327,574,0,0,2025-11-02T00:00:00+00:00
rrc04_as12880,rrc04,20251102_0800,328,581,0,0,2025-11-02T08:00:00+00:00
rrc04_as12880,rrc04,20251102_1600,325,581,0,0,2025-11-02T16:00:00+00:00
rrc04_as12880,rrc04,20251103_0000,326,585,0,0,2025-11-03T00:00:00+00:00
rrc04_as12880,rrc04,20251103_0800,327,582,0,0,2025-11-03T08:00:00+00:00
rrc04_as12880,rrc04,20251103_1600,326,584,0,0,2025-11-03T16:00:00+00:00
rrc04_as12880,rrc04,20251104_0000,325,572,0,0,2025-11-04T00:00:00+00:00
rrc04_as12880,rrc04,20251104_0800,327,583,0,0,2025-11-04T08:00:00+00:00
rrc04_as12880,rrc04,20251104_1600,327,583,0,0,2025-11-04T16:00:00+00:00
rrc04_as12880,rrc04,20251105_0000,327,580,0,0,2025-11-05T00:00:00+00:00
rrc04_as12880,rrc04,20251105_0800,326,582,0,0,2025-11-05T08:00:00+00:00
rrc04_as12880,rrc04,20251105_1600,327,583,0,0,2025-11-05T16:00:00+00:00
rrc04_as12880,rrc04,20251106_0000,326,574,0,0,2025-11-06T00:00:00+00:00
rrc04_as12880,rrc04,20251106_0800,326,581,0,0,2025-11-06T08:00:00+00:00
rrc04_as12880,rrc04,20251106_1600,326,581,0,0,2025-11-06T16:00:00+00:00
rrc04_as12880,rrc04,20251107_0000,325,574,0,0,2025-11-07T00:00:00+00:00
rrc04_as12880,rrc04,20251107_0800,326,583,0,0,2025-11-07T08:00:00+00:00
rrc04_as12880,rrc04,20251107_1600,325,583,0,0,2025-11-07T16:00:00+00:00
rrc04_as12880,rrc04,20251108_0000,324,573,0,0,2025-11-08T00:00:00+00:00
rrc04_as12880,rrc04,20251108_0800,326,580,0,0,2025-11-08T08:00:00+00:00
rrc04_as12880,rrc04,20251108_1600,326,588,0,0,2025-11-08T16:00:00+00:00
rrc04_as12880,rrc04,20251109_0000,324,571,0,0,2025-11-09T00:00:00+00:00
rrc04_as12880,rrc04,20251109_0800,325,578,0,0,2025-11-09T08:00:00+00:00
rrc04_as12880,rrc04,20251109_1600,323,578,0,0,2025-11-09T16:00:00+00:00
rrc04_as12880,rrc04,20251110_0000,322,571,0,0,2025-11-10T00:00:00+00:00
rrc04_as12880,rrc04,20251110_0800,323,577,0,0,2025-11-10T08:00:00+00:00
rrc04_as12880,rrc04,20251110_1600,323,579,0,0,2025-11-10T16:00:00+00:00
rrc04_as12880,rrc04,20251111_0000,322,572,0,0,2025-11-11T00:00:00+00:00
rrc04_as12880,rrc04,20251111_0800,321,575,0,0,2025-11-11T08:00:00+00:00
rrc04_as12880,rrc04,20251111_1600,322,573,0,0,2025-11-11T16:00:00+00:00
rrc04_as12880,rrc04,20251112_0000,321,568,0,0,2025-11-12T00:00:00+00:00
rrc04_as12880,rrc04,20251112_0800,322,575,0,0,2025-11-12T08:00:00+00:00
rrc04_as12880,rrc04,20251112_1600,322,576,0,0,2025-11-12T16:00:00+00:00
rrc04_as12880,rrc04,20251113_0000,321,569,0,0,2025-11-13T00:00:00+00:00
rrc04_as12880,rrc04,20251113_0800,322,577,0,0,2025-11-13T08:00:00+00:00
rrc04_as12880,rrc04,20251113_1600,322,578,0,0,2025-11-13T16:00:00+00:00
rrc04_as12880,rrc04,20251114_0000,321,567,0,0,2025-11-14T00:00:00+00:00
rrc04_as12880,rrc04,20251114_0800,322,574,0,0,2025-11-14T08:00:00+00:00
rrc04_as12880,rrc04,20251114_1600,322,573,0,0,2025-11-14T16:00:00+00:00
rrc04_as12880,rrc04,20251115_0000,321,568,0,0,2025-11-15T00:00:00+00:00
rrc04_as12880,rrc04,20251115_0800,323,577,0,0,2025-11-15T08:00:00+00:00
rrc04_as12880,rrc04,20251115_1600,324,582,0,0,2025-11-15T16:00:00+00:00
rrc04_as12880,rrc04,20251116_0000,322,575,0,0,2025-11-16T00:00:00+00:00
rrc04_as12880,rrc04,20251116_0800,323,580,0,0,2025-11-16T08:00:00+00:00
rrc04_as12880,rrc04,20251116_1600,324,582,0,0,2025-11-16T16:00:00+00:00
rrc04_as12880,rrc04,20251117_0000,323,575,0,0,2025-11-17T00:00:00+00:00
rrc04_as12880,rrc04,20251117_0800,324,582,0,0,2025-11-17T08:00:00+00:00
rrc04_as12880,rrc04,20251117_1600,324,582,0,0,2025-11-17T16:00:00+00:00
rrc04_as12880,rrc04,20251118_0000,323,576,0,0,2025-11-18T00:00:00+00:00
rrc04_as12880,rrc04,20251118_0800,324,583,0,0,2025-11-18T08:00:00+00:00
rrc04_as12880,rrc04,20251118_1600,324,582,0,0,2025-11-18T16:00:00+00:00
rrc04_as12880,rrc04,20251119_0000,323,575,0,0,2025-11-19T00:00:00+00:00
rrc04_as12880,rrc04,20251119_0800,324,582,0,0,2025-11-19T08:00:00+00:00
rrc04_as12880,rrc04,20251119_1600,324,582,0,0,2025-11-19T16:00:00+00:00
rrc04_as12880,rrc04,20251120_0000,323,573,0,0,2025-11-20T00:00:00+00:00
rrc04_as12880,rrc04,20251120_0800,321,572,0,0,2025-11-20T08:00:00+00:00
rrc04_as12880,rrc04,20251120_1600,324,583,0,0,2025-11-20T16:00:00+00:00
rrc04_as12880,rrc04,20251121_0000,323,576,0,0,2025-11-21T00:00:00+00:00
rrc04_as12880,rrc04,20251121_0800,324,584,0,0,2025-11-21T08:00:00+00:00
rrc04_as12880,rrc04,20251121_1600,323,576,0,0,2025-11-21T16:00:00+00:00
rrc04_as12880,rrc04,20251122_0000,322,577,0,0,2025-11-22T00:00:00+00:00
rrc04_as12880,rrc04,20251122_0800,324,586,0,0,2025-11-22T08:00:00+00:00
rrc04_as12880,rrc04,20251122_1600,324,588,0,0,2025-11-22T16:00:00+00:00
rrc04_as12880,rrc04,20251123_0000,321,568,0,0,2025-11-23T00:00:00+00:00
rrc04_as12880,rrc04,20251123_0800,323,576,0,0,2025-11-23T08:00:00+00:00
rrc04_as12880,rrc04,20251123_1600,323,576,0,0,2025-11-23T16:00:00+00:00
rrc04_as12880,rrc04,20251124_0000,322,568,0,0,2025-11-24T00:00:00+00:00
rrc04_as12880,rrc04,20251124_0800,323,575,0,0,2025-11-24T08:00:00+00:00
rrc04_as12880,rrc04,20251124_1600,323,575,0,0,2025-11-24T16:00:00+00:00
rrc04_as12880,rrc04,20251125_0000,322,569,0,0,2025-11-25T00:00:00+00:00
rrc04_as12880,rrc04,20251125_0800,323,577,0,0,2025-11-25T08:00:00+00:00
rrc04_as12880,rrc04,20251125_1600,324,578,0,0,2025-11-25T16:00:00+00:00
rrc04_as12880,rrc04,20251126_0000,323,571,0,0,2025-11-26T00:00:00+00:00
rrc04_as12880,rrc04,20251126_0800,324,578,0,0,2025-11-26T08:00:00+00:00
rrc04_as12880,rrc04,20251126_1600,324,578,0,0,2025-11-26T16:00:00+00:00
rrc04_as12880,rrc04,20251127_0000,323,571,0,0,2025-11-27T00:00:00+00:00
rrc04_as12880,rrc04,20251127_0800,322,569,0,0,2025-11-27T08:00:00+00:00
rrc04_as12880,rrc04,20251127_1600,325,589,0,0,2025-11-27T16:00:00+00:00
rrc04_as12880,rrc04,20251128_0000,325,585,0,0,2025-11-28T00:00:00+00:00
rrc04_as12880,rrc04,20251128_0800,326,593,0,0,2025-11-28T08:00:00+00:00
rrc04_as12880,rrc04,20251128_1600,326,593,0,0,2025-11-28T16:00:00+00:00
rrc04_as12880,rrc04,20251129_0000,325,586,0,0,2025-11-29T00:00:00+00:00
rrc04_as12880,rrc04,20251129_0800,326,593,0,0,2025-11-29T08:00:00+00:00
rrc04_as12880,rrc04,20251129_1600,325,590,0,0,2025-11-29T16:00:00+00:00
