asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
174,101,0.32165605095541405,0.05797219929391187,0.5313028764805414,0.2354020044073975,0.03284857593348734,0.09168316831683168,14.782178217821782,10,4,12,0,88,12,0.0,True,0.250157,161.913557,0
714,8,0.025477707006369428,3.788903237617831e-05,0.45507246376811594,0.0606676449469896,0.0026601486958888047,0.8571428571428571,91.125,7,4,8,4,0,4,0.5,False,0.172555,29.410882,80
766,8,0.025477707006369428,0.004412018642628695,0.42779291553133514,0.039361713429254624,0.0034344944710696934,0.32142857142857145,58.75,4,4,5,2,3,3,0.25,False,0.342453,27.221315,4
1267,6,0.019108280254777073,0.002326366568247973,0.4131578947368421,0.03948553600734987,0.0024209885739951494,0.6,73.66666666666667,5,4,5,3,1,2,0.5,False,0.302622,23.937418,9
1299,81,0.25796178343949044,0.021019166373618364,0.5198675496688742,0.2324456141670771,0.024024024632423348,0.15771604938271605,19.703703703703702,10,4,12,0,71,10,0.0,True,0.16035,205.759568,0
2134,12,0.038216560509554146,0.01040828657132545,0.42779291553133514,0.027599723034687263,0.004962867818552905,0.16666666666666666,26.25,4,3,6,12,0,0,1.0,False,0.402976,16.792856,6
2856,2,0.006369426751592357,1.6088658415848145e-05,0.35241301907968575,0.006082635417045017,0.0010898249542796638,0.0,29.0,2,4,2,0,1,1,0.0,False,0.366367,8.660254,2
3257,52,0.1656050955414013,0.012540928606586498,0.48985959438377535,0.17584345935355478,0.015396556294647024,0.24509803921568626,25.846153846153847,10,4,12,0,42,9,0.0,True,0.133966,157.162336,2
3303,46,0.1464968152866242,0.011645937754570708,0.48307692307692307,0.14586570831784673,0.014184126875943653,0.21159420289855072,25.52173913043478,10,4,12,4,0,41,0.087,False,0.14273,91.782351,63
3320,23,0.0732484076433121,0.0017109827485136215,0.43977591036414565,0.1033726173700027,0.006843868088146616,0.5177865612648221,38.47826086956522,9,4,12,0,10,13,0.0,True,0.096788,90.094395,7
3352,69,0.2197452229299363,0.3015712056863924,0.5617173524150268,0.01983434765230593,0.0486441556253299,0.00042625745950554135,5.405797101449275,3,2,4,1,68,0,0.0145,False,0.391653,6.082763,3
3356,113,0.3598726114649682,0.06509090636168957,0.5567375886524822,0.27068600876283017,0.03646485140117634,0.09955752212389381,15.539823008849558,10,4,12,0,100,11,0.0,True,0.221733,220.963798,3
3816,3,0.009554140127388536,0.00018770229233664462,0.43490304709141275,0.014885134512590787,0.001424240833741223,0.3333333333333333,81.33333333333333,3,4,3,1,1,1,0.3333,False,0.619628,5.196152,0
5089,4,0.012738853503184714,1.4583884468502201e-05,0.43916083916083914,0.026860805855019633,0.0016715690002211238,0.6666666666666666,90.25,4,4,4,2,1,1,0.5,False,0.565881,6.480741,2
5511,32,0.10191082802547771,0.00448075246711912,0.4823348694316436,0.1298919755240047,0.009748885832220769,0.3810483870967742,37.0,10,4,12,0,20,12,0.0,True,0.147396,110.774546,2
6147,7,0.02229299363057325,0.0004113813481259693,0.4466571834992888,0.03460315079965443,0.0026821642088971317,0.5238095238095238,62.714285714285715,5,4,6,4,3,0,0.5714,False,0.297573,20.297783,1
6400,5,0.01592356687898089,0.00013890307669792154,0.4435028248587571,0.03454821036021436,0.0020824416790649817,0.7,88.8,5,4,4,4,0,0,0.8,False,0.480027,3.0,0
6453,46,0.1464968152866242,0.004982608023030485,0.48833592534992226,0.17313551087929235,0.01323194993293549,0.3294685990338164,30.456521739130434,10,4,12,0,35,10,0.0,True,0.106796,144.782596,0
6507,7,0.02229299363057325,0.00026208191136613854,0.45050215208034433,0.04390806654577605,0.0024318195110075375,0.6666666666666666,75.85714285714286,5,4,7,4,0,3,0.5714,False,0.309289,13.228757,86
6568,4,0.012738853503184714,0.0,0.4453900709219858,0.03776930786422389,0.0016410584950539303,1.0,131.75,5,4,4,3,0,1,0.75,False,0.253354,20.124612,3
6713,4,0.012738853503184714,0.0,0.4422535211267606,0.03093597006606257,0.0016169517902956997,1.0,102.5,5,4,4,4,0,0,1.0,False,0.55152,6.082763,0
6730,15,0.04777070063694268,0.00557998488792184,0.4147952443857332,0.051586915575026177,0.004993891532381881,0.3142857142857143,28.266666666666666,6,4,10,1,2,12,0.0667,False,0.19326,103.687029,5
6739,5,0.01592356687898089,0.0012149772044768076,0.2942830365510778,0.00043413759642716007,0.003981301925970943,0.0,2.6,2,4,2,0,5,0,0.0,False,,0.0,0
6752,6,0.019108280254777073,2.2641130671136516e-06,0.4492131616595136,0.04537517469223609,0.0021503226994439486,0.8666666666666667,95.5,5,4,6,5,0,1,0.8333,False,0.214711,35.24202,3
6762,63,0.20063694267515925,0.013710163154984446,0.4960505529225908,0.18550556098159904,0.019883152520328535,0.18074756784434204,21.952380952380953,10,4,12,0,52,11,0.0,True,0.184461,136.231421,12
6805,2,0.006369426751592357,0.0,0.4422535211267606,0.02177306146808268,0.0010985006083653276,1.0,175.5,3,4,2,1,0,1,0.5,False,0.307628,18.814888,6
6813,1,0.0031847133757961785,0.0,0.36009174311926606,0.0006955339599189303,0.0010754299877819735,0.0,69.0,2,3,1,1,0,0,1.0,False,0.335589,1.732051,0
6830,29,0.09235668789808918,0.0015523016472893966,0.4707646176911544,0.12948703068737843,0.008394026542729223,0.4802955665024631,40.172413793103445,10,4,12,0,10,19,0.0,True,0.10882,132.064378,18
6939,137,0.43630573248407645,0.11531187504122084,0.585820895522388,0.28949332679643763,0.045970231574882836,0.06794761700300558,12.715328467153284,10,4,12,3,16,112,0.0219,False,0.224858,216.048606,327
7004,4,0.012738853503184714,0.0002356694019360968,0.4453900709219858,0.024671250636537224,0.001733688806193064,0.5,93.75,4,4,4,1,1,2,0.25,False,0.307591,19.052559,1
7438,3,0.009554140127388536,0.0003094887201984874,0.43490304709141275,0.015248376552743702,0.0014376848663712107,0.6666666666666666,80.0,3,4,3,2,1,0,0.6667,False,0.487772,6.244998,1
7726,3,0.009554140127388536,0.00010765278734552547,0.43793584379358436,0.023348754025465112,0.0013957158593383631,0.6666666666666666,114.0,3,4,3,3,0,0,1.0,False,0.349956,9.165151,0
7782,2,0.006369426751592357,4.751893374784542e-05,0.392991239048811,0.011242543362338542,0.001086872416760756,0.0,77.0,2,4,2,1,1,0,0.5,False,0.486819,18.165902,3
7979,7,0.02229299363057325,3.0081861049296678e-05,0.4577259475218659,0.057822540431859484,0.0024487082987122064,0.8571428571428571,106.57142857142857,6,4,7,5,0,2,0.7143,False,0.200816,38.392708,10
8069,5,0.01592356687898089,2.5437007793899188e-06,0.4447592067988669,0.036230790659730734,0.001872631942900142,0.9,90.2,5,4,5,5,0,0,1.0,False,0.210909,14.899664,0
8075,9,0.028662420382165606,0.00043480460663851986,0.45906432748538006,0.06081542316741971,0.003031330304169883,0.6388888888888888,84.22222222222223,6,4,8,4,1,4,0.4444,False,0.201717,24.919872,201
