window_start,window_id,collector,algebraic_connectivity,frac_p2p_edges,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,std_edge_ixp_cosine_dist,symmetry_ratio,as_path_avg,as_path_max,as_path_std,edit_distance_avg,edit_distance_dict_5,unique_as_path_max,origin_changes,unique_peers,vf_rate_delta,ego_origin_violations,adj_eig_ratio_1_2,clustering_avg_local,pagerank,avg_ixp_cosine_dist,n_edges_missing_ixp_data,avg_path_length,edit_distance_max,ego_filter_ratio,flaps,n_customers,nadas,number_rare_ases
2025-11-01 00:15:00+00:00,20251101_0015,rrc04,0.3266506725781932,0.2211,24,0.2506584723441615,0.4946236559139785,0.75,0.197653,28.2,3.949046109682435,9,0.7236019057667499,1.4163715072805982,5,28,84,10,-0.018469,0,2.751553912513037,0.589846965723334,0.0489870997898295,0.391174,8,2.385542913677962,6,0.0856640281442392,17,68.0,399,146
2025-11-01 09:10:00+00:00,20251101_0910,rrc04,0.3268635164410157,0.2223,24,0.2134532134532134,0.4989247311827957,0.7583333333333333,0.197498,28.2,3.695519618239661,7,0.5237003958408281,2.040966738454176,7,31,44,11,-0.018148,0,2.799166865413958,0.5933370530235241,0.0489695606388205,0.391129,8,2.3843680435320307,5,0.2721237660913236,17,68.0,462,3
2025-11-01 14:30:00+00:00,20251101_1430,rrc04,0.3267329788611733,0.2209,24,0.2550881953867028,0.5011494252873563,0.7416666666666667,0.196602,28.2,3.442135922330097,7,0.8138269679870224,1.3657613535173645,15,29,280,11,0.137619,0,2.797120592098973,0.5898959796546861,0.0489815587363435,0.391129,8,2.3843062082611923,5,0.0472964548439383,17,68.0,588,12
2025-11-01 17:15:00+00:00,20251101_1715,rrc04,0.3266149102023278,0.2204,24,0.2546359113523292,0.4988505747126436,0.75,0.197538,28.2,3.6576434515987737,7,0.6170629269047809,2.067928846353896,1,30,61,9,-0.011565,0,2.7510796169280383,0.5900223439036955,0.0489917641012421,0.391174,8,2.385645972462693,5,0.1746043539638903,21,68.0,241,10
2025-11-01 17:20:00+00:00,20251101_1720,rrc04,0.3267642297937169,0.2211,24,0.2550881953867028,0.5011494252873563,0.7583333333333333,0.197633,28.2,3.787810249389917,9,0.578202445344264,2.022801302931596,3,39,89,8,-0.018548,0,2.738757481992834,0.5910880686198907,0.0489775578258575,0.391174,8,2.3854604666501773,5,0.2371823450735622,28,68.0,458,11
2025-11-02 20:30:00+00:00,20251102_2030,rrc04,0.3269464794316937,0.2221,24,0.2127872127872128,0.503448275862069,0.75,0.197167,28.2,4.118374046538573,8,0.7706769570241716,2.177593889242521,2,34,604,11,0.036489,0,2.804684444859442,0.5917700591429791,0.0489702910923986,0.391129,8,2.384244372990353,5,0.0880608956384545,148,68.0,408,14
2025-11-03 05:00:00+00:00,20251103_0500,rrc04,0.3266366466521251,0.2209,24,0.2124542124542124,0.4989247311827957,0.75,0.198097,28.2,2.849053652432348,8,0.99292268947866,0.5805533596837945,2,29,62,9,0.097716,0,2.7529736061663064,0.5918221231231511,0.048978993249021,0.391174,8,2.385378019622393,6,0.0307058834495358,17,68.0,468,75
2025-11-03 05:05:00+00:00,20251103_0505,rrc04,0.326627670334036,0.2204,24,0.2117882117882117,0.5011494252873563,0.7416666666666667,0.197857,28.2,2.810856899246838,7,0.8503126647045185,1.4079480940794808,13,26,41,9,0.152762,0,2.7502866647214703,0.5908896707568188,0.0489898222876742,0.391174,8,2.385419243136285,5,0.0258510211543854,17,68.0,328,121
2025-11-04 00:05:00+00:00,20251104_0005,rrc04,0.3265719532680619,0.2218,24,0.2131202131202131,0.4946236559139785,0.75,0.198119,28.2,3.8411619023632624,7,0.4787902014754535,2.055463955299075,5,29,162,10,-0.02126,0,2.7557143454855515,0.590950552028324,0.0488130971019104,0.391174,8,2.384840665192103,5,0.311188589540412,27,68.0,658,12
2025-11-04 05:00:00+00:00,20251104_0500,rrc04,0.3260959863358926,0.2204,24,0.2093476144109055,0.4924731182795699,0.75,0.198076,28.2,3.391905231984205,8,0.9608312573377706,1.3937777777777778,1,37,861,8,-0.004657,0,2.75553501097137,0.5928793998186018,0.0485214099940672,0.391174,8,2.3856435143059347,6,0.0304299200161133,18,68.0,374,92
