window_start,window_id,collector,algebraic_connectivity,frac_p2p_edges,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,std_edge_ixp_cosine_dist,symmetry_ratio,as_path_avg,as_path_max,as_path_std,edit_distance_avg,edit_distance_dict_5,unique_as_path_max,origin_changes,unique_peers,vf_rate_delta,ego_origin_violations,adj_eig_ratio_1_2,clustering_avg_local,pagerank,avg_ixp_cosine_dist,n_edges_missing_ixp_data,avg_path_length,edit_distance_max,ego_filter_ratio,flaps,n_customers,nadas,number_rare_ases
2025-11-01 00:55:00+00:00,20251101_0055,rrc05,0.2800137791672554,0.2351,11,0.0890410958904109,0.246031746031746,0.2205882352941176,0.362364,15.4,5.718742462008523,10,1.9847067496952209,0.4238327023616369,29,27,131,13,0.033997,0,1.1544268270435072,0.2893781607856081,0.0164763715513316,0.3992,423,2.994492032789905,5,0.1328887218506473,28,19.0,88,12
2025-11-01 06:30:00+00:00,20251101_0630,rrc05,0.2767979375664336,0.242,11,0.0844155844155844,0.246031746031746,0.2197802197802197,0.355738,15.8,6.423440292790876,11,2.04395819738223,0.8438098888463013,31,39,7,14,0.022828,8,1.1496006791474138,0.2920961889029406,0.0163812204471957,0.3992,431,2.98879985262964,8,0.1079206155857274,79,19.0,128,10
2025-11-01 06:35:00+00:00,20251101_0635,rrc05,0.29508925233967,0.2184,11,0.0825840825840825,0.2592592592592592,0.2583333333333333,0.310373,16.2,7.159261262653581,12,1.881217732192922,1.645503786143523,547,84,32,14,0.022751,2,1.161889416202318,0.3207859155570907,0.017316325270281,0.3488,427,2.9214758566978194,9,0.1841157828927039,540,19.0,154,6
2025-11-01 06:40:00+00:00,20251101_0640,rrc05,0.2825881491260017,0.2124,11,0.0856140350877193,0.2389162561576354,0.2307692307692307,0.349745,15.8,6.360362707801345,11,1.524128293898489,1.3581100220950657,43,110,24,14,0.03423,0,1.1548211921551903,0.2984024573590075,0.0172224774763429,0.3992,416,2.9311721183800623,7,0.1389986550753573,3,19.0,118,25
2025-11-01 06:45:00+00:00,20251101_0645,rrc05,0.2820128603953097,0.2125,11,0.0856140350877193,0.2539682539682539,0.2727272727272727,0.346757,15.8,6.270349812830773,10,1.4958756120582213,1.6610251040104151,137,40,432,14,0.02238,0,1.1526630557311524,0.302153757819738,0.0174457265057401,0.3992,412,2.9277027161081683,6,0.1766964981903243,37,19.0,102,19
2025-11-01 06:50:00+00:00,20251101_0650,rrc05,0.2820128595460894,0.2129,11,0.0852631578947368,0.2592592592592592,0.2727272727272727,0.347136,15.8,5.930889061020742,10,1.6835427819516755,1.178419923142187,57,33,469,14,0.015338,16,1.155628530576553,0.301823967200266,0.0174498586475376,0.3992,412,2.927722556197052,5,0.1342008838355799,30,19.0,115,31
2025-11-01 06:55:00+00:00,20251101_0655,rrc05,0.2820128595460867,0.2129,11,0.0852631578947368,0.2592592592592592,0.2727272727272727,0.347136,15.8,6.04071710726223,11,1.7183374833368414,0.5545493747304873,5,29,180,13,0.053639,0,1.155628530576553,0.301823967200266,0.0174498586475376,0.3992,412,2.927722556197052,5,0.0703530412590387,1,19.0,261,37
2025-11-01 07:05:00+00:00,20251101_0705,rrc05,0.28212505884674,0.2125,11,0.0852631578947368,0.2592592592592592,0.2307692307692307,0.352977,15.8,5.907833603457591,9,1.95227204017279,0.2943315776272887,9,55,2,14,0.026703,0,1.1557086999241568,0.2999947310354159,0.0174344359219433,0.3992,411,2.9273059143304963,8,0.0975246139364489,3,19.0,99,19
2025-11-01 07:10:00+00:00,20251101_0710,rrc05,0.2820257701730808,0.2122,11,0.0852631578947368,0.2592592592592592,0.2307692307692307,0.352977,15.8,6.07542778918549,9,1.857735938182006,0.1952184927169094,25,37,1,13,0.029207,0,1.1561547867611144,0.2999945507165852,0.0173895665762371,0.3992,412,2.92892490290018,6,0.0829115720265827,1,19.0,101,7
2025-11-01 07:15:00+00:00,20251101_0715,rrc05,0.2822271663428589,0.2111,11,0.0840738209159261,0.2592592592592592,0.2307692307692307,0.360963,15.8,5.785004965243297,9,2.0752918839982555,0.2503133189016748,27,28,0,13,0.019556,0,1.1562789380266014,0.2981760162195261,0.0172888804015205,0.3992,412,2.9303487460815045,6,0.0954747687093938,4,19.0,104,5
