window_start,window_id,collector,frac_p2p_edges,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,std_edge_ixp_cosine_dist,symmetry_ratio,unique_peers,as_path_max,edit_distance_max,unique_as_path_max,flaps,nadas,origin_changes,ego_filter_ratio,ego_origin_violations,avg_ixp_cosine_dist,clustering_avg_local,degeneracy,kirchhoff_index,as_path_avg,as_path_std,edit_distance_avg,edit_distance_dict_0,ego_avg_violation_depth,ego_valley_free_violations,vf_rate_delta,new_prefixes,rich_club_p25,discovered_label,event_id,binary_label,provenance,incident_type
2025-11-01T01:10:00+00:00,20251101_0110,rrc04,0.2219,24,0.2127872127872128,0.4967741935483871,0.75,0.197372,28.2,11,7,5,34,14,339,82,0.0575081499592502,0,0.391129,0.591215431290197,12,40409.255507137605,3.9315975286849074,1.040546132914042,1.682328907048008,312,0.5155,11335,0.01656,230,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T01:15:00+00:00,20251101_0115,rrc04,0.2212,24,0.2124542124542124,0.4946236559139785,0.7416666666666667,0.197321,28.2,8,6,5,29,25,327,275,0.0695774153954059,0,0.391129,0.5902019784843838,12,40409.87868496203,3.3432787937119026,0.7887795635338232,1.558478492712407,295,0.4863,21200,0.040028,278,0.0631905648665425,likely_normal,none,0,study,
2025-11-01T01:20:00+00:00,20251101_0120,rrc04,0.2212,24,0.2124542124542124,0.4946236559139785,0.7416666666666667,0.197321,28.2,9,7,6,36,21,293,105,0.0448567877684326,0,0.391129,0.5902019784843838,12,40409.87868496203,3.861544037694817,0.9841215484099258,1.7129971299712996,330,0.5149,17124,0.077588,270,0.0631905648665425,likely_normal,none,0,study,
2025-11-01T01:25:00+00:00,20251101_0125,rrc04,0.2225,24,0.2131202131202131,0.4989247311827957,0.7583333333333333,0.197465,28.2,10,7,5,32,47,209,67,0.0425536028459292,0,0.391129,0.5922746657318781,12,40408.04805259798,4.353305785123967,1.3587383650615117,1.8519362186788155,259,0.4765,14249,0.049562,95,0.0633147113594041,likely_normal,none,0,study,
2025-11-01T01:30:00+00:00,20251101_0130,rrc04,0.2217,24,0.2510974539069359,0.4967741935483871,0.75,0.197292,28.2,10,7,6,34,14,309,44,0.0382415374394373,0,0.391129,0.5903595244075424,12,40395.50921736654,3.75531914893617,1.043325815240491,1.5042075736325389,378,0.5179,12868,0.073435,166,0.0633147113594041,likely_normal,none,0,study,
2025-11-01T01:35:00+00:00,20251101_0135,rrc04,0.2207,24,0.2430641821946169,0.4967741935483871,0.75,0.196188,28.2,9,8,5,31,10,504,80,0.0423350641163882,0,0.391111,0.5900351902002976,12,40496.06435070746,3.6678048780487806,1.0401353109481104,1.503866745984533,364,0.4836,15688,0.04569,228,0.0626555764677311,likely_normal,none,0,study,
2025-11-01T01:40:00+00:00,20251101_0140,rrc04,0.2211,24,0.2506584723441615,0.4946236559139785,0.7416666666666667,0.197241,28.2,9,7,5,31,13,230,77,0.0316721171619508,0,0.391129,0.5893460716017292,12,40396.13236130779,3.640733712839975,1.136265465531798,1.6026722925457102,256,0.5212,17234,0.016,67,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T01:45:00+00:00,20251101_0145,rrc04,0.2211,24,0.2506584723441615,0.4946236559139785,0.7416666666666667,0.197241,28.2,9,7,5,32,11,446,36,0.0282298886379565,0,0.391129,0.5893460716017292,12,40396.13236130779,3.635057471264368,1.107785096613823,1.5873015873015872,164,0.4984,17704,0.03568,59,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T01:50:00+00:00,20251101_0150,rrc04,0.2211,24,0.2506584723441615,0.4946236559139785,0.7416666666666667,0.197241,28.2,10,7,5,34,17,405,42,0.0339182726121817,0,0.391129,0.5893460716017292,12,40396.13236130779,3.750955414012739,1.0210104989940478,1.6439828080229226,282,0.5073,12342,0.091247,142,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T01:55:00+00:00,20251101_0155,rrc04,0.2215,24,0.2510974539069359,0.4967741935483871,0.75,0.197254,28.2,9,6,4,31,23,224,81,0.0359735099337748,0,0.391129,0.5900306446090418,12,40379.00552596147,3.57312925170068,1.002992212648413,1.6028858218318696,243,0.5005,16743,0.013609,121,0.0633767846058348,likely_normal,none,0,study,
2025-11-01T02:00:00+00:00,20251101_0200,rrc04,0.2217,24,0.2510974539069359,0.4967741935483871,0.75,0.197292,28.2,10,8,4,33,24,318,79,0.0419002879224124,0,0.391129,0.5903595244075424,12,40395.50921736654,3.832807570977918,1.1186414337592614,1.671990171990172,212,0.5243,16227,0.019383,191,0.0633147113594041,likely_normal,none,0,study,
2025-11-01T02:10:00+00:00,20251101_0210,rrc04,0.2217,24,0.2510974539069359,0.4967741935483871,0.75,0.197292,28.2,10,8,5,30,16,220,77,0.0260862106991447,0,0.391129,0.5903595244075424,12,40395.50921736654,3.649889380530973,0.9956685322750536,1.37524557956778,443,0.4976,18387,0.064746,174,0.0633147113594041,likely_normal,none,0,study,
2025-11-01T02:15:00+00:00,20251101_0215,rrc04,0.2214,24,0.2146274777853725,0.4967741935483871,0.7416666666666667,0.198263,28.2,8,7,5,31,129,453,164,0.0491747490216096,0,0.391149,0.5891850832022093,12,40252.239853966006,3.645965770171149,0.9113545588299607,1.559090909090909,318,0.5074,16523,0.029322,253,0.0632728642269788,likely_normal,none,0,study,
2025-11-01T02:20:00+00:00,20251101_0220,rrc04,0.2219,24,0.2127872127872128,0.4967741935483871,0.75,0.197372,28.2,9,6,5,28,22,320,176,0.0657939495023756,0,0.391129,0.591215431290197,12,40409.255507137605,3.8731067602512006,0.804088980259797,1.7547089041095891,328,0.4848,16079,0.069153,526,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T02:25:00+00:00,20251101_0225,rrc04,0.2212,24,0.2124542124542124,0.4946236559139785,0.7416666666666667,0.197321,28.2,9,7,5,29,14,453,154,0.0240957084787671,0,0.391129,0.5902019784843838,12,40409.87868496203,3.4822047244094487,0.8147089364959774,1.4251432664756447,565,0.5078,20023,0.127194,348,0.0631905648665425,likely_normal,none,0,study,
2025-11-01T02:30:00+00:00,20251101_0230,rrc04,0.2212,24,0.2124542124542124,0.4946236559139785,0.7416666666666667,0.197321,28.2,11,8,6,36,11,603,39,0.0242199856853787,0,0.391129,0.5902019784843838,12,40409.87868496203,3.734022556390977,1.056792738349197,1.3949152542372882,327,0.4922,18118,0.037549,287,0.0631905648665425,likely_normal,none,0,study,
2025-11-01T02:35:00+00:00,20251101_0235,rrc04,0.2222,24,0.2146274777853725,0.4967741935483871,0.75,0.198344,28.2,9,7,5,27,17,336,173,0.0328027277865908,0,0.391149,0.590044102666636,12,40253.33858379618,3.782409042741081,1.0049284858138805,1.7061128526645768,308,0.5292,12204,0.048368,232,0.0632728642269788,likely_normal,none,0,study,
2025-11-01T02:40:00+00:00,20251101_0240,rrc04,0.2212,24,0.2124542124542124,0.4946236559139785,0.7416666666666667,0.197321,28.2,8,7,6,34,72,423,117,0.0568647074879446,0,0.391129,0.5902019784843838,12,40409.87868496203,4.304633585277687,1.1513655195668593,1.7950224680262703,253,0.4971,19687,0.003438,41,0.0631905648665425,likely_normal,none,0,study,
2025-11-01T02:45:00+00:00,20251101_0245,rrc04,0.2219,24,0.2127872127872128,0.4967741935483871,0.75,0.197372,28.2,9,8,5,28,70,241,198,0.0889967363917682,0,0.391129,0.591215431290197,12,40409.255507137605,4.087319356808467,0.7517000271167606,1.8146785018402247,280,0.5302,12228,0.042519,265,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T02:50:00+00:00,20251101_0250,rrc04,0.2217,24,0.2131202131202131,0.4989247311827957,0.75,0.197338,28.2,11,6,5,29,24,379,46,0.0390141764954473,0,0.391129,0.5913726820773924,12,40407.5329331784,3.57492795389049,0.9928393563894464,1.5267649340574088,240,0.4649,13524,0.014414,69,0.0633147113594041,likely_normal,none,0,study,
2025-11-01T02:55:00+00:00,20251101_0255,rrc04,0.2211,24,0.2127872127872128,0.4967741935483871,0.7416666666666667,0.197291,28.2,9,8,5,32,14,391,46,0.0278170811756983,0,0.391129,0.590362178521867,12,40408.14234811521,3.383384146341464,1.0539084115986197,1.5220282626766417,246,0.5275,22480,0.045587,77,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T03:05:00+00:00,20251101_0305,rrc04,0.2217,26,0.2131202131202131,0.4989247311827957,0.7416666666666667,0.197377,28.2,9,8,4,30,12,250,176,0.0422749664128974,0,0.391129,0.5903704056658938,12,40405.81538476782,3.6676171079429736,0.839813976006369,1.5058990089664936,400,0.5154,12528,0.085174,122,0.0633147113594041,likely_normal,none,0,study,
2025-11-01T03:10:00+00:00,20251101_0310,rrc04,0.2219,24,0.2127872127872128,0.4967741935483871,0.75,0.197372,28.2,11,7,5,30,67,380,195,0.0628743997227585,0,0.391129,0.591215431290197,12,40409.255507137605,4.010296010296011,0.8426070571915971,1.6412319644839068,363,0.5029,21440,0.061458,79,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T03:15:00+00:00,20251101_0315,rrc04,0.2211,24,0.2506584723441615,0.4946236559139785,0.7416666666666667,0.197241,28.2,10,7,4,27,70,492,186,0.0645477353364706,0,0.391129,0.5893460716017292,12,40396.13236130779,3.7525468287873807,0.857474343175031,1.66228226093139,358,0.5199,15104,-0.011341,94,0.0632526381129733,likely_normal,none,0,study,
2025-11-01T03:20:00+00:00,20251101_0320,rrc04,0.2219,24,0.2114552114552114,0.4989247311827957,0.75,0.19823,28.2,9,7,5,32,14,632,61,0.0522349375971928,0,0.391149,0.5893435736569098,12,40237.92991994463,3.521856449001619,1.0314610445913186,1.6080691642651297,337,0.4907,18366,0.002096,66,0.0633984056242546,likely_normal,none,0,study,
