window_start,window_id,collector,frac_p2p_edges,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,std_edge_ixp_cosine_dist,symmetry_ratio,unique_peers,as_path_max,edit_distance_max,unique_as_path_max,flaps,nadas,origin_changes,ego_filter_ratio,ego_origin_violations,avg_ixp_cosine_dist,clustering_avg_local,degeneracy,kirchhoff_index,as_path_avg,as_path_std,edit_distance_avg,edit_distance_dict_0,ego_avg_violation_depth,ego_valley_free_violations,vf_rate_delta,new_prefixes,rich_club_p25,discovered_label,event_id,binary_label,provenance,incident_type
2025-11-01T00:00:00+00:00,20251101_0000,rrc05,0.2405,27,0.264524948735475,0.5685483870967742,0.7647058823529411,0.193647,32.2,15,8,6,69,50,918,23,0.0820717899621703,0,0.381388,0.5724849066470314,15,43218.82476953351,3.5483658593933693,0.9953453019951494,1.5735066542865983,1612,0.5105,23815,0.024946,0,0.0619193608324043,likely_normal,none,0,study,
2025-11-01T00:05:00+00:00,20251101_0005,rrc05,0.2404,27,0.264524948735475,0.5827956989247312,0.7647058823529411,0.194112,32.2,14,7,5,63,40,780,31,0.0600046753694157,0,0.381398,0.5715043436773362,15,43054.31995480182,3.5724365365442137,1.1640065774781885,1.5299097590473532,1797,0.4639,17359,0.043353,1690,0.0621453027531541,likely_normal,none,0,study,
2025-11-01T00:10:00+00:00,20251101_0010,rrc05,0.239,27,0.264524948735475,0.5827956989247312,0.7647058823529411,0.193288,32.2,14,7,5,67,27,772,15,0.0623150094706825,0,0.381329,0.5724169694674924,15,43212.4944110392,3.4881908360888048,1.161263908625515,1.529112852000847,1509,0.502,17775,0.029478,2377,0.0619658119658119,likely_normal,none,0,study,
2025-11-01T00:20:00+00:00,20251101_0020,rrc05,0.2406,27,0.264524948735475,0.5685483870967742,0.7647058823529411,0.19371,32.2,13,7,4,69,56,798,26,0.0535791146574843,0,0.381388,0.5723713360274597,15,43230.37364837909,3.5774179804005115,1.2604908587982178,1.4846008799497172,1984,0.4143,13266,0.022489,104,0.0618729096989966,likely_normal,none,0,study,
2025-11-01T00:30:00+00:00,20251101_0030,rrc05,0.2402,28,0.2680701754385965,0.5705645161290323,0.7647058823529411,0.194785,32.2,13,7,5,67,26,767,16,0.05,0,0.381394,0.5717853460591978,15,43070.70374115027,3.641137040714995,1.3122886308337052,1.392391304347826,1687,0.4933,17108,0.051879,254,0.0620045964072979,likely_normal,none,0,study,
2025-11-01T00:35:00+00:00,20251101_0035,rrc05,0.24,27,0.267719298245614,0.5827956989247312,0.7647058823529411,0.195142,32.2,14,7,5,75,33,810,11,0.0513416638075804,0,0.381403,0.5709190029387845,15,42884.60755689708,3.6135066582117945,1.3222700326416408,1.4640155856062342,1607,0.4672,17874,0.039899,274,0.0622780014207909,likely_normal,none,0,study,
2025-11-01T00:40:00+00:00,20251101_0040,rrc05,0.2399,28,0.2684210526315789,0.5849462365591398,0.7647058823529411,0.195276,32.6,14,8,5,72,45,724,15,0.0555429061248543,0,0.381403,0.5712529973013981,15,42892.82077914306,3.737178792150059,1.3587200956913283,1.5717919075144509,1394,0.4884,26410,0.06432,92,0.0623253611176888,likely_normal,none,0,study,
2025-11-01T00:45:00+00:00,20251101_0045,rrc05,0.2402,28,0.2724324324324324,0.5849462365591398,0.7647058823529411,0.195254,32.2,14,7,6,69,25,727,10,0.0435975715658614,0,0.381403,0.571719154798591,15,42911.85174836408,3.5544375353306954,1.3828044547100224,1.357557063541024,1849,0.4781,19420,0.052716,298,0.0622306417238929,likely_normal,none,0,study,
2025-11-01T00:55:00+00:00,20251101_0055,rrc05,0.2403,27,0.272072072072072,0.5827956989247312,0.7647058823529411,0.195268,32.2,14,8,7,67,31,719,14,0.0613839970546726,0,0.381403,0.5716089586649504,15,42913.07211313135,3.6056773723955966,1.2564304382011944,1.536981791996708,1567,0.5043,37891,0.084046,103,0.062183282026995,likely_normal,none,0,study,
2025-11-01T01:10:00+00:00,20251101_0110,rrc05,0.2408,27,0.2724324324324324,0.5849462365591398,0.7720588235294118,0.195372,32.2,15,7,6,74,24,699,47,0.0555940241878112,0,0.381403,0.5724483721780044,15,42912.65562663155,3.811077757335141,1.3626834300741213,1.5838066714861097,1575,0.4854,12962,0.030922,120,0.0622306417238929,likely_normal,none,0,study,
2025-11-01T01:20:00+00:00,20251101_0120,rrc05,0.2403,27,0.272072072072072,0.5827956989247312,0.7647058823529411,0.195268,32.2,15,7,6,71,34,819,55,0.0666980866174112,0,0.381403,0.5716089586649504,15,42913.07211313135,3.78116560676017,1.2398494646167322,1.580088577228271,1700,0.4832,22679,0.046034,65,0.062183282026995,likely_normal,none,0,study,
2025-11-01T01:25:00+00:00,20251101_0125,rrc05,0.2405,27,0.272072072072072,0.5685483870967742,0.7647058823529411,0.194859,32.2,15,7,5,69,31,834,43,0.0599533259264378,0,0.381394,0.5724772585584693,15,43088.93369555231,3.9246812189323537,1.4920989653297976,1.5934142114384748,1467,0.4535,15362,0.046136,91,0.0619107921767271,likely_normal,none,0,study,
2025-11-01T01:30:00+00:00,20251101_0130,rrc05,0.2402,28,0.2680701754385965,0.5705645161290323,0.7647058823529411,0.194785,32.2,14,8,6,73,46,978,32,0.0632341132751956,0,0.381394,0.5717853460591978,15,43070.70374115027,3.5150993719349564,1.198113444920576,1.5116336941644892,1427,0.5026,15804,0.032483,3075,0.0620045964072979,likely_normal,none,0,study,
2025-11-01T01:35:00+00:00,20251101_0135,rrc05,0.2401,27,0.2638414217361586,0.5685483870967742,0.7647058823529411,0.194819,32.6,14,8,6,65,37,728,22,0.0526896404471391,0,0.381394,0.5712110370458034,15,43052.82339838921,3.6156716417910446,1.287611008563792,1.5190957886044592,1538,0.4559,15054,0.026126,195,0.0620514985225833,likely_normal,none,0,study,
2025-11-01T01:40:00+00:00,20251101_0140,rrc05,0.2402,28,0.2680701754385965,0.5705645161290323,0.7647058823529411,0.194785,32.2,14,8,5,66,41,782,39,0.0729296334914998,0,0.381394,0.5717853460591978,15,43070.70374115027,3.526896778976852,1.1681769360427086,1.4921692379616642,1609,0.5054,25343,0.048984,2910,0.0620045964072979,likely_normal,none,0,study,
2025-11-01T01:45:00+00:00,20251101_0145,rrc05,0.2402,28,0.2680701754385965,0.5705645161290323,0.7647058823529411,0.194785,32.2,14,7,5,66,27,694,17,0.0476966680555491,0,0.381394,0.5717853460591978,15,43070.70374115027,3.5700901328273247,1.3156078257114872,1.4256696711946173,1453,0.481,18806,0.048127,62,0.0620045964072979,likely_normal,none,0,study,
2025-11-01T01:50:00+00:00,20251101_0150,rrc05,0.24,28,0.2680701754385965,0.5849462365591398,0.7647058823529411,0.195193,32.2,14,7,5,81,30,660,16,0.0481334869970436,0,0.381403,0.5709148070628546,15,42894.88964938606,3.6152327876465806,1.3159178325481435,1.4536979490366688,1678,0.4457,11786,0.034126,88,0.0622780014207909,likely_normal,none,0,study,
2025-11-01T01:55:00+00:00,20251101_0155,rrc05,0.2399,28,0.2680701754385965,0.5849462365591398,0.7647058823529411,0.195129,32.2,14,7,5,66,24,724,29,0.0555674878324546,0,0.381403,0.5710291893545137,15,42883.40357644158,3.5260574692129216,1.2591084022727317,1.5146510925385157,1896,0.4961,22153,0.058171,744,0.0623253611176888,likely_normal,none,0,study,
2025-11-01T02:00:00+00:00,20251101_0200,rrc05,0.24,28,0.2680701754385965,0.5849462365591398,0.7647058823529411,0.195193,32.2,13,8,6,67,28,712,13,0.0523010762722408,0,0.381403,0.5709148070628546,15,42894.88964938606,3.752388752388753,1.3013829345514052,1.552555544485404,1602,0.5008,21317,0.037413,420,0.0622780014207909,likely_normal,none,0,study,
2025-11-01T02:05:00+00:00,20251101_0205,rrc05,0.24,28,0.2680701754385965,0.5849462365591398,0.7647058823529411,0.195193,32.2,14,7,5,66,28,734,10,0.0596188137624601,0,0.381403,0.5709148070628546,15,42894.88964938606,3.4806018168054504,1.1814640206878544,1.22851225405592,2784,0.4689,15697,0.049081,1355,0.0622780014207909,likely_normal,none,0,study,
2025-11-01T02:10:00+00:00,20251101_0210,rrc05,0.24,28,0.2680701754385965,0.5849462365591398,0.7647058823529411,0.195193,32.2,13,7,5,72,27,756,16,0.0561277366141884,0,0.381403,0.5709148070628546,15,42894.88964938606,3.6624773778403377,1.30204374128298,1.4828048235819562,1663,0.4851,25265,0.05986,530,0.0622780014207909,likely_normal,none,0,study,
2025-11-01T02:20:00+00:00,20251101_0220,rrc05,0.2403,27,0.272072072072072,0.5827956989247312,0.7647058823529411,0.195268,32.2,14,7,5,72,98,794,45,0.0672477626768707,0,0.381403,0.5716089586649504,15,42913.07211313135,3.65936061215226,1.0993342312448744,1.688282042610754,1568,0.4494,21575,0.037358,2947,0.062183282026995,likely_normal,none,0,study,
2025-11-01T02:25:00+00:00,20251101_0225,rrc05,0.2405,27,0.272072072072072,0.5685483870967742,0.7647058823529411,0.194859,32.2,14,7,5,61,101,771,203,0.0434174498400426,0,0.381394,0.5724772585584693,15,43088.93369555231,3.6565890094255735,1.182868176745522,1.4795974787128163,1705,0.4924,19791,0.031696,1710,0.0619107921767271,likely_normal,none,0,study,
2025-11-01T02:30:00+00:00,20251101_0230,rrc05,0.2405,27,0.272072072072072,0.5685483870967742,0.7647058823529411,0.194859,32.2,14,7,5,72,36,756,11,0.0391326112829489,0,0.381394,0.5724772585584693,15,43088.93369555231,3.662779603519559,1.3157355679200746,1.4884419787332408,1509,0.4749,20780,0.030087,257,0.0619107921767271,likely_normal,none,0,study,
