source,target,weight
6453,52468,1
6453,263444,1
3320,6453,1
6453,23764,1
6453,63199,1
6453,8069,1
6453,54113,1
6453,32067,1
3257,6453,1
6453,53766,1
6453,12252,1
6453,17072,1
6453,13335,1
6453,199524,1
6453,29119,1
6453,32590,1
6453,14907,1
6453,15695,1
6453,6762,1
6453,6939,1
6453,16371,1
6453,30383,1
3356,262462,1
12956,262462,1
6939,22860,1
6762,22860,1
12956,22860,1
6939,8529,1
3303,8529,1
3356,8529,1
1299,8529,1
6762,8529,1
3320,8529,1
8529,21859,1
8529,55256,1
8529,13335,1
8529,199524,1
8529,400696,1
3257,8529,1
8529,32590,1
12956,22869,1
3352,24920,1
12956,22874,1
6939,22874,1
1299,8544,1
8544,12956,1
6939,8544,1
6507,6730,1
1299,6507,1
3356,6507,1
6507,6830,1
6507,12956,1
6507,52320,1
3356,262532,1
52320,262532,1
6939,262532,1
12956,262532,1
37468,61832,1
3356,61832,1
12956,61832,1
3303,61832,1
11921,61832,1
6939,61832,1
3257,12684,1
12684,60725,1
12684,12956,1
3303,12684,1
6939,12684,1
12684,52468,1
5511,12684,1
12956,274830,1
12956,22927,1
10834,22927,1
22927,52468,1
52320,270735,1
3356,270735,1
12956,270735,1
3257,270735,1
3303,270735,1
6939,270735,1
12956,35228,1
3257,35228,1
5089,35228,1
6939,35228,1
3356,33182,1
15830,33182,1
1299,33182,1
6939,33182,1
17072,33182,1
12956,33182,1
3303,33182,1
33182,53087,1
3352,211359,1
1299,33185,1
3257,33185,1
6939,33185,1
33185,400696,1
3356,6568,1
6568,6762,1
6568,12956,1
6568,6939,1
3352,20905,1
3356,272816,1
12956,272816,1
264635,273189,1
52468,264635,1
12956,264635,1
3356,29119,1
1299,29119,1
3257,29119,1
12956,29119,1
3303,29119,1
23764,29119,1
29119,199478,1
5511,29119,1
6939,29119,1
3352,35264,1
1299,20940,1
6730,20940,1
3356,20940,1
3257,20940,1
6830,20940,1
6762,20940,1
6939,20940,1
5511,20940,1
3303,20940,1
12956,20940,1
3320,20940,1
20940,60068,1
20940,27781,1
6730,8659,1
3352,8659,1
6939,266715,1
12956,266715,1
12956,393693,1
12956,270817,1
6939,270817,1
12956,266732,1
6762,266732,1
3356,272877,1
12956,272877,1
6939,133613,1
133613,400696,1
1299,59908,1
6939,59908,1
1299,53766,1
3257,53766,1
3356,53766,1
6939,53766,1
12956,53766,1
12956,264744,1
52468,264744,1
6762,262706,1
12956,262706,1
6939,262706,1
52640,262706,1
263702,266803,1
12956,266803,1
1299,8757,1
8757,136907,1
8757,12956,1
6939,8757,1
6713,6762,1
5511,6713,1
6713,12956,1
1299,14907,1
3303,14907,1
3356,14907,1
6830,14907,1
12956,14907,1
6939,14907,1
12956,264764,1
12956,205375,1
6939,205375,1
12956,272962,1
6730,6830,1
6730,8075,1
6730,6939,1
3303,6730,1
6730,13335,1
6730,15830,1
6730,60068,1
6730,55256,1
6730,13150,1
1299,8781,1
3356,8781,1
6762,8781,1
6939,8781,1
3257,8781,1
8781,21859,1
8781,400696,1
8781,13335,1
5511,8781,1
10834,12956,1
10834,136907,1
6739,16338,1
6739,44585,1
6739,198355,1
6739,48202,1
3352,62043,1
15830,62043,1
3356,37468,1
3257,37468,1
1299,37468,1
28126,37468,1
23764,37468,1
3303,37468,1
37468,52925,1
37468,52468,1
37468,263327,1
28173,37468,1
12956,37468,1
37468,263311,1
37468,60068,1
6939,37468,1
13335,37468,1
37468,52580,1
5511,6752,1
6752,12956,1
3257,6752,1
6752,13335,1
6752,6939,1
1299,137831,1
3356,137831,1
63199,137831,1
19551,137831,1
52468,137831,1
12956,137831,1
6939,137831,1
6762,13489,1
1299,6762,1
3356,6762,1
6762,6830,1
6762,14259,1
3303,6762,1
6762,8075,1
