asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
1756,4,0.012422360248447204,0.0016611274600387097,0.328236493374108,0.02977115977813776,0.0032158136113695454,0.16666666666666666,31.25,3,4,3,3,0,1,0.75,False,,0.0,0
1764,11,0.03416149068322981,2.063943551143876e-05,0.33093525179856115,0.055190685334986715,0.00417061926345214,0.8727272727272727,14.272727272727273,9,4,9,1,2,8,0.0909,False,0.058523,27.730849,8
3257,12,0.037267080745341616,0.0001431860838606064,0.331275720164609,0.05023545802432216,0.004809253392659914,0.5909090909090909,12.083333333333334,7,4,6,0,7,4,0.0,True,0.100727,28.248894,2
3491,8,0.024844720496894408,0.00021929400230903686,0.3316168898043255,0.03318708063631817,0.0036592109971193484,0.6428571428571429,12.125,6,4,6,0,4,4,0.0,True,0.235012,21.977261,13
5511,8,0.024844720496894408,2.0639435511438758e-05,0.32991803278688525,0.03672143368718609,0.0034083639765695845,0.8214285714285714,13.625,7,4,6,0,3,5,0.0,True,0.105695,22.383029,2
5542,2,0.006211180124223602,0.0009420783873018896,0.31786771964462,0.022234287811484486,0.0019240432163055766,0.0,55.0,2,4,2,2,0,0,1.0,False,1.0,1.0,0
5618,3,0.009316770186335404,0.005473993541126615,0.4187256176853056,0.07335670324595062,0.002670751566274096,0.3333333333333333,86.66666666666667,3,4,3,2,0,1,0.6667,False,,0.0,0
5627,1,0.003105590062111801,0.0,0.30991337824831566,0.020432386216031103,0.0012424537882693555,0.0,95.0,2,4,1,1,0,0,1.0,False,,0.0,0
6453,7,0.021739130434782608,1.2577156014782993e-05,0.3295803480040942,0.03394159314349614,0.0030407522595004926,0.8571428571428571,14.428571428571429,7,4,6,0,4,3,0.0,True,0.176385,21.307276,0
6736,15,0.046583850931677016,0.012924105469954707,0.34623655913978496,0.023926639208412207,0.012028049209085637,0.0,2.933333333333333,2,4,3,1,14,0,0.0667,False,1.0,2.645751,1
6762,9,0.02795031055900621,8.094528614642389e-05,0.3302564102564103,0.03775602871207626,0.003900142641643729,0.6666666666666666,12.333333333333334,7,4,6,0,3,5,0.0,True,0.208255,21.095023,12
6939,16,0.049689440993788817,0.00031201021652057815,0.33264462809917356,0.06680374869112461,0.006048372062458068,0.5583333333333333,11.75,9,4,9,1,1,13,0.0625,False,0.310952,21.587033,327
8868,1,0.003105590062111801,0.0,0.30991337824831566,0.020432386216031103,0.0012424537882693555,0.0,95.0,2,4,1,1,0,0,1.0,False,,0.0,0
9147,2,0.006211180124223602,0.003990739932988761,0.41229193341869397,0.06526967603766834,0.0020066985155385493,0.0,120.5,2,4,2,2,0,0,1.0,False,,0.0,0
12389,6,0.018633540372670808,9.67473539598692e-06,0.3292433537832311,0.03140798865451418,0.002664471617337656,0.8666666666666667,15.666666666666666,6,4,6,4,1,1,0.6667,False,0.14072,22.113344,10
12660,2,0.006211180124223602,0.0018280218747812262,0.3650793650793651,0.046639191417090615,0.0019102304401351362,0.0,80.5,2,4,2,2,0,0,1.0,False,0.622036,1.0,0
12880,20,0.06211180124223602,0.143102986002247,0.5160256410256411,0.12362307412283474,0.01614035683075547,0.05263157894736842,20.9,3,2,3,1,19,0,0.05,False,0.3992,2.0,0
13231,1,0.003105590062111801,0.0,0.2733446519524618,0.003725080365712467,0.0012902219306777656,0.0,31.0,2,4,1,0,0,1,0.0,False,,0.0,0
13237,12,0.037267080745341616,3.4345310655753574e-05,0.331275720164609,0.0581906950193411,0.0045107505314513465,0.8333333333333334,13.666666666666666,9,4,9,1,0,11,0.0833,False,0.059772,27.386128,15
15611,1,0.003105590062111801,0.0,0.35384615384615387,0.04483728982163724,0.0012286410120989151,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
16018,1,0.003105590062111801,0.0,0.35384615384615387,0.04483728982163724,0.0012286410120989151,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
16292,1,0.003105590062111801,0.0,0.35384615384615387,0.04483728982163724,0.0012286410120989151,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
16320,1,0.003105590062111801,0.0,0.35384615384615387,0.04483728982163724,0.0012286410120989151,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
21170,1,0.003105590062111801,0.0,0.2733446519524618,0.003725080365712467,0.0012902219306777656,0.0,31.0,2,4,1,0,0,1,0.0,False,,0.0,0
21341,7,0.021739130434782608,0.014498366875173769,0.3585746102449888,0.024639875976799064,0.006098221390887393,0.047619047619047616,10.285714285714286,3,3,3,3,2,2,0.4286,False,0.833333,1.0,0
21419,2,0.006211180124223602,0.0,0.34735706580366776,0.02563276459678975,0.0020367685676508083,1.0,49.5,3,4,2,2,0,0,1.0,False,,0.0,0
24631,25,0.07763975155279502,0.09722719254845491,0.42536327608982827,0.0837865980883352,0.023422240775387064,0.023333333333333334,8.44,3,3,3,2,20,3,0.08,False,,0.0,0
24707,2,0.006211180124223602,0.0009420783873018896,0.31786771964462,0.022234287811484486,0.0019240432163055766,0.0,55.0,2,4,2,2,0,0,1.0,False,1.0,1.0,0
25184,14,0.043478260869565216,0.01703047497894873,0.4160206718346253,0.09977451767618987,0.011063086167847506,0.0989010989010989,15.214285714285714,3,4,3,2,11,0,0.1429,False,0.503011,1.732051,0
29049,13,0.040372670807453416,0.00015415078397605823,0.3316168898043255,0.058948153161879964,0.0049378751461021395,0.6538461538461539,12.846153846153847,9,4,9,3,1,8,0.2308,False,0.082177,27.037012,4
29068,4,0.012422360248447204,0.0018808641579129218,0.38562874251497004,0.03480193438172195,0.0032362308560905995,0.16666666666666666,35.75,3,3,3,4,0,0,1.0,False,0.875,1.0,0
29077,1,0.003105590062111801,0.0,0.35384615384615387,0.04483728982163724,0.0012286410120989151,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
29079,2,0.006211180124223602,0.003990739932988761,0.41229193341869397,0.06526967603766834,0.0020066985155385493,0.0,120.5,2,4,2,2,0,0,1.0,False,,0.0,0
29577,1,0.003105590062111801,0.0,0.35384615384615387,0.04483728982163724,0.0012286410120989151,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
31182,3,0.009316770186335404,0.006714224916780048,0.42036553524804177,0.06906896675784133,0.00273600764211585,0.0,86.0,2,4,3,1,0,1,0.3333,False,,0.0,0
31303,1,0.003105590062111801,0.0,0.3407407407407408,0.009303018170868847,0.0011503614629882826,0.0,20.0,2,3,1,1,0,0,1.0,False,,0.0,0
31510,11,0.03416149068322981,1.1125945705384957e-05,0.33093525179856115,0.05467367501444614,0.004167567298446907,0.9090909090909091,13.909090909090908,9,4,9,0,0,11,0.0,False,0.055603,28.106939,3
31549,13,0.040372670807453416,0.010814604520186216,0.3581757508342603,0.04334919633752564,0.009577520321192095,0.01282051282051282,6.3076923076923075,3,4,3,2,9,0,0.1538,False,0.598217,1.732051,0
33891,12,0.037267080745341616,0.00015415078397605826,0.331275720164609,0.054753641361755624,0.004685334127740434,0.6515151515151515,12.75,9,4,9,1,4,5,0.0833,False,0.109169,26.362853,28
34592,1,0.003105590062111801,0.0,0.3407407407407408,0.009303018170868847,0.0011503614629882826,0.0,20.0,2,3,1,1,0,0,1.0,False,,0.0,0
34984,5,0.015527950310559004,3.2249117986623066e-06,0.3289070480081716,0.024890305380663752,0.0023867163643321873,0.9,14.8,5,4,5,4,1,0,0.8,False,0.43926,7.071068,4
35043,2,0.006211180124223602,0.0006280379012701012,0.3757292882147025,0.051162497187992324,0.0018707776145297094,0.0,87.5,2,4,2,2,0,0,1.0,False,,0.0,0
35088,1,0.003105590062111801,0.0,0.30991337824831566,0.020432386216031103,0.0012424537882693555,0.0,95.0,2,4,1,1,0,0,1.0,False,,0.0,0
35285,2,0.006211180124223602,0.0009420783873018896,0.31786771964462,0.022234287811484486,0.0019240432163055766,0.0,55.0,2,4,2,2,0,0,1.0,False,1.0,1.0,0
35372,2,0.006211180124223602,0.0,0.30348727615457116,0.007560537781791631,0.0020286392923586625,1.0,14.5,3,4,2,1,0,1,0.5,False,,0.0,0
35615,2,0.006211180124223602,0.001395937243514033,0.3638418079096045,0.04863658054181023,0.001957950138676216,0.0,81.5,2,4,2,1,0,1,0.5,False,,0.0,0
35690,2,0.006211180124223602,0.003990739932988761,0.41229193341869397,0.06526967603766834,0.0020066985155385493,0.0,120.5,2,4,2,2,0,0,1.0,False,,0.0,0
35766,1,0.003105590062111801,0.0,0.2733446519524618,0.003725080365712467,0.0012902219306777656,0.0,31.0,2,4,1,0,0,1,0.0,False,,0.0,0
39200,2,0.006211180124223602,0.0008460095402105039,0.33576642335766427,0.01501434492893743,0.0016012782116106802,0.0,26.5,2,4,2,2,0,0,1.0,False,0.853068,2.0,0
39501,1,0.003105590062111801,0.0,0.35384615384615387,0.04483728982163724,0.0012286410120989151,0.0,146.0,2,4,1,1,0,0,1.0,False,,0.0,0
39533,3,0.009316770186335404,0.0012020398027828229,0.33611691022964507,0.017512794363409762,0.001990069368399123,0.3333333333333333,20.333333333333332,3,4,3,1,2,0,0.3333,False,0.720505,4.123106,7
39571,3,0.009316770186335404,0.0072869853122812574,0.3801652892561983,0.05664939739563198,0.0027185197086825063,0.3333333333333333,65.33333333333333,3,4,3,2,0,1,0.6667,False,,0.0,0
39650,2,0.006211180124223602,0.0004248680018009636,0.358974358974359,0.04768847085137615,0.001903245672249377,0.0,78.0,2,4,2,1,0,1,0.5,False,,0.0,0
41061,2,0.006211180124223602,0.0013275477402772341,0.3229689067201605,0.024231676936204094,0.0019717629148466565,0.0,56.0,2,4,2,1,0,1,0.5,False,,0.0,0
41620,2,0.006211180124223602,0.0014648812648540073,0.2812227074235808,0.005526981961165848,0.001971811358713987,0.0,23.0,2,4,2,1,0,1,0.5,False,1.0,1.0,0
41689,2,0.006211180124223602,0.0010917585285621382,0.35,0.019537650699839135,0.0015618253860052533,0.0,33.5,2,4,2,1,1,0,0.5,False,0.830338,1.732051,0
41856,1,0.003105590062111801,0.0,0.2733446519524618,0.003725080365712467,0.0012902219306777656,0.0,31.0,2,4,1,0,0,1,0.0,False,,0.0,0
41881,19,0.05900621118012422,0.037346543136376295,0.4225721784776903,0.1074377285084838,0.014843539029237957,0.07602339181286549,12.631578947368421,3,3,3,2,2,14,0.1053,False,,0.0,0
42019,1,0.003105590062111801,0.0,0.2733446519524618,0.003725080365712467,0.0012902219306777656,0.0,31.0,2,4,1,0,0,1,0.0,False,,0.0,0
