source,target,weight
8218,57344,1
5405,57344,1
174,57344,1
3257,57344,1
6461,57344,1
54113,57344,1
9002,57344,1
1299,57344,1
3356,57344,1
2914,57344,1
13335,57344,1
6939,57344,1
12956,57344,1
5511,57344,1
6147,12956,1
6147,136907,1
6147,20940,1
6147,400696,1
6147,6762,1
6147,262182,1
174,6147,1
3352,40973,1
174,202766,1
12541,202766,1
6939,202766,1
12462,202766,1
20784,202766,1
44127,202766,1
3356,24592,1
12956,24592,1
2914,24592,1
8218,24592,1
6939,24592,1
5405,24592,1
8218,32787,1
7726,32787,1
2914,32787,1
9002,32787,1
6461,32787,1
1299,32787,1
6939,32787,1
6453,32787,1
5405,32787,1
30383,32787,1
20940,32787,1
3320,32787,1
3356,32787,1
6762,32787,1
12357,32787,1
27730,32787,1
15810,32787,1
15107,32787,1
2134,32787,1
6939,22548,1
2914,22548,1
12956,22548,1
6461,8218,1
714,8218,1
1299,8218,1
8075,8218,1
3320,8218,1
6939,8218,1
8218,9002,1
8218,16509,1
6805,8218,1
1267,8218,1
8218,37468,1
8218,8220,1
6730,8218,1
8218,12479,1
8218,13335,1
3223,8218,1
8218,23764,1
174,8218,1
8218,19551,1
8218,8529,1
5405,8218,1
8218,15830,1
8218,35280,1
8218,54113,1
8218,8903,1
8218,29119,1
8218,31898,1
8218,21351,1
8218,132203,1
8218,20940,1
8218,200845,1
6507,8218,1
8218,21859,1
8218,59908,1
2134,8218,1
8218,14593,1
8218,60068,1
8218,12189,1
8218,199524,1
8218,136907,1
8218,203936,1
8218,63199,1
8218,64289,1
8218,139341,1
8218,55256,1
8218,15695,1
8218,60134,1
8218,48266,1
8218,54994,1
8218,60917,1
8218,23344,1
8218,13150,1
8218,262355,1
8218,263444,1
8218,270735,1
8218,14907,1
6057,8218,1
8218,8781,1
8218,35753,1
8218,8544,1
6752,8218,1
8218,52320,1
8218,28008,1
8218,28458,1
8218,12684,1
8218,29802,1
8218,53766,1
8218,8757,1
1299,8220,1
3356,8220,1
6453,8220,1
2914,8220,1
