asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
559,11,0.033950617283950615,6.486350225600312e-05,0.33094994892747703,0.04214424217972815,0.004450104980568076,0.6909090909090909,12.363636363636363,7,4,7,1,0,10,0.0909,False,0.101151,32.093613,5
1756,4,0.012345679012345678,0.0016531928851207288,0.3620111731843576,0.03261458142722125,0.003192455709728905,0.16666666666666666,31.75,3,4,3,3,0,1,0.75,False,,0.0,0
3257,11,0.033950617283950615,5.678684729252325e-05,0.33094994892747703,0.043051046069298944,0.004441915516079281,0.7272727272727273,12.727272727272727,7,4,7,0,6,4,0.0,True,0.088585,27.331301,2
3491,10,0.030864197530864196,0.00023588382721509654,0.3316274309109519,0.037244895735636406,0.004311775916403642,0.6444444444444445,11.7,7,4,7,0,5,5,0.0,True,0.182665,25.806976,13
5511,11,0.033950617283950615,5.3146664773771745e-05,0.33094994892747703,0.04355218149536626,0.004419321599400689,0.7272727272727273,12.909090909090908,7,4,7,0,5,6,0.0,True,0.05599,30.626786,2
5542,2,0.006172839506172839,0.0006574439326447203,0.31702544031311153,0.021988814183141657,0.0019220121092045146,0.0,54.5,2,4,2,2,0,0,1.0,False,1.0,1.0,0
5618,3,0.009259259259259259,0.007391853848157702,0.4213263979193758,0.07092709033534875,0.0026811144588062435,0.0,87.0,2,4,3,2,0,1,0.6667,False,,0.0,0
5627,1,0.0030864197530864196,0.0,0.3103448275862069,0.020264001448641697,0.0012447900214240218,0.0,96.0,2,4,1,1,0,0,1.0,False,,0.0,0
6453,10,0.030864197530864196,3.767588906907793e-05,0.3306122448979592,0.040257454132316614,0.004084888456167976,0.7555555555555555,13.1,7,4,7,0,6,4,0.0,True,0.09474,29.849623,0
6736,13,0.040123456790123455,0.009414779665757675,0.3450479233226837,0.02273877140333466,0.010357514794440102,0.0,3.076923076923077,2,4,3,1,12,0,0.0769,False,1.0,2.645751,1
6762,10,0.030864197530864196,9.368919757636647e-05,0.3306122448979592,0.03892711301298552,0.004234740962795644,0.6888888888888889,12.6,7,4,7,0,5,5,0.0,True,0.157038,24.819347,12
6939,14,0.043209876543209874,0.0001541389785283834,0.331967213114754,0.051628340493309596,0.005481464518308138,0.6263736263736264,12.0,7,4,7,1,1,11,0.0714,False,0.249099,23.345235,327
8220,8,0.024691358024691357,3.203360616501311e-05,0.329938900203666,0.034756278743450775,0.0033513552989140787,0.7142857142857143,14.25,6,4,7,2,1,5,0.25,False,0.119193,21.725561,49
8868,1,0.0030864197530864196,0.0,0.3103448275862069,0.020264001448641697,0.0012447900214240218,0.0,96.0,2,4,1,1,0,0,1.0,False,,0.0,0
