bucket,pair,balance_fit,calibration,alignment,classifier,view,macro_f1_mean,macro_f1_std,pr_auc_anomaly_mean,pr_auc_anomaly_std,recall_anomaly_mean,recall_anomaly_std
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,random_forest,fusion_late_attention,0.0773,0.0002,0.0567,0.0017,0.9714,0.0023
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,random_forest,fusion_late_mean,0.079,0.0002,0.068,0.0021,0.997,0.0022
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,random_forest,fusion_late_or,0.0792,0.0,0.0567,0.0017,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,random_forest,graph,0.0792,0.0,0.0954,0.002,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,random_forest,stat,0.0768,0.0015,0.0559,0.0014,0.9309,0.0113
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,xgboost,fusion_early,0.08,0.0024,0.0731,0.0072,0.9126,0.0088
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,xgboost,fusion_late_attention,0.0776,0.0011,0.0689,0.0053,0.8928,0.0071
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,xgboost,fusion_late_mean,0.0783,0.0006,0.0672,0.0054,0.9705,0.0079
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,xgboost,fusion_late_or,0.0792,0.0,0.0668,0.0038,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,xgboost,graph,0.0792,0.0,0.0914,0.0066,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,equal,none,before_coral,xgboost,stat,0.0777,0.0026,0.0665,0.0038,0.856,0.0104
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,lstm,fusion_early,0.0792,0.0,0.2032,0.1677,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,lstm,fusion_late_attention,0.0792,0.0,0.3477,0.357,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,lstm,fusion_late_mean,0.0792,0.0,0.2148,0.3073,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,lstm,fusion_late_or,0.0792,0.0,0.273,0.1471,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,lstm,graph,0.0792,0.0,0.2073,0.3098,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,lstm,stat,0.0792,0.0,0.273,0.1471,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,mlp,fusion_early,0.0792,0.0,0.086,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,mlp,fusion_late_attention,0.0792,0.0,0.086,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,mlp,fusion_late_mean,0.0792,0.0,0.086,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,mlp,fusion_late_or,0.0792,0.0,0.086,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,mlp,graph,0.0792,0.0,0.086,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,mlp,stat,0.0792,0.0,0.086,0.0,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,random_forest,fusion_early,0.4784,0.0014,0.1001,0.0237,0.0009,0.0014
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,random_forest,fusion_late_attention,0.0792,0.0,0.1131,0.0134,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,random_forest,fusion_late_mean,0.4775,0.0,0.1186,0.0149,0.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,random_forest,fusion_late_or,0.3232,0.2652,0.1119,0.0131,0.1808,0.2048
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,random_forest,graph,0.4775,0.0,0.0952,0.0008,0.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,random_forest,stat,0.3232,0.2652,0.1119,0.0131,0.1808,0.2048
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,xgboost,fusion_early,0.0792,0.0,0.2064,0.0052,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,xgboost,fusion_late_attention,0.0792,0.0,0.1765,0.0382,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,xgboost,fusion_late_mean,0.0792,0.0,0.1776,0.0371,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,xgboost,fusion_late_or,0.0792,0.0,0.2056,0.0069,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,xgboost,graph,0.2428,0.2241,0.0956,0.0018,0.6043,0.5419
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,after_coral,xgboost,stat,0.0792,0.0,0.2056,0.0069,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,lstm,fusion_early,0.0793,0.0001,0.0872,0.028,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,lstm,fusion_late_attention,0.0792,0.0,0.095,0.0233,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,lstm,fusion_late_mean,0.0792,0.0,0.0848,0.0153,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,lstm,fusion_late_or,0.0792,0.0,0.0926,0.0214,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,lstm,graph,0.0792,0.0,0.0604,0.0051,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,lstm,stat,0.0792,0.0,0.0926,0.0214,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,mlp,fusion_early,0.0818,0.0046,0.1662,0.0373,0.9997,0.0007
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,mlp,fusion_late_attention,0.0795,0.0008,0.1937,0.042,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,mlp,fusion_late_mean,0.085,0.0131,0.19,0.0516,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,mlp,fusion_late_or,0.0847,0.0124,0.1863,0.0417,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,mlp,graph,0.3979,0.1781,0.4309,0.3433,0.2,0.4472
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,mlp,stat,0.0847,0.0124,0.1863,0.0417,1.0,0.0
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,random_forest,fusion_early,0.1294,0.0074,0.0545,0.0022,0.4213,0.0284
cross_as,rrc04_as12880__to__rrc04_as3352,none,none,before_coral,random_forest,fusion_late_attention,0.0737,0.0023,0.0539,0.0015,0.9087,0.0287
