bucket,pair,balance_fit,classifier,view,macro_f1_isotonic_f1,macro_f1_none,macro_f1_platt_prior,ece_isotonic_f1,ece_none,ece_platt_prior,brier_isotonic_f1,brier_none,brier_platt_prior,pr_auc_anomaly_isotonic_f1,pr_auc_anomaly_none,pr_auc_anomaly_platt_prior
cross_as,rrc04_as12880__to__rrc04_as3352,none,random_forest,graph,,0.0792,,,0.4785,,,0.3075,,,0.0928,
cross_as,rrc04_as12880__to__rrc04_as3352,none,random_forest,stat,,0.1221,,,0.6399,,,0.4921,,,0.0538,
cross_as,rrc04_as12880__to__rrc04_as3352,none,xgboost,fusion_early,,0.0744,,,0.9073,,,0.908,,,0.0599,
cross_as,rrc04_as12880__to__rrc04_as3352,none,xgboost,fusion_late_attention,,0.0776,,,0.9095,,,0.91,,,0.0656,
cross_as,rrc04_as12880__to__rrc04_as3352,none,xgboost,fusion_late_mean,,0.0773,,,0.7886,,,0.711,,,0.0654,
cross_as,rrc04_as12880__to__rrc04_as3352,none,xgboost,fusion_late_or,,0.0792,,,0.8948,,,0.8947,,,0.0594,
cross_as,rrc04_as12880__to__rrc04_as3352,none,xgboost,graph,,0.0792,,,0.6887,,,0.5541,,,0.094,
cross_as,rrc04_as12880__to__rrc04_as3352,none,xgboost,stat,,0.0794,,,0.8963,,,0.8962,,,0.0591,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,lstm,fusion_early,,0.0507,,,0.7052,,,0.5536,,,0.0688,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,lstm,fusion_late_attention,,0.0477,,,0.8733,,,0.8122,,,0.057,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,lstm,fusion_late_mean,,0.049,,,0.6148,,,0.4287,,,0.0579,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,lstm,fusion_late_or,,0.0477,,,0.7602,,,0.635,,,0.0574,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,lstm,graph,,0.1992,,,0.4697,,,0.2692,,,0.0784,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,lstm,stat,,0.0501,,,0.76,,,0.6348,,,0.0574,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,mlp,fusion_early,,0.0952,,,0.8313,,,0.7592,,,0.3691,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,mlp,fusion_late_attention,,0.2659,,,0.6148,,,0.5088,,,0.2881,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,mlp,fusion_late_mean,,0.3092,,,0.4973,,,0.3063,,,0.269,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,mlp,fusion_late_or,,0.2044,,,0.6298,,,0.4655,,,0.3076,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,mlp,graph,,0.3113,,,0.4379,,,0.2393,,,0.1033,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,mlp,stat,,0.3024,,,0.5569,,,0.4208,,,0.3071,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,random_forest,fusion_early,,0.0474,,,0.7767,,,0.6508,,,0.121,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,random_forest,fusion_late_attention,,0.0474,,,0.9198,,,0.8929,,,0.1188,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,random_forest,fusion_late_mean,,0.0474,,,0.7584,,,0.6211,,,0.1766,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,random_forest,fusion_late_or,,0.0474,,,0.8279,,,0.7321,,,0.1138,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,random_forest,graph,,0.0474,,,0.6914,,,0.5236,,,0.1204,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,random_forest,stat,,0.0474,,,0.8262,,,0.7297,,,0.1138,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,xgboost,fusion_early,,0.0479,,,0.9413,,,0.9337,,,0.24,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,xgboost,fusion_late_attention,,0.0474,,,0.9345,,,0.9205,,,0.1782,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,xgboost,fusion_late_mean,,0.0474,,,0.8637,,,0.7926,,,0.1527,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,xgboost,fusion_late_or,,0.0474,,,0.9461,,,0.9422,,,0.2377,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,xgboost,graph,,0.0474,,,0.7814,,,0.6572,,,0.1033,
cross_as,rrc04_as12880__to__rrc05_as3352,equal,xgboost,stat,,0.0474,,,0.9459,,,0.942,,,0.2377,
cross_as,rrc04_as12880__to__rrc05_as3352,none,lstm,fusion_early,,0.0476,,,0.8087,,,0.7089,,,0.0618,
cross_as,rrc04_as12880__to__rrc05_as3352,none,lstm,fusion_late_attention,,0.0538,,,0.883,,,0.8306,,,0.0596,
cross_as,rrc04_as12880__to__rrc05_as3352,none,lstm,fusion_late_mean,,0.0541,,,0.6478,,,0.4686,,,0.0617,
cross_as,rrc04_as12880__to__rrc05_as3352,none,lstm,fusion_late_or,,0.0474,,,0.819,,,0.7243,,,0.0596,
cross_as,rrc04_as12880__to__rrc05_as3352,none,lstm,graph,,0.0474,,,0.4779,,,0.2757,,,0.0952,
cross_as,rrc04_as12880__to__rrc05_as3352,none,lstm,stat,,0.0552,,,0.8177,,,0.7232,,,0.0596,
cross_as,rrc04_as12880__to__rrc05_as3352,none,mlp,fusion_early,,0.0841,,,0.7357,,,0.6179,,,0.1561,
cross_as,rrc04_as12880__to__rrc05_as3352,none,mlp,fusion_late_attention,,0.0762,,,0.7716,,,0.6628,,,0.1186,
cross_as,rrc04_as12880__to__rrc05_as3352,none,mlp,fusion_late_mean,,0.1189,,,0.5677,,,0.3752,,,0.1077,
cross_as,rrc04_as12880__to__rrc05_as3352,none,mlp,fusion_late_or,,0.1081,,,0.6921,,,0.552,,,0.1391,
cross_as,rrc04_as12880__to__rrc05_as3352,none,mlp,graph,,0.3993,,,0.4454,,,0.2457,,,0.0891,
cross_as,rrc04_as12880__to__rrc05_as3352,none,mlp,stat,,0.1085,,,0.6899,,,0.5498,,,0.1394,
cross_as,rrc04_as12880__to__rrc05_as3352,none,random_forest,fusion_early,,0.2125,,,0.5467,,,0.3502,,,0.1079,
cross_as,rrc04_as12880__to__rrc05_as3352,none,random_forest,fusion_late_attention,,0.0474,,,0.9456,,,0.9413,,,0.0733,
cross_as,rrc04_as12880__to__rrc05_as3352,none,random_forest,fusion_late_mean,,0.07,,,0.5842,,,0.3892,,,0.1077,
cross_as,rrc04_as12880__to__rrc05_as3352,none,random_forest,fusion_late_or,,0.0474,,,0.6511,,,0.4754,,,0.0736,
cross_as,rrc04_as12880__to__rrc05_as3352,none,random_forest,graph,,0.0474,,,0.5339,,,0.3302,,,0.109,
cross_as,rrc04_as12880__to__rrc05_as3352,none,random_forest,stat,,0.1174,,,0.6354,,,0.4597,,,0.0717,
cross_as,rrc04_as12880__to__rrc05_as3352,none,xgboost,fusion_early,,0.0474,,,0.9485,,,0.9469,,,0.1995,
cross_as,rrc04_as12880__to__rrc05_as3352,none,xgboost,fusion_late_attention,,0.0474,,,0.9493,,,0.9485,,,0.1236,
cross_as,rrc04_as12880__to__rrc05_as3352,none,xgboost,fusion_late_mean,,0.0474,,,0.8162,,,0.7158,,,0.1199,
cross_as,rrc04_as12880__to__rrc05_as3352,none,xgboost,fusion_late_or,,0.0474,,,0.947,,,0.9441,,,0.1047,
cross_as,rrc04_as12880__to__rrc05_as3352,none,xgboost,graph,,0.0897,,,0.6854,,,0.5279,,,0.1069,
cross_as,rrc04_as12880__to__rrc05_as3352,none,xgboost,stat,,0.0475,,,0.9469,,,0.9439,,,0.1047,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,lstm,fusion_early,,0.4302,,,0.4395,,,0.3318,,,0.1765,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,lstm,fusion_late_mean,,0.1095,,,0.6568,,,0.5392,,,0.2196,
cross_as,rrc04_as3352__to__rrc04_as12880,equal,lstm,fusion_late_or,,0.1031,,,0.8725,,,0.8611,,,0.1014,
