pair,balance_fit,alignment,classifier,view,stage1a,stage1b,delta
rrc04_as12880__to__rrc04_as3352,none,after_coral,lstm,fusion_late_or,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,lstm,graph,0.0792,0.3231,0.2439
rrc04_as12880__to__rrc04_as3352,none,after_coral,lstm,stat,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,mlp,fusion_early,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,mlp,fusion_late_attention,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,mlp,fusion_late_mean,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,mlp,fusion_late_or,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,mlp,graph,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,mlp,stat,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,random_forest,fusion_early,0.4784,0.0792,-0.3993
rrc04_as12880__to__rrc04_as3352,none,after_coral,random_forest,fusion_late_attention,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,random_forest,fusion_late_mean,0.4775,0.0792,-0.3983
rrc04_as12880__to__rrc04_as3352,none,after_coral,random_forest,fusion_late_or,0.3232,0.0792,-0.244
rrc04_as12880__to__rrc04_as3352,none,after_coral,random_forest,graph,0.4775,0.0792,-0.3983
rrc04_as12880__to__rrc04_as3352,none,after_coral,random_forest,stat,0.3232,0.0792,-0.244
rrc04_as12880__to__rrc04_as3352,none,after_coral,xgboost,fusion_early,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,xgboost,fusion_late_attention,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,xgboost,fusion_late_mean,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,xgboost,fusion_late_or,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,after_coral,xgboost,graph,0.2428,0.4775,0.2347
rrc04_as12880__to__rrc04_as3352,none,after_coral,xgboost,stat,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,before_coral,lstm,fusion_early,0.0793,0.0762,-0.0031
rrc04_as12880__to__rrc04_as3352,none,before_coral,lstm,fusion_late_attention,0.0792,0.0781,-0.0011
rrc04_as12880__to__rrc04_as3352,none,before_coral,lstm,fusion_late_mean,0.0792,0.0781,-0.0011
rrc04_as12880__to__rrc04_as3352,none,before_coral,lstm,fusion_late_or,0.0792,0.0781,-0.0011
rrc04_as12880__to__rrc04_as3352,none,before_coral,lstm,graph,0.0792,0.3221,0.2429
rrc04_as12880__to__rrc04_as3352,none,before_coral,lstm,stat,0.0792,0.0781,-0.0011
rrc04_as12880__to__rrc04_as3352,none,before_coral,mlp,fusion_early,0.0818,0.3992,0.3174
rrc04_as12880__to__rrc04_as3352,none,before_coral,mlp,fusion_late_attention,0.0795,0.3818,0.3023
rrc04_as12880__to__rrc04_as3352,none,before_coral,mlp,fusion_late_mean,0.085,0.4889,0.4039
rrc04_as12880__to__rrc04_as3352,none,before_coral,mlp,fusion_late_or,0.0847,0.4167,0.3319
rrc04_as12880__to__rrc04_as3352,none,before_coral,mlp,graph,0.3979,0.4775,0.0797
rrc04_as12880__to__rrc04_as3352,none,before_coral,mlp,stat,0.0847,0.4167,0.3319
rrc04_as12880__to__rrc04_as3352,none,before_coral,random_forest,fusion_early,0.1294,0.0767,-0.0527
rrc04_as12880__to__rrc04_as3352,none,before_coral,random_forest,fusion_late_attention,0.0737,0.0785,0.0048
rrc04_as12880__to__rrc04_as3352,none,before_coral,random_forest,fusion_late_mean,0.0932,0.0792,-0.014
rrc04_as12880__to__rrc04_as3352,none,before_coral,random_forest,fusion_late_or,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,before_coral,random_forest,graph,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,before_coral,random_forest,stat,0.1221,0.0688,-0.0532
rrc04_as12880__to__rrc04_as3352,none,before_coral,xgboost,fusion_early,0.0744,0.0764,0.002
rrc04_as12880__to__rrc04_as3352,none,before_coral,xgboost,fusion_late_attention,0.0776,0.0781,0.0004
rrc04_as12880__to__rrc04_as3352,none,before_coral,xgboost,fusion_late_mean,0.0773,0.0792,0.0019
rrc04_as12880__to__rrc04_as3352,none,before_coral,xgboost,fusion_late_or,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,before_coral,xgboost,graph,0.0792,0.0792,0.0
rrc04_as12880__to__rrc04_as3352,none,before_coral,xgboost,stat,0.0794,0.0751,-0.0043
rrc04_as12880__to__rrc05_as12880,equal,after_coral,lstm,fusion_early,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,equal,after_coral,lstm,fusion_late_attention,0.0958,0.1242,0.0283
rrc04_as12880__to__rrc05_as12880,equal,after_coral,lstm,fusion_late_mean,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,equal,after_coral,lstm,fusion_late_or,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,equal,after_coral,lstm,graph,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,equal,after_coral,lstm,stat,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,equal,after_coral,mlp,fusion_early,0.1012,0.0958,-0.0053
rrc04_as12880__to__rrc05_as12880,equal,after_coral,mlp,fusion_late_attention,0.0995,0.0958,-0.0037
rrc04_as12880__to__rrc05_as12880,equal,after_coral,mlp,fusion_late_mean,0.0973,0.0958,-0.0014
rrc04_as12880__to__rrc05_as12880,equal,after_coral,mlp,fusion_late_or,0.0966,0.0958,-0.0008
rrc04_as12880__to__rrc05_as12880,equal,after_coral,mlp,graph,0.1718,0.0958,-0.0759
rrc04_as12880__to__rrc05_as12880,equal,after_coral,mlp,stat,0.0997,0.0958,-0.0039
rrc04_as12880__to__rrc05_as12880,equal,after_coral,random_forest,fusion_early,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,equal,after_coral,random_forest,fusion_late_attention,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,equal,after_coral,random_forest,fusion_late_mean,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,equal,after_coral,random_forest,fusion_late_or,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,equal,after_coral,random_forest,graph,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,equal,after_coral,random_forest,stat,0.0957,0.1039,0.0082
rrc04_as12880__to__rrc05_as12880,equal,after_coral,xgboost,fusion_early,0.1523,0.0958,-0.0565
rrc04_as12880__to__rrc05_as12880,equal,after_coral,xgboost,fusion_late_attention,0.0962,0.1126,0.0164
rrc04_as12880__to__rrc05_as12880,equal,after_coral,xgboost,fusion_late_mean,0.0958,0.1475,0.0516
rrc04_as12880__to__rrc05_as12880,equal,after_coral,xgboost,fusion_late_or,0.0958,0.097,0.0011
rrc04_as12880__to__rrc05_as12880,equal,after_coral,xgboost,graph,0.0958,0.472,0.3762
rrc04_as12880__to__rrc05_as12880,equal,after_coral,xgboost,stat,0.1309,0.097,-0.0339
rrc04_as12880__to__rrc05_as12880,equal,before_coral,lstm,fusion_early,0.855,0.842,-0.013
rrc04_as12880__to__rrc05_as12880,equal,before_coral,lstm,fusion_late_attention,0.8438,0.8507,0.0069
rrc04_as12880__to__rrc05_as12880,equal,before_coral,lstm,fusion_late_mean,0.8711,0.8809,0.0097
rrc04_as12880__to__rrc05_as12880,equal,before_coral,lstm,fusion_late_or,0.859,0.8809,0.0219
rrc04_as12880__to__rrc05_as12880,equal,before_coral,lstm,graph,0.4738,0.4734,-0.0004
rrc04_as12880__to__rrc05_as12880,equal,before_coral,lstm,stat,0.8648,0.8809,0.016
rrc04_as12880__to__rrc05_as12880,equal,before_coral,mlp,fusion_early,0.8226,0.8573,0.0347
rrc04_as12880__to__rrc05_as12880,equal,before_coral,mlp,fusion_late_attention,0.8432,0.8615,0.0183
rrc04_as12880__to__rrc05_as12880,equal,before_coral,mlp,fusion_late_mean,0.8469,0.8624,0.0155
rrc04_as12880__to__rrc05_as12880,equal,before_coral,mlp,fusion_late_or,0.8444,0.8594,0.015
rrc04_as12880__to__rrc05_as12880,equal,before_coral,mlp,graph,0.5018,0.4908,-0.011
rrc04_as12880__to__rrc05_as12880,equal,before_coral,mlp,stat,0.8467,0.8587,0.0119
rrc04_as12880__to__rrc05_as12880,equal,before_coral,random_forest,fusion_early,0.1004,0.0951,-0.0054
rrc04_as12880__to__rrc05_as12880,equal,before_coral,random_forest,fusion_late_attention,0.0939,0.0951,0.0012
rrc04_as12880__to__rrc05_as12880,equal,before_coral,random_forest,fusion_late_mean,0.0941,0.095,0.0008
rrc04_as12880__to__rrc05_as12880,equal,before_coral,random_forest,fusion_late_or,0.0958,0.0951,-0.0007
rrc04_as12880__to__rrc05_as12880,equal,before_coral,random_forest,graph,0.0965,0.5037,0.4072
rrc04_as12880__to__rrc05_as12880,equal,before_coral,random_forest,stat,0.0927,0.095,0.0023
rrc04_as12880__to__rrc05_as12880,equal,before_coral,xgboost,fusion_early,0.0927,0.095,0.0022
rrc04_as12880__to__rrc05_as12880,equal,before_coral,xgboost,fusion_late_attention,0.0931,0.0953,0.0022
rrc04_as12880__to__rrc05_as12880,equal,before_coral,xgboost,fusion_late_mean,0.0948,0.0952,0.0005
rrc04_as12880__to__rrc05_as12880,equal,before_coral,xgboost,fusion_late_or,0.0958,0.0956,-0.0003
rrc04_as12880__to__rrc05_as12880,equal,before_coral,xgboost,graph,0.1001,0.4119,0.3118
rrc04_as12880__to__rrc05_as12880,equal,before_coral,xgboost,stat,0.0928,0.0951,0.0023
rrc04_as12880__to__rrc05_as12880,none,after_coral,lstm,fusion_early,0.0959,0.0993,0.0035
rrc04_as12880__to__rrc05_as12880,none,after_coral,lstm,fusion_late_attention,0.0959,0.0958,-0.0001
rrc04_as12880__to__rrc05_as12880,none,after_coral,lstm,fusion_late_mean,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,none,after_coral,lstm,fusion_late_or,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,none,after_coral,lstm,graph,0.0958,0.3968,0.3009
rrc04_as12880__to__rrc05_as12880,none,after_coral,lstm,stat,0.0983,0.0958,-0.0025
rrc04_as12880__to__rrc05_as12880,none,after_coral,mlp,fusion_early,0.0954,0.0958,0.0005
rrc04_as12880__to__rrc05_as12880,none,after_coral,mlp,fusion_late_attention,0.0954,0.0958,0.0005
rrc04_as12880__to__rrc05_as12880,none,after_coral,mlp,fusion_late_mean,0.0958,0.0958,0.0001
rrc04_as12880__to__rrc05_as12880,none,after_coral,mlp,fusion_late_or,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,none,after_coral,mlp,graph,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,none,after_coral,mlp,stat,0.0954,0.0958,0.0005
rrc04_as12880__to__rrc05_as12880,none,after_coral,random_forest,fusion_early,0.4556,0.0958,-0.3598
rrc04_as12880__to__rrc05_as12880,none,after_coral,random_forest,fusion_late_attention,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,none,after_coral,random_forest,fusion_late_mean,0.133,0.0958,-0.0372
rrc04_as12880__to__rrc05_as12880,none,after_coral,random_forest,fusion_late_or,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,none,after_coral,random_forest,graph,0.0958,0.0958,0.0
rrc04_as12880__to__rrc05_as12880,none,after_coral,random_forest,stat,0.4061,0.1277,-0.2784
rrc04_as12880__to__rrc05_as12880,none,after_coral,xgboost,fusion_early,0.0995,0.0958,-0.0036
rrc04_as12880__to__rrc05_as12880,none,after_coral,xgboost,fusion_late_attention,0.0958,0.0995,0.0037
rrc04_as12880__to__rrc05_as12880,none,after_coral,xgboost,fusion_late_mean,0.0958,0.1049,0.009
rrc04_as12880__to__rrc05_as12880,none,after_coral,xgboost,fusion_late_or,0.0958,0.0958,-0.0
rrc04_as12880__to__rrc05_as12880,none,after_coral,xgboost,graph,0.0958,0.1839,0.088
rrc04_as12880__to__rrc05_as12880,none,after_coral,xgboost,stat,0.099,0.137,0.038
rrc04_as12880__to__rrc05_as12880,none,before_coral,lstm,fusion_early,0.761,0.8765,0.1155
rrc04_as12880__to__rrc05_as12880,none,before_coral,lstm,fusion_late_attention,0.8026,0.8745,0.0719
rrc04_as12880__to__rrc05_as12880,none,before_coral,lstm,fusion_late_mean,0.8275,0.8746,0.047
rrc04_as12880__to__rrc05_as12880,none,before_coral,lstm,fusion_late_or,0.8222,0.7619,-0.0603
rrc04_as12880__to__rrc05_as12880,none,before_coral,lstm,graph,0.5064,0.4751,-0.0314
rrc04_as12880__to__rrc05_as12880,none,before_coral,lstm,stat,0.8252,0.8748,0.0496
rrc04_as12880__to__rrc05_as12880,none,before_coral,mlp,fusion_early,0.827,0.8765,0.0495
rrc04_as12880__to__rrc05_as12880,none,before_coral,mlp,fusion_late_attention,0.8372,0.8748,0.0376
rrc04_as12880__to__rrc05_as12880,none,before_coral,mlp,fusion_late_mean,0.8503,0.8737,0.0234
rrc04_as12880__to__rrc05_as12880,none,before_coral,mlp,fusion_late_or,0.7,0.8754,0.1754
rrc04_as12880__to__rrc05_as12880,none,before_coral,mlp,graph,0.3968,0.4754,0.0786
rrc04_as12880__to__rrc05_as12880,none,before_coral,mlp,stat,0.8493,0.8748,0.0255
rrc04_as12880__to__rrc05_as12880,none,before_coral,random_forest,fusion_early,0.8323,0.1005,-0.7318
rrc04_as12880__to__rrc05_as12880,none,before_coral,random_forest,fusion_late_attention,0.0937,0.0965,0.0028
rrc04_as12880__to__rrc05_as12880,none,before_coral,random_forest,fusion_late_mean,0.8763,0.1121,-0.7642
rrc04_as12880__to__rrc05_as12880,none,before_coral,random_forest,fusion_late_or,0.8095,0.0992,-0.7103
rrc04_as12880__to__rrc05_as12880,none,before_coral,random_forest,graph,0.6429,0.5533,-0.0896
rrc04_as12880__to__rrc05_as12880,none,before_coral,random_forest,stat,0.7983,0.0992,-0.6991
rrc04_as12880__to__rrc05_as12880,none,before_coral,xgboost,fusion_early,0.0941,0.0942,0.0
