pair,balance_fit,alignment,classifier,view,stage1a,stage1b,delta
rrc04_as12880__to__rrc05_as3352,none,after_coral,random_forest,stat,0.0477,0.0474,-0.0003
rrc04_as12880__to__rrc05_as3352,none,after_coral,xgboost,fusion_early,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,xgboost,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,xgboost,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,xgboost,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,xgboost,graph,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,after_coral,xgboost,stat,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,before_coral,lstm,fusion_early,0.0476,0.0512,0.0036
rrc04_as12880__to__rrc05_as3352,none,before_coral,lstm,fusion_late_attention,0.0538,0.0482,-0.0056
rrc04_as12880__to__rrc05_as3352,none,before_coral,lstm,fusion_late_mean,0.0541,0.0481,-0.006
rrc04_as12880__to__rrc05_as3352,none,before_coral,lstm,fusion_late_or,0.0474,0.0476,0.0002
rrc04_as12880__to__rrc05_as3352,none,before_coral,lstm,graph,0.0474,0.316,0.2686
rrc04_as12880__to__rrc05_as3352,none,before_coral,lstm,stat,0.0552,0.0481,-0.0071
rrc04_as12880__to__rrc05_as3352,none,before_coral,mlp,fusion_early,0.0841,0.2529,0.1688
rrc04_as12880__to__rrc05_as3352,none,before_coral,mlp,fusion_late_attention,0.0762,0.2497,0.1735
rrc04_as12880__to__rrc05_as3352,none,before_coral,mlp,fusion_late_mean,0.1189,0.3212,0.2023
rrc04_as12880__to__rrc05_as3352,none,before_coral,mlp,fusion_late_or,0.1081,0.2624,0.1543
rrc04_as12880__to__rrc05_as3352,none,before_coral,mlp,graph,0.3993,0.4872,0.088
rrc04_as12880__to__rrc05_as3352,none,before_coral,mlp,stat,0.1085,0.2624,0.1539
rrc04_as12880__to__rrc05_as3352,none,before_coral,random_forest,fusion_early,0.2125,0.0474,-0.1651
rrc04_as12880__to__rrc05_as3352,none,before_coral,random_forest,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,before_coral,random_forest,fusion_late_mean,0.07,0.0474,-0.0226
rrc04_as12880__to__rrc05_as3352,none,before_coral,random_forest,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,before_coral,random_forest,graph,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,before_coral,random_forest,stat,0.1174,0.0474,-0.07
rrc04_as12880__to__rrc05_as3352,none,before_coral,xgboost,fusion_early,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,before_coral,xgboost,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,before_coral,xgboost,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,before_coral,xgboost,fusion_late_or,0.0474,0.0474,0.0
rrc04_as12880__to__rrc05_as3352,none,before_coral,xgboost,graph,0.0897,0.0474,-0.0423
rrc04_as12880__to__rrc05_as3352,none,before_coral,xgboost,stat,0.0475,0.0474,-0.0
rrc04_as3352__to__rrc05_as12880,equal,after_coral,lstm,fusion_early,0.1975,0.472,0.2745
rrc04_as3352__to__rrc05_as12880,equal,after_coral,lstm,fusion_late_attention,0.6335,0.136,-0.4975
rrc04_as3352__to__rrc05_as12880,equal,after_coral,lstm,fusion_late_mean,0.5711,0.136,-0.4352
rrc04_as3352__to__rrc05_as12880,equal,after_coral,lstm,fusion_late_or,0.3717,0.0958,-0.2758
rrc04_as3352__to__rrc05_as12880,equal,after_coral,lstm,graph,0.3215,0.0958,-0.2257
rrc04_as3352__to__rrc05_as12880,equal,after_coral,lstm,stat,0.5185,0.136,-0.3825
rrc04_as3352__to__rrc05_as12880,equal,after_coral,mlp,fusion_early,0.3938,0.0958,-0.2979
rrc04_as3352__to__rrc05_as12880,equal,after_coral,mlp,fusion_late_attention,0.7452,0.0968,-0.6485
rrc04_as3352__to__rrc05_as12880,equal,after_coral,mlp,fusion_late_mean,0.7785,0.0964,-0.6821
rrc04_as3352__to__rrc05_as12880,equal,after_coral,mlp,fusion_late_or,0.7399,0.0958,-0.6441
rrc04_as3352__to__rrc05_as12880,equal,after_coral,mlp,graph,0.472,0.0958,-0.3762
rrc04_as3352__to__rrc05_as12880,equal,after_coral,mlp,stat,0.7399,0.0983,-0.6416
rrc04_as3352__to__rrc05_as12880,equal,after_coral,random_forest,fusion_early,0.4093,0.0959,-0.3134
rrc04_as3352__to__rrc05_as12880,equal,after_coral,random_forest,fusion_late_attention,0.4525,0.0958,-0.3567
rrc04_as3352__to__rrc05_as12880,equal,after_coral,random_forest,fusion_late_mean,0.6152,0.1497,-0.4655
rrc04_as3352__to__rrc05_as12880,equal,after_coral,random_forest,fusion_late_or,0.4862,0.1328,-0.3534
rrc04_as3352__to__rrc05_as12880,equal,after_coral,random_forest,graph,0.472,0.1714,-0.3006
rrc04_as3352__to__rrc05_as12880,equal,after_coral,random_forest,stat,0.4862,0.2574,-0.2287
rrc04_as3352__to__rrc05_as12880,equal,after_coral,xgboost,fusion_early,0.4687,0.0958,-0.3728
rrc04_as3352__to__rrc05_as12880,equal,after_coral,xgboost,fusion_late_attention,0.4805,0.0958,-0.3847
rrc04_as3352__to__rrc05_as12880,equal,after_coral,xgboost,fusion_late_mean,0.4918,0.1522,-0.3396
rrc04_as3352__to__rrc05_as12880,equal,after_coral,xgboost,fusion_late_or,0.4033,0.0958,-0.3074
rrc04_as3352__to__rrc05_as12880,equal,after_coral,xgboost,graph,0.472,0.0958,-0.3762
rrc04_as3352__to__rrc05_as12880,equal,after_coral,xgboost,stat,0.4033,0.2902,-0.1131
rrc04_as3352__to__rrc05_as12880,equal,before_coral,lstm,fusion_early,0.5996,0.5075,-0.0921
rrc04_as3352__to__rrc05_as12880,equal,before_coral,lstm,fusion_late_attention,0.1528,0.3596,0.2068
rrc04_as3352__to__rrc05_as12880,equal,before_coral,lstm,fusion_late_mean,0.0958,0.3605,0.2646
rrc04_as3352__to__rrc05_as12880,equal,before_coral,lstm,fusion_late_or,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,lstm,graph,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,lstm,stat,0.4519,0.5519,0.1
rrc04_as3352__to__rrc05_as12880,equal,before_coral,mlp,fusion_early,0.4874,0.434,-0.0535
rrc04_as3352__to__rrc05_as12880,equal,before_coral,mlp,fusion_late_attention,0.1753,0.0958,-0.0795
rrc04_as3352__to__rrc05_as12880,equal,before_coral,mlp,fusion_late_mean,0.1119,0.0958,-0.0161
rrc04_as3352__to__rrc05_as12880,equal,before_coral,mlp,fusion_late_or,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,mlp,graph,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,mlp,stat,0.5627,0.4552,-0.1074
rrc04_as3352__to__rrc05_as12880,equal,before_coral,random_forest,fusion_early,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,random_forest,fusion_late_attention,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,random_forest,fusion_late_mean,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,random_forest,fusion_late_or,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,random_forest,graph,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,random_forest,stat,0.0972,0.0958,-0.0015
rrc04_as3352__to__rrc05_as12880,equal,before_coral,xgboost,fusion_early,0.0972,0.0958,-0.0013
rrc04_as3352__to__rrc05_as12880,equal,before_coral,xgboost,fusion_late_attention,0.0973,0.0958,-0.0015
rrc04_as3352__to__rrc05_as12880,equal,before_coral,xgboost,fusion_late_mean,0.0959,0.0958,-0.0001
rrc04_as3352__to__rrc05_as12880,equal,before_coral,xgboost,fusion_late_or,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,xgboost,graph,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,equal,before_coral,xgboost,stat,0.1042,0.1174,0.0131
rrc04_as3352__to__rrc05_as12880,none,after_coral,lstm,fusion_early,0.1695,0.0958,-0.0736
rrc04_as3352__to__rrc05_as12880,none,after_coral,lstm,fusion_late_attention,0.2292,0.0958,-0.1334
rrc04_as3352__to__rrc05_as12880,none,after_coral,lstm,fusion_late_mean,0.5171,0.0958,-0.4213
rrc04_as3352__to__rrc05_as12880,none,after_coral,lstm,fusion_late_or,0.3614,0.0958,-0.2656
rrc04_as3352__to__rrc05_as12880,none,after_coral,lstm,graph,0.3215,0.0958,-0.2257
rrc04_as3352__to__rrc05_as12880,none,after_coral,lstm,stat,0.4884,0.0955,-0.3928
rrc04_as3352__to__rrc05_as12880,none,after_coral,mlp,fusion_early,0.1698,0.0958,-0.074
rrc04_as3352__to__rrc05_as12880,none,after_coral,mlp,fusion_late_attention,0.3801,0.1001,-0.28
rrc04_as3352__to__rrc05_as12880,none,after_coral,mlp,fusion_late_mean,0.5846,0.0958,-0.4888
rrc04_as3352__to__rrc05_as12880,none,after_coral,mlp,fusion_late_or,0.3691,0.0958,-0.2732
rrc04_as3352__to__rrc05_as12880,none,after_coral,mlp,graph,0.472,0.0958,-0.3762
rrc04_as3352__to__rrc05_as12880,none,after_coral,mlp,stat,0.3691,0.1309,-0.2381
rrc04_as3352__to__rrc05_as12880,none,after_coral,random_forest,fusion_early,0.472,0.4145,-0.0575
rrc04_as3352__to__rrc05_as12880,none,after_coral,random_forest,fusion_late_attention,0.0958,0.329,0.2332
rrc04_as3352__to__rrc05_as12880,none,after_coral,random_forest,fusion_late_mean,0.472,0.4987,0.0267
rrc04_as3352__to__rrc05_as12880,none,after_coral,random_forest,fusion_late_or,0.4724,0.3208,-0.1515
rrc04_as3352__to__rrc05_as12880,none,after_coral,random_forest,graph,0.472,0.3971,-0.0749
rrc04_as3352__to__rrc05_as12880,none,after_coral,random_forest,stat,0.4724,0.3931,-0.0793
rrc04_as3352__to__rrc05_as12880,none,after_coral,xgboost,fusion_early,0.1181,0.0958,-0.0223
rrc04_as3352__to__rrc05_as12880,none,after_coral,xgboost,fusion_late_attention,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,none,after_coral,xgboost,fusion_late_mean,0.0958,0.0972,0.0014
rrc04_as3352__to__rrc05_as12880,none,after_coral,xgboost,fusion_late_or,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,none,after_coral,xgboost,graph,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,none,after_coral,xgboost,stat,0.1424,0.1329,-0.0096
rrc04_as3352__to__rrc05_as12880,none,before_coral,lstm,fusion_early,0.7043,0.6306,-0.0737
rrc04_as3352__to__rrc05_as12880,none,before_coral,lstm,fusion_late_attention,0.3938,0.1877,-0.2062
rrc04_as3352__to__rrc05_as12880,none,before_coral,lstm,fusion_late_mean,0.0958,0.1856,0.0897
rrc04_as3352__to__rrc05_as12880,none,before_coral,lstm,fusion_late_or,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,none,before_coral,lstm,graph,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,none,before_coral,lstm,stat,0.5879,0.6245,0.0365
rrc04_as3352__to__rrc05_as12880,none,before_coral,mlp,fusion_early,0.47,0.4223,-0.0478
rrc04_as3352__to__rrc05_as12880,none,before_coral,mlp,fusion_late_attention,0.1117,0.097,-0.0148
rrc04_as3352__to__rrc05_as12880,none,before_coral,mlp,fusion_late_mean,0.0912,0.0958,0.0046
rrc04_as3352__to__rrc05_as12880,none,before_coral,mlp,fusion_late_or,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,none,before_coral,mlp,graph,0.0958,0.0958,0.0
rrc04_as3352__to__rrc05_as12880,none,before_coral,mlp,stat,0.3951,0.4489,0.0537
rrc04_as3352__to__rrc05_as12880,none,before_coral,random_forest,fusion_early,0.1157,0.0958,-0.0199
rrc04_as3352__to__rrc05_as12880,none,before_coral,random_forest,fusion_late_attention,0.0958,0.0957,-0.0001
rrc04_as3352__to__rrc05_as12880,none,before_coral,random_forest,fusion_late_mean,0.1419,0.0958,-0.0461
rrc04_as3352__to__rrc05_as12880,none,before_coral,random_forest,fusion_late_or,0.1189,0.0956,-0.0233
rrc04_as3352__to__rrc05_as12880,none,before_coral,random_forest,graph,0.3286,0.3249,-0.0037
rrc04_as3352__to__rrc05_as12880,none,before_coral,random_forest,stat,0.1407,0.0953,-0.0453
rrc04_as3352__to__rrc05_as12880,none,before_coral,xgboost,fusion_early,0.0955,0.0958,0.0004
rrc04_as3352__to__rrc05_as12880,none,before_coral,xgboost,fusion_late_attention,0.0968,0.0959,-0.0009
rrc04_as3352__to__rrc05_as12880,none,before_coral,xgboost,fusion_late_mean,0.1233,0.0959,-0.0274
rrc04_as3352__to__rrc05_as12880,none,before_coral,xgboost,fusion_late_or,0.0958,0.0964,0.0006
rrc04_as3352__to__rrc05_as12880,none,before_coral,xgboost,graph,0.0958,0.2467,0.1508
rrc04_as3352__to__rrc05_as12880,none,before_coral,xgboost,stat,0.1483,0.0995,-0.0489
rrc04_as3352__to__rrc05_as3352,equal,after_coral,lstm,fusion_early,0.4284,0.1354,-0.293
rrc04_as3352__to__rrc05_as3352,equal,after_coral,lstm,fusion_late_attention,0.4872,0.223,-0.2642
rrc04_as3352__to__rrc05_as3352,equal,after_coral,lstm,fusion_late_mean,0.5166,0.2615,-0.2551
rrc04_as3352__to__rrc05_as3352,equal,after_coral,lstm,fusion_late_or,0.5145,0.0474,-0.4671
rrc04_as3352__to__rrc05_as3352,equal,after_coral,lstm,graph,0.4872,0.3113,-0.1759
rrc04_as3352__to__rrc05_as3352,equal,after_coral,lstm,stat,0.5145,0.1354,-0.3791
rrc04_as3352__to__rrc05_as3352,equal,after_coral,mlp,fusion_early,0.5372,0.0474,-0.4897
rrc04_as3352__to__rrc05_as3352,equal,after_coral,mlp,fusion_late_attention,0.5056,0.1722,-0.3335
rrc04_as3352__to__rrc05_as3352,equal,after_coral,mlp,fusion_late_mean,0.5318,0.1643,-0.3675
rrc04_as3352__to__rrc05_as3352,equal,after_coral,mlp,fusion_late_or,0.5182,0.0474,-0.4707
rrc04_as3352__to__rrc05_as3352,equal,after_coral,mlp,graph,0.4872,0.0474,-0.4398
rrc04_as3352__to__rrc05_as3352,equal,after_coral,mlp,stat,0.5182,0.2064,-0.3118
rrc04_as3352__to__rrc05_as3352,equal,after_coral,random_forest,fusion_early,0.0454,0.0474,0.002
rrc04_as3352__to__rrc05_as3352,equal,after_coral,random_forest,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as3352__to__rrc05_as3352,equal,after_coral,random_forest,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as3352__to__rrc05_as3352,equal,after_coral,random_forest,fusion_late_or,0.0474,0.0474,0.0
rrc04_as3352__to__rrc05_as3352,equal,after_coral,random_forest,graph,0.0474,0.0474,0.0
rrc04_as3352__to__rrc05_as3352,equal,after_coral,random_forest,stat,0.0454,0.0474,0.002
rrc04_as3352__to__rrc05_as3352,equal,after_coral,xgboost,fusion_early,0.1929,0.0477,-0.1452
rrc04_as3352__to__rrc05_as3352,equal,after_coral,xgboost,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as3352__to__rrc05_as3352,equal,after_coral,xgboost,fusion_late_mean,0.0474,0.0474,0.0
rrc04_as3352__to__rrc05_as3352,equal,after_coral,xgboost,fusion_late_or,0.0474,0.0474,0.0
rrc04_as3352__to__rrc05_as3352,equal,after_coral,xgboost,graph,0.0474,0.0474,0.0
rrc04_as3352__to__rrc05_as3352,equal,after_coral,xgboost,stat,0.2353,0.0474,-0.1878
rrc04_as3352__to__rrc05_as3352,equal,before_coral,lstm,fusion_early,0.5087,0.496,-0.0127
rrc04_as3352__to__rrc05_as3352,equal,before_coral,lstm,fusion_late_attention,0.502,0.506,0.004
rrc04_as3352__to__rrc05_as3352,equal,before_coral,lstm,fusion_late_mean,0.505,0.5049,-0.0001
rrc04_as3352__to__rrc05_as3352,equal,before_coral,lstm,fusion_late_or,0.5105,0.5295,0.0191
rrc04_as3352__to__rrc05_as3352,equal,before_coral,lstm,graph,0.5056,0.5024,-0.0032
rrc04_as3352__to__rrc05_as3352,equal,before_coral,lstm,stat,0.4997,0.5178,0.0182
rrc04_as3352__to__rrc05_as3352,equal,before_coral,mlp,fusion_early,0.5049,0.5934,0.0885
rrc04_as3352__to__rrc05_as3352,equal,before_coral,mlp,fusion_late_attention,0.4959,0.4454,-0.0505
rrc04_as3352__to__rrc05_as3352,equal,before_coral,mlp,fusion_late_mean,0.5002,0.4475,-0.0527
rrc04_as3352__to__rrc05_as3352,equal,before_coral,mlp,fusion_late_or,0.3642,0.4228,0.0586
rrc04_as3352__to__rrc05_as3352,equal,before_coral,mlp,graph,0.3818,0.4326,0.0509
rrc04_as3352__to__rrc05_as3352,equal,before_coral,mlp,stat,0.4944,0.5458,0.0513
rrc04_as3352__to__rrc05_as3352,equal,before_coral,random_forest,fusion_early,0.5403,0.1479,-0.3924
rrc04_as3352__to__rrc05_as3352,equal,before_coral,random_forest,fusion_late_attention,0.5824,0.3796,-0.2028
rrc04_as3352__to__rrc05_as3352,equal,before_coral,random_forest,fusion_late_mean,0.6758,0.2682,-0.4076
rrc04_as3352__to__rrc05_as3352,equal,before_coral,random_forest,fusion_late_or,0.0538,0.1205,0.0667
rrc04_as3352__to__rrc05_as3352,equal,before_coral,random_forest,graph,0.0543,0.1159,0.0616
rrc04_as3352__to__rrc05_as3352,equal,before_coral,random_forest,stat,0.7036,0.7186,0.015
rrc04_as3352__to__rrc05_as3352,equal,before_coral,xgboost,fusion_early,0.5215,0.307,-0.2145
rrc04_as3352__to__rrc05_as3352,equal,before_coral,xgboost,fusion_late_attention,0.6659,0.3393,-0.3267
rrc04_as3352__to__rrc05_as3352,equal,before_coral,xgboost,fusion_late_mean,0.6664,0.2987,-0.3677
rrc04_as3352__to__rrc05_as3352,equal,before_coral,xgboost,fusion_late_or,0.1101,0.1084,-0.0017
rrc04_as3352__to__rrc05_as3352,equal,before_coral,xgboost,graph,0.1142,0.1055,-0.0087
rrc04_as3352__to__rrc05_as3352,equal,before_coral,xgboost,stat,0.7062,0.7398,0.0336
rrc04_as3352__to__rrc05_as3352,none,after_coral,lstm,fusion_early,0.4678,0.047,-0.4208
rrc04_as3352__to__rrc05_as3352,none,after_coral,lstm,fusion_late_attention,0.4392,0.0474,-0.3917
rrc04_as3352__to__rrc05_as3352,none,after_coral,lstm,fusion_late_mean,0.5427,0.0474,-0.4953
rrc04_as3352__to__rrc05_as3352,none,after_coral,lstm,fusion_late_or,0.541,0.0474,-0.4936
rrc04_as3352__to__rrc05_as3352,none,after_coral,lstm,graph,0.4907,0.0474,-0.4433
rrc04_as3352__to__rrc05_as3352,none,after_coral,lstm,stat,0.5475,0.0474,-0.5001
rrc04_as3352__to__rrc05_as3352,none,after_coral,mlp,fusion_early,0.1773,0.0474,-0.1298
rrc04_as3352__to__rrc05_as3352,none,after_coral,mlp,fusion_late_attention,0.3789,0.0474,-0.3314
rrc04_as3352__to__rrc05_as3352,none,after_coral,mlp,fusion_late_mean,0.611,0.0474,-0.5636
rrc04_as3352__to__rrc05_as3352,none,after_coral,mlp,fusion_late_or,0.384,0.0474,-0.3366
rrc04_as3352__to__rrc05_as3352,none,after_coral,mlp,graph,0.333,0.0474,-0.2856
rrc04_as3352__to__rrc05_as3352,none,after_coral,mlp,stat,0.6031,0.0557,-0.5474
rrc04_as3352__to__rrc05_as3352,none,after_coral,random_forest,fusion_early,0.4872,0.0474,-0.4398
rrc04_as3352__to__rrc05_as3352,none,after_coral,random_forest,fusion_late_attention,0.0474,0.0474,0.0
rrc04_as3352__to__rrc05_as3352,none,after_coral,random_forest,fusion_late_mean,0.4872,0.0474,-0.4398
rrc04_as3352__to__rrc05_as3352,none,after_coral,random_forest,fusion_late_or,0.4872,0.0474,-0.4398
rrc04_as3352__to__rrc05_as3352,none,after_coral,random_forest,graph,0.4872,0.0474,-0.4398
rrc04_as3352__to__rrc05_as3352,none,after_coral,random_forest,stat,0.4872,0.402,-0.0852
rrc04_as3352__to__rrc05_as3352,none,after_coral,xgboost,fusion_early,0.5047,0.0474,-0.4573
rrc04_as3352__to__rrc05_as3352,none,after_coral,xgboost,fusion_late_attention,0.1674,0.0474,-0.12
rrc04_as3352__to__rrc05_as3352,none,after_coral,xgboost,fusion_late_mean,0.5056,0.0474,-0.4581
rrc04_as3352__to__rrc05_as3352,none,after_coral,xgboost,fusion_late_or,0.3213,0.0474,-0.2738
rrc04_as3352__to__rrc05_as3352,none,after_coral,xgboost,graph,0.3213,0.0474,-0.2738
rrc04_as3352__to__rrc05_as3352,none,after_coral,xgboost,stat,0.4872,0.0403,-0.4469
rrc04_as3352__to__rrc05_as3352,none,before_coral,lstm,fusion_early,0.5481,0.4722,-0.0759
rrc04_as3352__to__rrc05_as3352,none,before_coral,lstm,fusion_late_attention,0.1801,0.5284,0.3483
rrc04_as3352__to__rrc05_as3352,none,before_coral,lstm,fusion_late_mean,0.5322,0.5313,-0.0009
rrc04_as3352__to__rrc05_as3352,none,before_coral,lstm,fusion_late_or,0.5305,0.489,-0.0415
rrc04_as3352__to__rrc05_as3352,none,before_coral,lstm,graph,0.503,0.5102,0.0072
rrc04_as3352__to__rrc05_as3352,none,before_coral,lstm,stat,0.5389,0.4946,-0.0443
rrc04_as3352__to__rrc05_as3352,none,before_coral,mlp,fusion_early,0.5656,0.6216,0.056
rrc04_as3352__to__rrc05_as3352,none,before_coral,mlp,fusion_late_attention,0.5782,0.5184,-0.0598
rrc04_as3352__to__rrc05_as3352,none,before_coral,mlp,fusion_late_mean,0.5561,0.4869,-0.0692
rrc04_as3352__to__rrc05_as3352,none,before_coral,mlp,fusion_late_or,0.4517,0.4938,0.0421
rrc04_as3352__to__rrc05_as3352,none,before_coral,mlp,graph,0.4471,0.4662,0.019
rrc04_as3352__to__rrc05_as3352,none,before_coral,mlp,stat,0.5409,0.663,0.1222
rrc04_as3352__to__rrc05_as3352,none,before_coral,random_forest,fusion_early,0.5606,0.4099,-0.1508
rrc04_as3352__to__rrc05_as3352,none,before_coral,random_forest,fusion_late_attention,0.7848,0.7104,-0.0744
rrc04_as3352__to__rrc05_as3352,none,before_coral,random_forest,fusion_late_mean,0.5467,0.6659,0.1192
rrc04_as3352__to__rrc05_as3352,none,before_coral,random_forest,fusion_late_or,0.584,0.6823,0.0983
rrc04_as3352__to__rrc05_as3352,none,before_coral,random_forest,graph,0.5525,0.5278,-0.0247
rrc04_as3352__to__rrc05_as3352,none,before_coral,random_forest,stat,0.5237,0.7445,0.2208
rrc04_as3352__to__rrc05_as3352,none,before_coral,xgboost,fusion_early,0.6393,0.6185,-0.0208
rrc04_as3352__to__rrc05_as3352,none,before_coral,xgboost,fusion_late_attention,0.792,0.6349,-0.157
rrc04_as3352__to__rrc05_as3352,none,before_coral,xgboost,fusion_late_mean,0.6926,0.6075,-0.0851
rrc04_as3352__to__rrc05_as3352,none,before_coral,xgboost,fusion_late_or,0.6343,0.5143,-0.12
rrc04_as3352__to__rrc05_as3352,none,before_coral,xgboost,graph,0.5163,0.4335,-0.0827
rrc04_as3352__to__rrc05_as3352,none,before_coral,xgboost,stat,0.7421,0.7588,0.0166
rrc05_as12880__to__rrc05_as3352,equal,after_coral,lstm,fusion_early,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,lstm,fusion_late_attention,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,lstm,fusion_late_mean,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,lstm,fusion_late_or,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,lstm,graph,0.226,0.0474,-0.1786
rrc05_as12880__to__rrc05_as3352,equal,after_coral,lstm,stat,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,mlp,fusion_early,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,mlp,fusion_late_attention,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,mlp,fusion_late_mean,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,mlp,fusion_late_or,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,mlp,graph,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,mlp,stat,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,random_forest,fusion_early,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,random_forest,fusion_late_attention,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,random_forest,fusion_late_mean,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,random_forest,fusion_late_or,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,random_forest,graph,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,random_forest,stat,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,xgboost,fusion_early,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,xgboost,fusion_late_attention,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,xgboost,fusion_late_mean,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,xgboost,fusion_late_or,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,xgboost,graph,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,after_coral,xgboost,stat,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,before_coral,lstm,fusion_early,0.0474,0.0894,0.042
rrc05_as12880__to__rrc05_as3352,equal,before_coral,lstm,fusion_late_attention,0.0474,0.0477,0.0003
rrc05_as12880__to__rrc05_as3352,equal,before_coral,lstm,fusion_late_mean,0.0474,0.0477,0.0003
rrc05_as12880__to__rrc05_as3352,equal,before_coral,lstm,fusion_late_or,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,before_coral,lstm,graph,0.4113,0.0474,-0.3639
rrc05_as12880__to__rrc05_as3352,equal,before_coral,lstm,stat,0.0474,0.0477,0.0003
rrc05_as12880__to__rrc05_as3352,equal,before_coral,mlp,fusion_early,0.0794,0.0741,-0.0053
rrc05_as12880__to__rrc05_as3352,equal,before_coral,mlp,fusion_late_attention,0.1404,0.1546,0.0143
rrc05_as12880__to__rrc05_as3352,equal,before_coral,mlp,fusion_late_mean,0.1911,0.2218,0.0307
rrc05_as12880__to__rrc05_as3352,equal,before_coral,mlp,fusion_late_or,0.1409,0.0968,-0.0441
rrc05_as12880__to__rrc05_as3352,equal,before_coral,mlp,graph,0.4479,0.5405,0.0926
rrc05_as12880__to__rrc05_as3352,equal,before_coral,mlp,stat,0.142,0.0968,-0.0452
rrc05_as12880__to__rrc05_as3352,equal,before_coral,random_forest,fusion_early,0.0474,0.0474,0.0
rrc05_as12880__to__rrc05_as3352,equal,before_coral,random_forest,fusion_late_attention,0.0474,0.0474,0.0
