bucket,coral_kind,pair,source,target,feature_set,balance_fit,calibration,alignment,classifier,edge,view,macro_f1_mean,macro_f1_std,precision_normal_mean,precision_normal_std,precision_anomaly_mean,precision_anomaly_std,recall_normal_mean,recall_normal_std,recall_anomaly_mean,recall_anomaly_std,f1_normal_mean,f1_normal_std,f1_anomaly_mean,f1_anomaly_std,balanced_accuracy_mean,balanced_accuracy_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,TP_mean,TP_std,n_rows_mean,n_rows_std,n_anomaly_mean,n_anomaly_std,n_normal_mean,n_normal_std,pr_auc_anomaly_mean,pr_auc_anomaly_std,ece_mean,ece_std,brier_mean,brier_std,fit_ms_mean,fit_ms_std,predict_target_ms_mean,predict_target_ms_std,predict_source_ms_mean,predict_source_ms_std,single_window_ms_median_mean,single_window_ms_median_std,single_window_ms_p95_mean,single_window_ms_p95_std,batched_ms_per_window_median_mean,batched_ms_per_window_median_std
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,gnn,knn,stat,0.437731,0.007839,0.916484,0.001341,0.089835,0.002286,0.603647,0.019271,0.415525,0.015891,0.727762,0.014250,0.147699,0.003147,0.509586,0.005374,4214.666667,134.552344,2767.333333,134.552344,384.000000,10.440307,273.000000,10.440307,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.180046,0.007727,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,gnn,temporal,fusion_early,0.323415,0.100583,0.851618,0.060665,0.048528,0.015935,0.434785,0.182169,0.285642,0.010798,0.564515,0.178945,0.082315,0.023388,0.360213,0.092639,3035.666667,1271.903036,3946.333333,1271.903036,469.333333,7.094599,187.666667,7.094599,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.077629,0.007823,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,gnn,temporal,graph,0.030543,0.006291,0.095738,0.083856,0.025594,0.000426,0.007686,0.007242,0.277017,0.006635,0.014226,0.013335,0.046859,0.000808,0.142352,0.000947,53.666667,50.560195,6928.333333,50.560195,475.000000,4.358899,182.000000,4.358899,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.060534,0.010098,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,gnn,temporal,stat,0.406578,0.044971,0.895432,0.017153,0.061544,0.014892,0.594911,0.085551,0.272958,0.022593,0.713028,0.068578,0.100129,0.021461,0.433934,0.052828,4153.666667,597.314267,2828.333333,597.314267,477.666667,14.843629,179.333333,14.843629,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.085313,0.005731,,,,,,,,,,,,,,,,
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,lstm,,fusion_early,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.627748,0.138640,0.902148,0.006143,0.891197,0.011803,867.155600,194.452239,43.150800,20.909426,8.764600,2.716342,2.134840,0.104873,3.397260,2.508670,0.003800,0.000235
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,lstm,,fusion_late_attention,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.570242,0.157887,0.892392,0.002156,0.874681,0.003948,1.596200,0.033878,0.156200,0.004266,,,0.000012,0.000000,0.000012,0.000000,0.000012,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,lstm,,fusion_late_mean,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.394486,0.306153,0.849278,0.013582,0.799110,0.023251,0.000000,0.000000,,,,,0.000002,0.000000,0.000002,0.000000,0.000002,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,lstm,,fusion_late_or,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.627258,0.056834,0.897461,0.004718,0.882231,0.008975,0.000000,0.000000,,,,,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,lstm,,graph,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.213202,0.301931,0.801096,0.024634,0.720929,0.039463,826.199400,129.678856,31.664000,2.946815,6.573400,0.227084,1.997900,0.103270,2.159860,0.161565,0.003240,0.000152
cross_as,study_only,rrc04_as12880__to__rrc04_as3352,rrc04_as12880,rrc04_as3352,shared22,equal,none,after_coral,lstm,,stat,0.079195,0.000000,0.000000,0.000000,0.086006,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.158390,0.000000,0.500000,0.000000,0.000000,0.000000,6982.000000,0.000000,0.000000,0.000000,657.000000,0.000000,7639.000000,0.000000,657.000000,0.000000,6982.000000,0.000000,0.627258,0.056834,0.897461,0.004718,0.882230,0.008975,900.155200,202.995635,32.764600,1.857167,7.453400,0.266079,2.184720,0.063360,3.032880,1.739450,0.003740,0.000089
