asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
1756,4,0.012345679012345678,0.0018593600382233936,0.3296032553407935,0.030161043096813035,0.003204066036350231,0.16666666666666666,31.75,3,4,3,3,0,1,0.75,False,,0.0,0
1764,11,0.033950617283950615,1.7836894341882303e-05,0.3312883435582822,0.06923601533297429,0.004141729746786312,0.8909090909090909,14.454545454545455,10,4,9,1,2,8,0.0909,False,0.037143,27.730849,8
3257,12,0.037037037037037035,0.0001519321178763903,0.3316274309109519,0.06130981869029506,0.004810950389793817,0.5757575757575758,12.0,7,4,6,0,7,4,0.0,True,0.102662,28.248894,2
3491,8,0.024691358024691357,0.00022232414733274725,0.331967213114754,0.039586877078265414,0.0036663613932813952,0.6071428571428571,12.0,6,4,5,0,4,4,0.0,True,0.238389,21.977261,13
5511,7,0.021604938271604937,7.007351348596618e-06,0.329938900203666,0.041753664068382663,0.003021721790119455,0.9047619047619048,14.857142857142858,7,4,6,0,2,5,0.0,True,0.122827,21.377558,2
5542,2,0.006172839506172839,0.0009828653432157662,0.31952662721893493,0.02290570632817573,0.0019160147629170565,0.0,56.0,2,4,2,2,0,0,1.0,False,1.0,1.0,0
5618,3,0.009259259259259259,0.007383966786943844,0.42023346303501946,0.07035445890021222,0.0026725198089184742,0.0,86.0,2,4,3,2,0,1,0.6667,False,,0.0,0
5627,1,0.0030864197530864196,0.0,0.31153846153846154,0.020985344352439986,0.0012378176166912024,0.0,97.0,2,4,1,1,0,0,1.0,False,,0.0,0
6453,7,0.021604938271604937,1.242212284523946e-05,0.329938900203666,0.04102930733902203,0.00303550750013153,0.8571428571428571,14.428571428571429,7,4,6,0,4,3,0.0,True,0.177506,21.307276,0
6736,15,0.046296296296296294,0.01301972921000053,0.346524064171123,0.025041629713229523,0.011968184332830787,0.0,2.933333333333333,2,4,3,1,14,0,0.0667,False,1.0,2.645751,1
