asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
3,2,0.0005117707267144319,3.219278079780038e-07,0.4886832562210829,0.013565241893615645,0.00014346841452167453,0.0,2282.0,2,4,2,1,0,1,0.5,False,0.439448,18.05547,0
42,4,0.0010235414534288639,9.787417180978532e-07,0.49872383869321085,0.013253925347243923,0.00022839690669583954,0.6666666666666666,1142.25,4,4,4,0,0,4,0.0,False,0.267485,22.405357,331
46,1,0.00025588536335721597,0.0,0.4846831204266402,0.01051882820767929,9.630886148861677e-05,0.0,3666.0,2,4,1,0,0,1,0.0,False,0.461866,18.05547,3
57,4,0.0010235414534288639,1.9648223446932375e-07,0.484863523573201,0.011045678944547896,0.0002856613921790728,0.5,918.75,3,4,2,2,2,0,0.5,False,0.12865,18.384776,1
72,6,0.0015353121801432957,1.2053624254032107e-06,0.4885,0.012479577384676865,0.0003270937315217626,0.4666666666666667,663.5,4,4,4,6,0,0,1.0,False,0.138767,24.617067,2
77,1,0.00025588536335721597,0.0,0.4846831204266402,0.01051882820767929,9.630886148861677e-05,0.0,3666.0,2,4,1,1,0,0,1.0,False,0.461866,18.05547,1
109,6,0.0015353121801432957,2.5300981036415345e-07,0.4885,0.01284716139760026,0.0002988451266373815,0.6,679.8333333333334,5,4,6,5,0,1,0.8333,False,0.144858,27.946377,9
112,1,0.00025588536335721597,0.0,0.34128023753383985,0.0005631136302296847,8.403188334644414e-05,0.0,273.0,2,4,1,0,0,1,0.0,False,0.657519,2.0,144
166,1,0.00025588536335721597,0.0,0.4846831204266402,0.01051882820767929,9.630886148861677e-05,0.0,3666.0,2,4,1,1,0,0,1.0,False,0.461866,18.05547,0
174,898,0.22978505629477994,0.03743919437761141,0.4341257498333704,0.1937939338352512,0.04982267904487511,0.0014872639061658138,4.939866369710468,6,3,9,0,881,8,0.0,True,0.391338,446.807565,0
250,1,0.00025588536335721597,0.0,0.4846831204266402,0.01051882820767929,9.630886148861677e-05,0.0,3666.0,2,4,1,0,0,1,0.0,False,0.461866,18.05547,8
271,2,0.0005117707267144319,0.0,0.48474323989084594,0.010697927695196214,0.0001547893977131743,1.0,1836.0,3,4,2,0,0,2,0.0,False,0.232296,18.734994,1
288,3,0.0007676560900716479,3.1877850853995156e-06,0.3441958781046327,0.0013437309179528101,0.00018846708831563386,0.3333333333333333,123.33333333333333,3,3,3,3,0,0,1.0,False,0.643999,3.0,0
293,1,0.00025588536335721597,0.0,0.4846831204266402,0.01051882820767929,9.630886148861677e-05,0.0,3666.0,2,4,1,1,0,0,1.0,False,0.461866,18.05547,10
297,1,0.00025588536335721597,0.0,0.4846831204266402,0.01051882820767929,9.630886148861677e-05,0.0,3666.0,2,4,1,0,0,1,0.0,False,0.461866,18.05547,3
557,3,0.0007676560900716479,3.464001089734384e-06,0.4892338507761643,0.013986381121966854,0.0001861284080605815,0.3333333333333333,1558.3333333333333,3,4,3,2,0,1,0.6667,False,0.430361,34.219877,2
577,19,0.004861821903787104,0.00012182402500657018,0.49231544469639715,0.018430662646688245,0.0010198567262731605,0.15789473684210525,279.10526315789474,4,4,7,2,14,3,0.1053,False,0.200245,49.101935,5
600,1,0.00025588536335721597,0.0,0.4846831204266402,0.01051882820767929,9.630886148861677e-05,0.0,3666.0,2,4,1,1,0,0,1.0,False,0.461866,18.05547,2
668,1,0.00025588536335721597,0.0,0.4846831204266402,0.01051882820767929,9.630886148861677e-05,0.0,3666.0,2,4,1,1,0,0,1.0,False,0.461866,18.05547,11
714,6,0.0015353121801432957,4.014823072298584e-06,0.34936527802610406,0.0028395101917116873,0.00028239622294594184,0.3333333333333333,114.66666666666667,4,4,6,4,0,2,0.6667,False,0.274597,15.684387,80
766,23,0.005885363357215967,0.0097480139501247,0.5014756833055306,0.011215245190058542,0.0015036733834447858,0.011857707509881422,173.30434782608697,3,2,3,0,21,2,0.0,False,0.699761,18.520259,4
800,3,0.0007676560900716479,0.0,0.4861301156860306,0.011285524083523134,0.00017362991760586668,1.0,1256.6666666666667,4,4,3,3,0,0,1.0,False,0.241184,22.561028,1
812,11,0.0028147389969293756,5.520859639670567e-05,0.4905849861913131,0.01617868158672379,0.0006077368243336109,0.2545454545454545,449.72727272727275,4,4,5,2,8,1,0.1818,False,0.177931,26.34388,4
819,2,0.0005117707267144319,0.0,0.4848033742711823,0.010707696320881378,0.000151714813443648,1.0,1835.0,3,4,2,2,0,0,1.0,False,0.233957,18.303005,1
835,14,0.0035823950870010235,1.5065891244662422e-05,0.48831688116956146,0.014237132461799046,0.0007355902892768539,0.26373626373626374,297.7142857142857,5,4,5,1,9,1,0.0714,False,0.190213,34.146742,10
855,3,0.0007676560900716479,2.4919985617986345e-06,0.48758577666874603,0.011819999270444165,0.00020609004565195246,0.3333333333333333,1337.3333333333333,3,4,2,1,1,1,0.3333,False,0.26127,18.303005,2
889,1,0.00025588536335721597,0.0,0.4846831204266402,0.01051882820767929,9.630886148861677e-05,0.0,3666.0,2,4,1,1,0,0,1.0,False,0.461866,18.05547,0
893,1,0.00025588536335721597,0.0,0.4846831204266402,0.01051882820767929,9.630886148861677e-05,0.0,3666.0,2,4,1,1,0,0,1.0,False,0.461866,18.05547,3
917,9,0.0023029682702149436,1.641985418588567e-05,0.48558648111332015,0.011939365255690438,0.0005028516388474815,0.19444444444444445,414.6666666666667,3,4,4,3,2,1,0.3333,False,0.162331,25.099801,22
924,3,0.0007676560900716479,0.0,0.484863523573201,0.01094316268723517,0.0001925398841103249,1.0,1227.6666666666667,4,4,3,1,1,0,0.3333,False,0.214906,18.788294,10
932,5,0.00127942681678608,6.312346600319613e-05,0.4862510887146946,0.011351885200664956,0.0002825972750982723,0.4,748.8,4,4,4,3,1,1,0.6,False,0.246357,22.978251,4
955,5,0.00127942681678608,4.183004172971792e-06,0.4853452558370591,0.01144641785597054,0.0002934188058193737,0.4,756.6,3,4,4,1,0,0,0.2,False,0.211478,22.759613,3
971,4,0.0010235414534288639,4.386603163254916e-06,0.4888055034396498,0.013918845178990958,0.0002501281027798293,0.3333333333333333,1143.25,3,4,3,1,2,1,0.25,False,0.220562,18.303005,3
