asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
174,98,0.3141025641025641,0.05534438778634236,0.5288135593220339,0.23531509414515175,0.032531182518327956,0.09425625920471281,14.795918367346939,11,4,12,0,85,12,0.0,True,0.257684,150.38617,0
714,8,0.02564102564102564,3.1900130024686726e-05,0.45481049562682213,0.0617242834876748,0.002715051565669284,0.8928571428571429,89.375,7,4,8,4,0,4,0.5,False,0.175355,29.410882,80
766,8,0.02564102564102564,0.0035679158975682026,0.4262295081967213,0.039812936309884216,0.0034015879448946068,0.32142857142857145,57.125,4,4,5,2,3,3,0.25,False,0.346406,27.221315,4
1267,6,0.019230769230769232,0.002304579736979236,0.41215323645970936,0.039841237293454755,0.002461168530703406,0.6,71.66666666666667,5,4,5,3,1,2,0.5,False,0.305982,23.937418,9
1299,79,0.2532051282051282,0.02103358475494386,0.5182724252491694,0.23225703628657543,0.023999779453885425,0.1600129827977929,19.60759493670886,11,4,12,0,69,10,0.0,True,0.170522,194.133974,0
2134,12,0.038461538461538464,0.010482096931716901,0.4250681198910082,0.027649563323721482,0.005039851919435697,0.16666666666666666,25.416666666666668,4,3,6,12,0,0,1.0,False,0.403086,16.792856,6
2856,2,0.00641025641025641,1.6551665629040745e-05,0.3525423728813559,0.006260884190673032,0.0011033617277023224,0.0,29.0,2,4,2,0,1,1,0.0,False,0.366367,8.660254,2
3257,53,0.16987179487179488,0.013163016855524977,0.49056603773584906,0.18362672862912724,0.016030555039633916,0.24963715529753266,25.471698113207548,11,4,12,0,42,10,0.0,True,0.137272,157.511904,2
3303,46,0.14743589743589744,0.011814898014542555,0.48297213622291024,0.148709020655816,0.014456932954835845,0.2106280193236715,25.08695652173913,10,4,12,4,0,41,0.087,False,0.143757,91.782351,63
3320,22,0.07051282051282051,0.0015799553995884054,0.4351464435146444,0.09916964868147993,0.006707160098343804,0.49783549783549785,36.72727272727273,9,4,12,0,10,12,0.0,True,0.104658,89.0,7
3352,69,0.22115384615384615,0.30401232171789583,0.5621621621621622,0.020304692649613224,0.04891637801344288,0.00042625745950554135,5.391304347826087,3,2,4,1,68,0,0.0145,False,0.391167,6.082763,3
3356,108,0.34615384615384615,0.06132068994217221,0.552212389380531,0.26807313793137216,0.03549655053522321,0.1043613707165109,15.74074074074074,11,4,12,0,97,11,0.0,True,0.223536,208.345866,3
3816,3,0.009615384615384616,0.00019031006914334596,0.43454038997214484,0.015137187478982619,0.0014460264513418562,0.3333333333333333,80.33333333333333,3,4,3,1,1,1,0.3333,False,0.617431,5.196152,0
5089,4,0.01282051282051282,2.0587219140273803e-05,0.4388185654008439,0.027004248809938698,0.0017254330712600172,0.6666666666666666,88.25,4,4,4,2,1,1,0.5,False,0.538234,6.480741,2
5511,32,0.10256410256410256,0.004622330548658185,0.48297213622291024,0.13599535323733958,0.009924599935938902,0.4092741935483871,37.59375,11,4,12,0,19,13,0.0,True,0.146091,110.267856,2
6147,7,0.022435897435897436,0.0004171090894982538,0.44635193133047213,0.035010405914766805,0.0027361143921782608,0.5238095238095238,61.57142857142857,5,4,6,4,3,0,0.5714,False,0.299076,20.297783,1
