asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
174,108,0.32432432432432434,0.05574873130944724,0.5362318840579711,0.21504295050083191,0.028805050445951472,0.10159224645205954,17.24074074074074,11,4,15,0,91,16,0.0,True,0.239481,178.115131,0
714,10,0.03003003003003003,3.365558653258497e-05,0.45121951219512196,0.06015152728933917,0.0026179452539692324,0.8444444444444444,89.8,8,4,10,4,0,6,0.4,False,0.177199,29.631065,80
766,7,0.02102102102102102,0.005101914302327468,0.42045454545454547,0.023155675695334332,0.0031793964348274997,0.14285714285714285,56.285714285714285,3,4,3,2,4,1,0.2857,False,0.519752,18.411953,4
1267,7,0.02102102102102102,0.0023197724681660557,0.41469489414694893,0.03931621572243279,0.0022758004969879626,0.6190476190476191,81.42857142857143,6,4,6,3,1,3,0.4286,False,0.282553,22.869193,9
1299,90,0.2702702702702703,0.020465507309327842,0.5219435736677116,0.22402591684588508,0.021745798922022466,0.18027465667915107,23.055555555555557,12,4,15,0,77,12,0.0,True,0.153803,223.360695,0
2134,13,0.03903903903903904,0.009660559790111276,0.43359375,0.026445683500098065,0.004299811442949755,0.15384615384615385,29.46153846153846,4,3,7,12,0,1,0.9231,False,0.371375,18.734994,6
2856,5,0.015015015015015015,2.663233049602588e-05,0.37206703910614525,0.018988397472280313,0.001544448703197311,0.3,41.0,3,4,5,0,1,4,0.0,False,0.329728,16.155494,2
2914,67,0.2012012012012012,0.010585162709759127,0.5045454545454545,0.1850777912463746,0.016137795096075228,0.2329262777023971,26.98507462686567,12,4,15,0,53,12,0.0,True,0.129921,199.524435,13
3223,11,0.03303303303303303,9.718333202523552e-05,0.4530612244897959,0.06131607162520201,0.003003582227383709,0.6545454545454545,87.27272727272727,7,4,9,5,2,4,0.4545,False,0.174311,25.573424,14
3257,60,0.18018018018018017,0.010581222776321769,0.4933333333333334,0.17567063331278113,0.0142584308015209,0.27231638418079096,29.25,12,4,15,0,49,10,0.0,True,0.125907,166.442182,2
3320,31,0.09309309309309309,0.005903860765090075,0.471671388101983,0.12155240103534458,0.007462954201343039,0.5290322580645161,47.41935483870968,12,4,15,0,12,19,0.0,True,0.103443,116.743308,7
