asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
559,11,0.03426791277258567,6.608348167927607e-05,0.33126934984520123,0.04675664464663458,0.004528116014508694,0.6909090909090909,12.363636363636363,7,4,7,1,0,10,0.0909,False,0.101151,32.093613,5
1756,4,0.012461059190031152,0.0020631179461248297,0.3285568065506653,0.030342342234337516,0.0032738697986959132,0.16666666666666666,31.25,3,4,3,3,0,1,0.75,False,,0.0,0
3257,11,0.03426791277258567,6.629209316125202e-05,0.33126934984520123,0.04726547331043902,0.00454487442467796,0.7090909090909091,12.545454545454545,7,4,7,0,6,4,0.0,True,0.09344,27.331301,2
3491,9,0.028037383177570093,0.00019651201602136176,0.3316115702479339,0.03872953757326156,0.004006938914626042,0.6944444444444444,12.333333333333334,7,4,7,0,4,5,0.0,True,0.162465,25.059928,13
5511,11,0.03426791277258567,5.4795282599020905e-05,0.33126934984520123,0.04805899757786205,0.004508763686446814,0.7272727272727273,12.818181818181818,7,4,7,0,5,6,0.0,True,0.056582,30.626786,2
5542,2,0.006230529595015576,0.0006739675574753475,0.3178217821782178,0.023430736479166093,0.001964403054561414,0.0,55.0,2,4,2,2,0,0,1.0,False,1.0,1.0,0
5618,3,0.009345794392523364,0.007935804887912075,0.42070773263433814,0.07256139542486933,0.0027358158238797595,0.0,85.66666666666667,2,4,3,2,0,1,0.6667,False,,0.0,0
5627,1,0.003115264797507788,0.0,0.311046511627907,0.021574720531951384,0.0012748835171994427,0.0,97.0,2,4,1,1,0,0,1.0,False,,0.0,0
6453,10,0.03115264797507788,4.844422192553034e-05,0.3309278350515464,0.04412602221694745,0.004181063656391405,0.7333333333333333,12.9,7,4,7,0,6,4,0.0,True,0.102023,29.849623,0
6736,13,0.040498442367601244,0.009479566443699346,0.34516129032258064,0.024058707094221338,0.010545593436887806,0.0,3.076923076923077,2,4,3,1,12,0,0.0769,False,1.0,2.645751,1
6762,10,0.03115264797507788,0.00010323950452455125,0.3309278350515464,0.042582114140041545,0.0043321533890566255,0.6666666666666666,12.4,7,4,7,0,5,5,0.0,True,0.163348,24.819347,12
6939,14,0.04361370716510903,0.00015768710132027888,0.33229813664596275,0.05714589776768255,0.005589308851782433,0.6263736263736264,11.928571428571429,7,4,7,1,1,11,0.0714,False,0.251291,23.345235,327
8220,8,0.024922118380062305,3.2636107402462545e-05,0.33024691358024694,0.038275745473563424,0.0034157269697359287,0.7142857142857143,14.125,6,4,7,2,1,5,0.25,False,0.119403,21.725561,49
8868,1,0.003115264797507788,0.0,0.311046511627907,0.021574720531951384,0.0012748835171994427,0.0,97.0,2,4,1,1,0,0,1.0,False,,0.0,0
9147,2,0.006230529595015576,0.004850356306251061,0.41048593350383633,0.0678632869492724,0.0020601215345936712,0.0,119.5,2,4,2,2,0,0,1.0,False,,0.0,0
12389,7,0.021806853582554516,2.781486426346239e-06,0.32990750256937307,0.03537179462943463,0.0030687697266115325,0.9523809523809523,15.0,7,4,7,5,1,0,0.7143,False,0.094458,24.535688,10
12660,2,0.006230529595015576,0.0019397063930970846,0.35865921787709504,0.04814458236453574,0.00194059606407297,0.0,77.5,2,4,2,2,0,0,1.0,False,0.622036,1.0,0
12880,20,0.06230529595015576,0.1512618994258198,0.5160771704180064,0.12316562446401329,0.0165910993478853,0.04736842105263158,20.4,3,2,3,1,19,0,0.05,False,0.399932,2.0,0
13231,1,0.003115264797507788,0.0,0.27249575551782684,0.0032722606501481384,0.0013055340147929216,0.0,29.0,2,4,1,0,0,1,0.0,False,,0.0,0
15547,10,0.03115264797507788,3.785139445186174e-05,0.3309278350515464,0.04337290170606573,0.004172185303655527,0.7555555555555555,12.6,7,4,7,1,0,9,0.1,False,0.110055,31.304952,7
15611,1,0.003115264797507788,0.0,0.3485342019543974,0.04628856641732103,0.0012510765267109987,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
16018,1,0.003115264797507788,0.0,0.3485342019543974,0.04628856641732103,0.0012510765267109987,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
16292,1,0.003115264797507788,0.0,0.3485342019543974,0.04628856641732103,0.0012510765267109987,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
16320,1,0.003115264797507788,0.0,0.3485342019543974,0.04628856641732103,0.0012510765267109987,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
20932,8,0.024922118380062305,1.622533748701973e-05,0.33024691358024694,0.03679816096120303,0.003453703462232428,0.8214285714285714,13.375,7,4,6,0,0,8,0.0,False,0.17706,23.685439,6
21170,1,0.003115264797507788,0.0,0.27249575551782684,0.0032722606501481384,0.0013055340147929216,0.0,29.0,2,4,1,0,0,1,0.0,False,,0.0,0
21341,7,0.021806853582554516,0.015083552654130276,0.3574610244988864,0.0249016644355464,0.0062659104405480195,0.047619047619047616,9.571428571428571,3,3,3,3,2,2,0.4286,False,0.833333,1.0,0
21419,2,0.006230529595015576,0.0,0.34891304347826085,0.02743934855342785,0.002072625781699957,1.0,51.0,3,4,2,2,0,0,1.0,False,,0.0,0
24631,23,0.07165109034267912,0.0957896294772545,0.42181340341655715,0.08079936873699356,0.023439518926863433,0.019762845849802372,8.608695652173912,3,3,3,2,19,2,0.087,False,,0.0,0
24707,2,0.006230529595015576,0.0006739675574753475,0.3178217821782178,0.023430736479166093,0.001964403054561414,0.0,55.0,2,4,2,2,0,0,1.0,False,1.0,1.0,0
25091,13,0.040498442367601244,0.00016280967215546652,0.33195449844881075,0.05356239017449052,0.005249562502629907,0.6025641025641025,12.0,7,4,7,4,0,8,0.3077,False,0.120933,27.0,51
25184,14,0.04361370716510903,0.01746023150004749,0.41472868217054265,0.10184950388691456,0.011355171655625386,0.0989010989010989,14.785714285714286,3,4,3,2,11,0,0.1429,False,0.505545,1.732051,0
29049,11,0.03426791277258567,8.958704198190178e-05,0.33126934984520123,0.04800279917057636,0.004500307237252224,0.6727272727272727,12.818181818181818,7,4,7,4,1,6,0.3636,False,0.105841,26.683328,4
29068,4,0.012461059190031152,0.0016678192673635313,0.3858173076923077,0.036078928990329676,0.0032840688037632714,0.16666666666666666,35.5,3,3,3,4,0,0,1.0,False,0.875,1.0,0
29077,1,0.003115264797507788,0.0,0.3485342019543974,0.04628856641732103,0.0012510765267109987,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
29079,2,0.006230529595015576,0.004850356306251061,0.41048593350383633,0.0678632869492724,0.0020601215345936712,0.0,119.5,2,4,2,2,0,0,1.0,False,,0.0,0
29577,1,0.003115264797507788,0.0,0.3485342019543974,0.04628856641732103,0.0012510765267109987,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
31182,3,0.009345794392523364,0.00791774821603879,0.421259842519685,0.07201367856322562,0.002798891910328925,0.0,85.66666666666667,2,4,3,1,0,1,0.3333,False,,0.0,0
31303,1,0.003115264797507788,0.0,0.34076433121019106,0.009492719311298315,0.0011709602474258422,0.0,20.0,2,3,1,1,0,0,1.0,False,,0.0,0
31549,12,0.037383177570093455,0.009275966139062921,0.3562708102108768,0.040906359080879064,0.008675915803947618,0.045454545454545456,6.916666666666667,4,4,3,3,9,0,0.25,False,0.587183,1.732051,0
33891,7,0.021806853582554516,4.78647455867082e-05,0.32990750256937307,0.0330046012069045,0.003206312744195358,0.7142857142857143,13.857142857142858,6,4,6,0,2,5,0.0,False,0.346935,13.379088,28
34177,11,0.03426791277258567,6.172581961133363e-05,0.33126934984520123,0.04681345370382913,0.00452552579272459,0.7090909090909091,12.363636363636363,7,4,7,1,0,10,0.0909,False,0.101404,31.906112,5
34592,1,0.003115264797507788,0.0,0.34076433121019106,0.009492719311298315,0.0011709602474258422,0.0,20.0,2,3,1,1,0,0,1.0,False,,0.0,0
34984,5,0.01557632398753894,2.781486426346239e-06,0.3292307692307692,0.02724702272152831,0.002362482062067267,0.9,15.8,5,4,5,3,2,0,0.6,False,0.454413,6.403124,4
35043,2,0.006230529595015576,0.0011016281790441837,0.3736903376018626,0.05265198506853865,0.0018996620429277034,0.0,85.5,2,4,2,2,0,0,1.0,False,,0.0,0
35088,1,0.003115264797507788,0.0,0.311046511627907,0.021574720531951384,0.0012748835171994427,0.0,97.0,2,4,1,1,0,0,1.0,False,,0.0,0
35285,2,0.006230529595015576,0.0006739675574753475,0.3178217821782178,0.023430736479166093,0.001964403054561414,0.0,55.0,2,4,2,2,0,0,1.0,False,1.0,1.0,0
35372,1,0.003115264797507788,0.0,0.2969472710453284,0.006227916991597703,0.001332081560900391,0.0,23.0,2,4,1,1,0,0,1.0,False,,0.0,0
35615,2,0.006230529595015576,0.0015042165352073705,0.3602693602693603,0.050438958031274225,0.0019898469024462523,0.0,80.0,2,4,2,1,0,1,0.5,False,,0.0,0
35690,2,0.006230529595015576,0.004850356306251061,0.41048593350383633,0.0678632869492724,0.0020601215345936712,0.0,119.5,2,4,2,2,0,0,1.0,False,,0.0,0
35766,1,0.003115264797507788,0.0,0.27249575551782684,0.0032722606501481384,0.0013055340147929216,0.0,29.0,2,4,1,0,0,1,0.0,False,,0.0,0
39200,2,0.006230529595015576,0.0005554164812342382,0.3347236704900939,0.015070781589686572,0.0016294323281421566,0.0,25.0,2,4,2,2,0,0,1.0,False,0.855263,2.0,0
39501,1,0.003115264797507788,0.0,0.3485342019543974,0.04628856641732103,0.0012510765267109987,0.0,142.0,2,4,1,1,0,0,1.0,False,,0.0,0
39533,3,0.009345794392523364,0.0008442274885031895,0.33507306889352817,0.018057272522254437,0.002007865438637903,0.3333333333333333,19.666666666666668,3,4,3,1,2,0,0.3333,False,0.719974,4.123106,7
39571,3,0.009345794392523364,0.010956528789858366,0.3772032902467685,0.054258935543066086,0.0027664663214732386,0.0,63.0,2,4,3,2,0,1,0.6667,False,,0.0,0
39650,2,0.006230529595015576,0.0008518782654912912,0.3566666666666667,0.04877777580549343,0.0019497164420113702,0.0,76.0,2,4,2,1,0,1,0.5,False,,0.0,0
41061,2,0.006230529595015576,0.0015631753745803502,0.32457027300303337,0.02572511214590458,0.0020136538929346965,0.0,57.5,2,4,2,1,0,1,0.5,False,,0.0,0
41620,2,0.006230529595015576,0.0013229155658554274,0.2793733681462141,0.005128276597362847,0.0019950535521548927,0.0,21.0,2,4,2,1,0,1,0.5,False,1.0,1.0,0
41689,3,0.009345794392523364,0.001631029308839919,0.3504366812227074,0.021840633639754657,0.0020904663378550825,0.3333333333333333,24.333333333333332,3,4,3,2,1,0,0.6667,False,0.738252,1.732051,0
41856,1,0.003115264797507788,0.0,0.27249575551782684,0.0032722606501481384,0.0013055340147929216,0.0,29.0,2,4,1,0,0,1,0.0,False,,0.0,0
41881,18,0.056074766355140186,0.031233091688401857,0.3660205245153934,0.06089723506187734,0.014308820733924426,0.026143790849673203,5.166666666666667,3,3,3,2,2,14,0.1111,False,,0.0,0
42019,1,0.003115264797507788,0.0,0.27249575551782684,0.0032722606501481384,0.0013055340147929216,0.0,29.0,2,4,1,0,0,1,0.0,False,,0.0,0
42043,2,0.006230529595015576,0.008950021301179173,0.37152777777777773,0.04956082706746917,0.00209077203218715,0.0,85.5,2,4,2,1,0,1,0.5,False,,0.0,0
42337,142,0.4423676012461059,0.5690097326074839,0.5341098169717138,0.599846163107713,0.13118094604416958,0.002796923384277295,2.443661971830986,3,3,3,1,137,1,0.007,False,0.312906,2.645751,0
42440,1,0.003115264797507788,0.0,0.3278855975485188,0.013214765642471864,0.0009399127907801853,0.0,37.0,2,4,1,1,0,0,1.0,False,0.665745,1.732051,0
42586,2,0.006230529595015576,0.0015042165352073702,0.3602693602693603,0.050438958031274225,0.0019898469024462523,0.0,80.0,2,4,2,1,0,1,0.5,False,,0.0,0
42907,2,0.006230529595015576,0.001042602665096374,0.3175074183976262,0.011125081219796608,0.001994955117170572,0.0,21.5,2,4,2,0,0,1,0.0,False,,0.0,0
42990,2,0.006230529595015576,0.0019397063930970853,0.35865921787709504,0.04814458236453574,0.00194059606407297,0.0,77.5,2,4,2,2,0,0,1.0,False,0.622036,1.0,0
43395,4,0.012461059190031152,0.009445697202156208,0.42292490118577075,0.07621733879615301,0.00333700207233073,0.0,66.75,2,4,3,3,0,1,0.75,False,,0.0,0
