asn,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_providers,n_customers,n_peers,provider_ratio,is_tier1,avg_ixp_cosine_dist,ixp_vector_norm,n_ixp_memberships
174,101,0.32165605095541405,0.05769015244583094,0.5304054054054054,0.23668566370046473,0.032889886218012504,0.09168316831683168,14.732673267326733,11,4,12,0,88,12,0.0,True,0.250339,161.913557,0
714,8,0.025477707006369428,3.9615224043510814e-05,0.4544138929088278,0.060739447136481634,0.002668080686751924,0.8571428571428571,90.5,7,4,8,4,0,4,0.5,False,0.17259,29.410882,80
766,8,0.025477707006369428,0.00436789333667402,0.4266304347826087,0.03938777293688412,0.003439282676978553,0.32142857142857145,58.25,4,4,5,2,3,3,0.25,False,0.342276,27.221315,4
1267,6,0.019108280254777073,0.0023155134449225753,0.4126149802890933,0.03955385828118774,0.002426577321142949,0.6,73.33333333333333,5,4,5,3,1,2,0.5,False,0.301645,23.937418,9
1299,82,0.2611464968152866,0.02212477715913349,0.5198675496688742,0.23392169736776156,0.024471737892994654,0.15356820234869015,19.365853658536587,11,4,12,0,71,10,0.0,True,0.165313,205.769288,0
2134,12,0.038216560509554146,0.010532351849658611,0.4272108843537415,0.027366871606453826,0.004972370789540803,0.16666666666666666,26.0,4,3,6,12,0,0,1.0,False,0.403395,16.792856,6
2856,2,0.006369426751592357,1.631570028937047e-05,0.35241301907968575,0.006096429652249618,0.0010913580523525342,0.0,29.0,2,4,2,0,1,1,0.0,False,0.366367,8.660254,2
3257,53,0.16878980891719747,0.012752001314747238,0.48985959438377535,0.18089666931417195,0.01569964737323383,0.251088534107402,25.81132075471698,11,4,12,0,42,10,0.0,True,0.132008,157.511904,2
3303,46,0.1464968152866242,0.011714422616582933,0.4823348694316436,0.145982569308701,0.014230666382682592,0.20966183574879227,25.347826086956523,10,4,12,4,0,41,0.087,False,0.14342,91.782351,63
3320,22,0.07006369426751592,0.0015602358636825076,0.43550624133148397,0.09764775022001376,0.006591290752833781,0.49783549783549785,37.36363636363637,9,4,12,0,10,12,0.0,True,0.103339,89.0,7
3352,70,0.2229299363057325,0.30701720518415804,0.5627240143369175,0.019932328133586644,0.04938913689600715,0.00041407867494824016,5.3428571428571425,3,2,4,1,68,0,0.0143,False,0.390851,6.082763,3
