window_start,window_id,collector,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,symmetry_ratio,as_path_avg,as_path_max,edit_distance_avg,edit_distance_max,unique_as_path_max,flaps,nadas,vf_rate_delta,ego_filter_ratio,ego_origin_violations,std_edge_ixp_cosine_dist,unique_peers,clustering_avg_local,frac_p2p_edges,avg_ixp_cosine_dist,as_path_std,origin_changes,discovered_label,event_id,binary_label,provenance,incident_type
2016-10-21T12:20:00+00:00,20161021_1220,rrc04,42,0.034645309671,0.1041927710843373,0.2012987012987013,200.0,4.431175211981932,11,1.7511926605504586,8,28,272,459,-0.001236,0.804355,0,0.184049,9,0.5943995035623014,0.3043,0.664317,1.471905647407917,1,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T12:25:00+00:00,20161021_1225,rrc04,42,0.0344343050956957,0.1046443839875631,0.201412622465254,200.0,4.242894786373047,11,1.7933858267716536,8,34,287,472,-0.000276,0.813775,0,0.183978,10,0.594729462721695,0.3045,0.66436,1.5576781682663967,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T12:30:00+00:00,20161021_1230,rrc04,43,0.0344343050956957,0.1047415468324912,0.2016404647983595,200.0,4.620211267605634,12,1.8052586408675977,9,43,417,483,-0.000382,0.83172,0,0.184077,10,0.5945723878089153,0.3045,0.664317,1.484876914936232,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T12:35:00+00:00,20161021_1235,rrc04,42,0.0345043643591738,0.1046767716025391,0.2016404647983595,200.0,4.383878691141261,10,1.8565198802907223,8,37,270,406,-0.086372,0.750986,0,0.184056,9,0.5946718320503773,0.3044,0.664072,1.342838106843412,10,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T12:40:00+00:00,20161021_1240,rrc04,43,0.0343377155103476,0.1035224182634541,0.198783858485351,200.8,4.650606860158312,11,1.808628841607565,8,36,598,418,-0.042943,0.811697,0,0.183682,10,0.5943361644123702,0.306,0.664109,1.368888035062103,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T12:45:00+00:00,20161021_1245,rrc04,42,0.0344989629245527,0.1046767716025391,0.2016404647983595,200.0,4.488473967684022,11,1.702215136767914,9,33,329,457,-0.006978,0.830544,0,0.184055,9,0.5950174818205246,0.304,0.664318,1.481510097275419,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T12:50:00+00:00,20161021_1250,rrc04,42,0.0345692794589439,0.1040642570281124,0.201412622465254,200.0,4.5181484502446985,11,1.7597894568944892,8,40,261,534,-0.002248,0.859591,0,0.184038,8,0.5942673234491708,0.3039,0.664317,1.469032162148142,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T12:55:00+00:00,20161021_1255,rrc04,42,0.0345097657937948,0.1047415468324912,0.2002019975311413,200.0,4.428225220130867,10,1.6234191611318352,8,28,247,383,-0.000194,0.838272,0,0.18401,9,0.5946232457093618,0.304,0.664013,1.4306553639525017,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:00:00+00:00,20161021_1300,rrc04,42,0.0345151672284158,0.1047091592175152,0.2003142183817753,200.0,4.55843722914861,13,1.688015599220039,8,30,533,423,-0.014326,0.840032,0,0.184029,10,0.5948324292475601,0.3043,0.664026,1.4620261012100637,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:05:00+00:00,20161021_1305,rrc04,42,0.0344827586206896,0.104579608757611,0.2011847801321485,200.0,4.388422557980476,11,1.850835675195977,8,36,316,334,-0.000191,0.842784,0,0.184095,9,0.5945758571964407,0.3039,0.664033,1.5018233804296766,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:10:00+00:00,20161021_1310,rrc04,42,0.0345151672284158,0.1047415468324912,0.2016404647983595,200.0,4.617828172915224,14,1.6063676893295007,12,32,320,491,-0.002298,0.962966,0,0.184073,10,0.5964100814989113,0.3041,0.663984,1.2485265534777046,5,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:15:00+00:00,20161021_1315,rrc04,42,0.034423537645697,0.1052305080318662,0.2016404647983595,200.0,3.860980798603535,10,1.289391063084112,8,34,351,480,-0.001101,0.92709,0,0.184164,9,0.5969307954322964,0.3043,0.663752,1.144622483053861,56,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:20:00+00:00,20161021_1320,rrc04,42,0.0345097657937948,0.1047091592175152,0.2016404647983595,200.0,4.763536981153561,11,1.943108616620958,8,37,347,460,-0.000343,0.867633,41,0.184097,9,0.5958478085361198,0.3041,0.664009,1.4920540609287634,7,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:25:00+00:00,20161021_1325,rrc04,42,0.0344343050956957,0.1046767716025391,0.2000897766805072,200.0,4.222710799710075,11,1.840055325034578,7,32,344,418,-0.000299,0.890521,0,0.184066,9,0.5958134711069875,0.304,0.66401,1.337660766302449,5,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:30:00+00:00,20161021_1330,rrc04,42,0.034359153229052,0.1046767716025391,0.2015265436318067,200.0,4.116196923982633,10,1.7837792218752635,7,34,307,455,-0.000403,0.835806,0,0.184062,8,0.5958776770698464,0.304,0.66401,1.3235020653118963,6,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:35:00+00:00,20161021_1335,rrc04,42,0.034359153229052,0.1046767716025391,0.2015265436318067,200.0,4.24318353584094,13,1.820148795304075,8,35,263,437,-0.000657,0.878202,0,0.184058,9,0.5959418625395636,0.304,0.66401,1.422407132489437,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:40:00+00:00,20161021_1340,rrc04,42,0.034359153229052,0.1046443839875631,0.201412622465254,200.0,4.480654526260227,11,1.787317196167423,8,30,482,285,-0.057857,0.809836,0,0.184065,10,0.5957896644786983,0.304,0.66401,1.407838065090835,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:45:00+00:00,20161021_1345,rrc04,42,0.034423537645697,0.1046443839875631,0.2012987012987013,200.0,4.77317967522263,11,1.8043492124226768,8,35,474,408,-0.000791,0.855383,0,0.184055,9,0.5959050886273379,0.3038,0.66401,1.4445328910220845,14,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:50:00+00:00,20161021_1350,rrc04,42,0.0344289213706963,0.1046443839875631,0.2012987012987013,200.0,4.39407618595074,11,1.795122819508722,8,32,354,548,5e-06,0.810865,0,0.184042,8,0.595828186626533,0.3039,0.66401,1.5162950612306914,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T13:55:00+00:00,20161021_1355,rrc04,42,0.034439688820695,0.1047091592175152,0.201412622465254,200.0,4.484528782836508,12,1.8846423562412344,8,25,312,480,-0.000335,0.838992,0,0.184025,9,0.5958689097559454,0.3039,0.664008,1.5002565408496356,7,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:00:00+00:00,20161021_1400,rrc04,42,0.0344450725456943,0.1047739344474672,0.2016404647983595,200.0,4.263778790337682,11,1.8757335880988129,8,39,343,393,-0.000595,0.831834,1,0.184107,9,0.5955043648022825,0.3039,0.664008,1.3992880040771152,11,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:05:00+00:00,20161021_1405,rrc04,42,0.0346017948495621,0.1047091592175152,0.201412622465254,199.6,4.356854548075537,11,1.8954328897650727,8,30,306,546,-0.000888,0.834896,0,0.183967,8,0.5970282772522234,0.304,0.663945,1.4693635612158926,6,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:10:00+00:00,20161021_1410,rrc04,42,0.0345259700976579,0.1047415468324912,0.201412622465254,199.6,4.706202756780791,10,1.8705642546094687,6,30,276,373,-0.000355,0.939903,0,0.183968,10,0.59698936067389,0.304,0.664003,1.0507767733358029,5,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:15:00+00:00,20161021_1415,rrc04,42,0.0344504562706936,0.1046767716025391,0.201412622465254,199.6,4.291502330584439,11,1.8035822971915485,7,47,440,445,-0.000622,0.845019,0,0.183871,9,0.5971712456613045,0.3043,0.664007,1.429547504982868,9,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:20:00+00:00,20161021_1420,rrc04,42,0.0345963756177924,0.1046767716025391,0.201412622465254,199.6,4.568085249881972,11,1.913911845730028,8,37,305,439,-0.048577,0.793904,10,0.183933,8,0.5970153313343305,0.3039,0.664005,1.4597439561071488,71,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:25:00+00:00,20161021_1425,rrc04,42,0.0345259700976579,0.1040963855421686,0.201412622465254,199.6,4.230218648887146,12,1.7845011809695197,8,30,269,426,-0.000498,0.804044,32,0.183915,9,0.5970437351014465,0.3041,0.664005,1.501109173895302,15,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:30:00+00:00,20161021_1430,rrc04,42,0.0345963756177924,0.1047091592175152,0.201412622465254,199.6,4.65410236950839,11,1.6732054322052166,8,32,264,378,-0.000595,0.819673,0,0.18395,9,0.5967685864133153,0.304,0.664004,1.7537067198397078,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:35:00+00:00,20161021_1435,rrc04,42,0.034585537154253,0.1046443839875631,0.201412622465254,199.6,4.291246504533514,10,1.8683917921762865,8,37,391,448,-0.000691,0.824089,0,0.183931,8,0.5972376746570184,0.3038,0.664004,1.492920745677557,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
2016-10-21T14:40:00+00:00,20161021_1440,rrc04,42,0.0346180525448712,0.1048063220624433,0.2017543859649122,199.6,4.23223075408545,10,1.8109882515549407,8,33,322,367,-0.001337,0.810863,0,0.183957,9,0.5968647650733719,0.3043,0.663999,1.520920620036348,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as12880,1,historical,dos_attack
