window_start,window_id,collector,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,symmetry_ratio,as_path_avg,as_path_max,edit_distance_avg,edit_distance_max,unique_as_path_max,flaps,nadas,vf_rate_delta,ego_filter_ratio,ego_origin_violations,std_edge_ixp_cosine_dist,unique_peers,clustering_avg_local,frac_p2p_edges,avg_ixp_cosine_dist,as_path_std,origin_changes,discovered_label,event_id,binary_label,provenance,incident_type
2016-10-21T11:10:00+00:00,20161021_1110,rrc04,31,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.311557306177346,11,1.8529645164947288,8,36,264,479,-0.000685,0.803859,0,0.157544,8,0.604261361095543,0.3169,0.380182,1.489284672940284,24,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:15:00+00:00,20161021_1115,rrc04,31,0.0525439715918548,0.2269752220663861,0.3976240391334731,53.2,4.23790111842793,10,1.784176715879635,8,25,233,411,-0.001114,0.803812,0,0.157556,8,0.6044030155217662,0.3168,0.380182,1.517014005277345,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:20:00+00:00,20161021_1120,rrc04,31,0.0525439715918548,0.2267414679756896,0.4034833091436865,53.2,4.053498985801217,11,1.701332963065815,8,35,198,351,-0.001615,0.789315,0,0.157247,8,0.6043976660472398,0.3168,0.380182,1.436515206544005,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:25:00+00:00,20161021_1125,rrc04,31,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.332852169482891,10,1.7581678063605777,8,40,253,546,-0.000478,0.830166,0,0.157544,9,0.604261361095543,0.3169,0.380182,1.4356444633349166,1,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:30:00+00:00,20161021_1130,rrc04,31,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.43588699829032,10,1.8962107208872456,8,38,310,508,0.000377,0.839556,0,0.157544,8,0.604261361095543,0.3169,0.380182,1.483729841611424,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:35:00+00:00,20161021_1135,rrc04,31,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.54985754985755,10,1.8864101315148565,8,42,312,450,-0.000775,0.799778,0,0.157544,8,0.604261361095543,0.3169,0.380182,1.5090516412281565,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:40:00+00:00,20161021_1140,rrc04,31,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.493185550082102,10,1.9281743580693549,7,38,278,511,-0.000852,0.830749,0,0.157544,10,0.604261361095543,0.3169,0.380182,1.5259324552568316,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:45:00+00:00,20161021_1145,rrc04,31,0.0525439715918548,0.2267414679756896,0.4034833091436865,53.2,5.204523319987015,11,2.0588577749315946,9,49,306,424,-0.000148,0.862083,0,0.157316,9,0.6046905447641814,0.3168,0.380182,1.6260570619330554,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:50:00+00:00,20161021_1150,rrc04,31,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.252244083779128,10,1.7633184221228142,8,36,279,490,-0.000654,0.802147,0,0.157544,8,0.604261361095543,0.3169,0.380182,1.388010770515998,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T11:55:00+00:00,20161021_1155,rrc04,31,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,4.266915621943629,10,1.859521943573668,9,29,237,380,-0.000397,0.824001,0,0.157544,9,0.604261361095543,0.3169,0.380182,1.470400326786606,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T12:00:00+00:00,20161021_1200,rrc04,31,0.0525439715918548,0.2269752220663861,0.3976240391334731,53.2,4.483997439590334,11,1.936873936873937,8,32,280,597,-0.00201,0.827408,0,0.157567,9,0.6043520721745491,0.3172,0.380182,1.528667654195876,5,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
2016-10-21T12:05:00+00:00,20161021_1205,rrc04,31,0.0525162292626088,0.2267414679756896,0.4034833091436865,53.2,5.644434208506064,11,2.03601432540081,8,27,1131,492,-0.000447,0.822265,0,0.157544,8,0.604261361095543,0.3169,0.380182,1.5839321845013576,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc04_as3352,1,historical,dos_attack
